Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
20/21,Round 34,10/04/21,Galatasaray,Karagümrük,1,1,6.9,6.8,4-1-4-1,4-1-4-1,(c) F. Muslera; D. Yedlin; R. Donk; Marcão; Ö. Bayram; O. Etebo; O. Çağlayan; G. Fernandes; E. Akbaba; R. Babel; M. Mohamed,(c) E. Viviano; K. Altınay; E. Roco; E. Zukanović; J. Balkovec; A. Bertolacci; A. Ndao; E. Tatlı; J. Durmaz; J. Lens; A. Sobiech
20/21,Round 34,11/04/21,Sivasspor,Konyaspor,3,1,6.75,6.51,4-1-4-1,4-1-4-1,A. Ş. Vural; A. Oğuz; R. Yalçın; S. Camara; U. Çiftçi; I. Cofie; T. Boyd; (c) H. Arslan; F. Fajr; M. Gradel; M. Yatabaré,(c) I. Šehić; N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; M. Jevtović; L. Shengelia; A. Hadžiahmetović; A. Rahmanović; Z. Bytyqi; S. Cikalleshi
20/21,Round 34,11/04/21,Kayserispor,Antalyaspor,0,1,6.71,7.24,4-4-2,4-2-3-1,D. Alemdar; Z. Kvržić; (c) U. Demirok; D. Kolovetsios; A. Behich; A. Lennon; J. Attamah; D. Avramovski; P. Henrique; M. Çelik; K. Luckassen,R. Boffin; B. Balcı; V. Sarı; Naldo; F. Kudryashov; D. Sinik; E. Albayrak; S. Sam; N. Şahin; A. d. Silva; (c) L. Podolski
20/21,Round 34,11/04/21,Ankaragücü,Gençlerbirliği,2,1,6.91,6.78,4-2-3-1,4-2-3-1,(c) K. Çelikay; S. Kitsiou; A. Kulušić; Z. Šarlija; T. Pinto; İ. Akdağ; E. Çekiçi; J. Paintsil; A. Potuk; T. Børven; A. Badji,K. Nordfeldt; M. Johansson; A. Kızıldağ; (c) D. Angelo; P. Polomat; R. Piris; S. Dikmen; D. Candeias; F. Ayité; S. Yılmaz; S. Lima
20/21,Round 34,11/04/21,Erzurumspor,Beşiktaş,2,4,6.55,6.83,4-2-3-1,4-1-4-1,J. Szumski; B. Butko; M. D. Costa; H. Hatipoğlu; L. Schwechlen; P. Boumal; J. O. Omolo; C. A. Alkılıç; (c) A. Chahechouhe; E. Başsan; M. E. Kabir,E. Destanoğlu; V. Rosier; Welinton; D. Vida; F. N'Sakala; D. Toköz; R. Ghezzal; O. Özyakup; (c) A. Hutchinson; C. Larin; C. Tosun
20/21,Round 34,12/04/21,Kasımpaşa,Yeni Malatyaspor,0,0,7.06,6.82,4-1-4-1,4-4-2,E. Taşkıran; F. Hadergjonaj; D. Luckassen; D. Tošić; O. Haddadi; (c) L. Sadiku; G. Koomson; K. Bistrović; H. Hajradinović; K. Varga; I. K. Thelin,E. Özbir; I. Chebake; Wallace; T. L. Hadebe; K. Hafez; M. Eskihellaç; Z. Yavru; A. Afriyie; M. Fofana; (c) A. Büyük; B. Tetteh
20/21,Round 34,12/04/21,Alanyaspor,Denizlispor,3,2,7.04,6.85,4-1-4-1,3-5-2,Marafona; Juanfran; S. Caulker; (c) G. Tzavellas; F. Moubandje; M. Siopis; K. Babacar; B. Kutlu; E. Bekiroğlu; Davidson; A. Bareiro,A. Sunger; F. Leismann; (c) M. Yumlu; O. Yılmaz; Ö. Özdemir; M. Bakalorz; K. Aktaş; M. Diskerud; S. Aytaç; V. Tusha; H. Sacko
20/21,Round 34,12/04/21,Fenerbahçe,Gaziantep,3,1,6.98,6.56,4-1-4-1,4-2-3-1,A. Bayındır; (c) G. Gönül; S. Aziz; A. Szalai; C. Erkin; J. Sosa; İ. C. Kahveci; M. H. Yandaş; O. Tufan; D. Pelkas; Enner Valencia,(c) G. Güvenç; P. Olkowski; R. Miranda; P. Djilobodji; J. Morais; O. Rashid; A. Vetrih; K. Özer; K. Mirallas; A. Maxim; N. Dicko
20/21,Round 33,06/04/21,Karagümrük,Hatayspor,1,0,6.95,6.78,4-1-4-1,4-2-3-1,E. Viviano; V. E. Hedenstad; E. Roco; E. Zukanović; J. Balkovec; (c) L. Biglia; A. Ndao; L. Castro; A. Bertolacci; J. Durmaz; M. Erdinç,M. Mohamedi; B. Çamoğlu; (c) Y. Abdioğlu; P. Santos; A. Katranis; R. Ribeiro; R. Aabid; D. Babajide; A. Traoré; M. Kamara; M. B. Diouf
20/21,Round 33,06/04/21,Göztepe,Rizespor,2,0,6.89,6.61,4-2-3-1,4-1-4-1,İ. C. Eğribayat; M. Paluli; Titi; A. Nukan; B. Emir; O. Nwobodo; S. Aydoğdu; (c) H. Akbunar; P. Žulj; Z. Tripić; C. Ndiaye,(c) G. Akkan; F. Baiano; Y. Meriah; M. Talbi; D. Melnjak; D. Djoković; T. Torun; D. Erdoğan; E. Sabo; F. Andrade; B. Samudio
20/21,Round 33,06/04/21,Trabzonspor,Kayserispor,1,1,7.17,6.89,4-3-3,4-4-2,(c) U. Çakır; H. Türkmen; M. Hosseini; V. Hugo; Marlon; A. Bakasetas; L. Baker; Flávio; C. Ekuban; T. Djaniny; A. N. Nwakaeme,D. Alemdar; Z. Kvržić; U. Demirok; D. Kolovetsios; A. Behich; A. Lennon; K. Muhar; D. Avramovski; P. Henrique; M. Çelik; (c) İ. Parlak
20/21,Round 33,07/04/21,Gençlerbirliği,Erzurumspor,1,1,6.68,7.06,4-2-3-1,4-2-3-1,K. Nordfeldt; M. Johansson; A. Kızıldağ; M. Akbaş; (c) H. I. Pehlivan; R. Piris; S. Dikmen; D. Candeias; M. Yildirim; S. Yılmaz; S. Lima,J. Szumski; M. M. Uçar; M. D. Costa; H. Hatipoğlu; L. Schwechlen; J. O. Omolo; P. Boumal; C. A. Alkılıç; (c) A. Chahechouhe; E. Başsan; M. E. Kabir
20/21,Round 33,07/04/21,Konyaspor,Ankaragücü,1,1,6.89,6.83,4-1-4-1,4-2-3-1,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; M. Jevtović; J. Sekidika; A. Hadžiahmetović; D. Milošević; Z. Bytyqi; S. Cikalleshi,(c) K. Çelikay; S. Kitsiou; A. Kulušić; Z. Šarlija; T. Pinto; İ. Akdağ; E. Çekiçi; T. Børven; A. Potuk; J. Paintsil; A. Badji
20/21,Round 33,07/04/21,Antalyaspor,Sivasspor,2,4,6.57,6.94,4-2-3-1,4-1-4-1,R. Boffin; B. Balcı; V. Sarı; F. Kudryashov; E. Albayrak; U. Akyol; D. Sinik; S. Sam; Fredy; A. d. Silva; (c) L. Podolski,A. Ş. Vural; A. Oğuz; R. Yalçın; S. Camara; U. Çiftçi; I. Cofie; T. Boyd; (c) H. Arslan; F. Fajr; M. Gradel; M. Yatabaré
20/21,Round 33,07/04/21,Beşiktaş,Alanyaspor,3,0,7.23,6.51,4-1-4-1,4-1-4-1,E. Destanoğlu; V. Rosier; Welinton; D. Vida; F. N'Sakala; Souza; R. Ghezzal; O. Özyakup; (c) A. Hutchinson; C. Larin; C. Tosun,Marafona; Juanfran; F. Aksoy; (c) G. Tzavellas; F. Moubandje; B. Kutlu; K. Babacar; S. Uçan; C. Gülselam; Davidson; A. Bareiro
20/21,Round 33,08/04/21,Denizlispor,Kasımpaşa,1,1,6.88,6.81,4-3-3,4-1-4-1,C. Gönen; F. Leismann; O. Yılmaz; M. Yumlu; S. Aytaç; M. Bakalorz; R. Murawski; M. Diskerud; Á. Sagal; (c) H. Rodallega; M. Mešanovič,E. Taşkıran; F. Hadergjonaj; D. Luckassen; T. Břečka; O. Haddadi; (c) L. Sadiku; G. Koomson; H. Hajradinović; D. Drinkwater; K. Varga; I. K. Thelin
20/21,Round 33,08/04/21,Gaziantep,Başakşehir,2,0,6.93,6.75,4-4-2,4-2-3-1,(c) G. Güvenç; P. Olkowski; R. Miranda; P. Djilobodji; J. Morais; K. Mirallas; O. Rashid; A. Vetrih; A. Maxim; N. Dicko; K. Özer,V. Babacan; U. Uçar; C. Ponck; A. Epureanu; C. Sertel; Y. Ndayishimiye; T. Ciğerci; (c) E. Višća; Giuliano; D. Türüç; D. Ba
20/21,Round 33,08/04/21,Yeni Malatyaspor,Fenerbahçe,1,1,6.75,6.87,4-4-2,4-1-4-1,E. Özbir; I. Chebake; Wallace; S. Kaya; K. Hafez; M. Eskihellaç; S. Mallan; A. Afriyie; M. Fofana; (c) A. Büyük; B. Tetteh,A. Bayındır; (c) G. Gönül; S. Aziz; A. Szalai; C. Erkin; L. Gustavo; B. Osayi-Samuel; İ. C. Kahveci; O. Tufan; Enner Valencia; M. Samatta
