Team Name,Player Name,Age,Market Value
Kasımpaşa,Erdem Canpolat,23,800 bin €
Beşiktaş,Cenk Tosun,33,1.40 mil. €
Gaziantep FK,Mustafa Burak Bozan,24,50 bin €
MKE Ankaragücü,Mert Topuz,23,-
Fenerbahçe,Diego Perotti,36,-
Kayserispor,Silviu Lung Jr.,35,150 bin €
Kayserispor,Mario Šitum,32,350 bin €
Beşiktaş,Rachid Ghezzal,32,1.20 mil. €
Trabzonspor,Anastasios Bakasetas,31,4.50 mil. €
Fenerbahçe,Caner Erkin,36,175 bin €
Konyaspor,Erten Ersu,30,150 bin €
Sivasspor,Fayçal Fajr,36,850 bin €
Alanyaspor,Salih Uçan,30,3.00 mil. €
Sivasspor,Muammer Yıldırım,34,25 bin €
Fatih Karagümrük,Aykut Özer,31,175 bin €
Beşiktaş,Souza,47,-
Yeni Malatyaspor,Adem Büyük,37,-
Başakşehir FK,Edin Višća,34,1.80 mil. €
Galatasaray,Fatih Öztürk,38,-
Fenerbahçe,José Sosa,39,150 bin €
Hatayspor,Mame Biram Diouf,37,100 bin €
Galatasaray,Younès Belhanda,34,1.20 mil. €
Fatih Karagümrük,Lucas Biglia,38,-
Alanyaspor,Steven Caulker,32,600 bin €
Hatayspor,Aaron-Salem Boupendza,N/A,N/A
Galatasaray,Gedson Fernandes,25,17.00 mil. €
Beşiktaş,Welinton,35,100 bin €
Trabzonspor,Caleb Ekuban,30,1.50 mil. €
Konyaspor,Guilherme Haubert Sityá,34,650 bin €
Konyaspor,Amir Hadžiahmetović,27,5.50 mil. €
Fenerbahçe,Ozan Tufan,29,2.50 mil. €
Fenerbahçe,Nazım Sangaré,30,400 bin €
Fenerbahçe,Attila Szalai,26,2.00 mil. €
Galatasaray,Taylan Antalyalı,29,1.20 mil. €
Galatasaray,Marcão,28,4.00 mil. €
Gaziantep FK,Muhammet Demir,32,-
Trabzonspor,Kağan Moradaoğlu,21,50 bin €
Trabzonspor,Faruk Can Genç,24,150 bin €
Antalyaspor,Fredy,38,-
Çaykur Rizespor,Fernando Boldrin,35,-
Alanyaspor,Georgios Tzavellas,37,-
Erzurumspor FK,Emrah Başsan,32,450 bin €
Fatih Karagümrük,Fabio Borini,33,900 bin €
Beşiktaş,Vincent Aboubakar,32,2.00 mil. €
Trabzonspor,Uğurcan Çakır,28,8.00 mil. €
Fenerbahçe,Gökhan Gönül,39,-
Fenerbahçe,Serdar Aziz,34,200 bin €
Fatih Karagümrük,Jure Balkovec,30,1.10 mil. €
Göztepe,Arda Özçimen,22,225 bin €
