Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
20/21,Round 41,11/05/21,Beşiktaş,Karagümrük,1,2,6.89,6.71,4-2-3-1,4-2-3-1,E. Destanoğlu; V. Rosier; Welinton; D. Vida; F. N'Sakala; (c) N. Uysal; Souza; R. Ghezzal; A. Ljajić; G. N'Koudou; C. Larin,E. Viviano; V. E. Hedenstad; E. Roco; E. Zukanović; J. Balkovec; (c) L. Biglia; A. Bertolacci; A. Ndao; J. Durmaz; F. Borini; A. Sobiech
20/21,Round 41,11/05/21,Denizlispor,Galatasaray,1,4,6.43,6.99,5-4-1,4-1-4-1,A. Sunger; A. Y. Kol; M. Özkal; F. Leismann; S. Aytaç; H. Ayaroğlu; V. Tusha; R. Murawski; M. Diskerud; R. Niyaz; (c) H. Rodallega,(c) F. Muslera; D. Yedlin; R. Donk; Marcão; M. Saracchi; T. Antalyalı; A. Turan; E. Akbaba; G. Fernandes; R. Babel; H. Dervişoğlu
20/21,Round 41,11/05/21,Fenerbahçe,Sivasspor,1,2,6.83,7.02,4-1-4-1,4-1-4-1,H. Tekin; (c) G. Gönül; M. Tisserand; A. Szalai; C. Erkin; J. Sosa; M. Özil; İ. C. Kahveci; O. Tufan; D. Pelkas; Enner Valencia,A. Ş. Vural; A. Oğuz; R. Yalçın; C. Osmanpaşa; U. Çiftçi; I. Cofie; C. Ninga; F. Fajr; (c) H. Arslan; M. Gradel; O. Kayode
20/21,Round 41,11/05/21,Gaziantep,Rizespor,4,5,6.57,6.8,4-4-2,4-1-4-1,(c) G. Güvenç; O. Ceylan; P. Olkowski; P. Djilobodji; J. Morais; K. Özer; J. Junior; A. Sousa; A. Maxim; M. Demir; N. Dicko,G. Akkan; M. Morozyuk; S. Ay; E. Dilaver; İ. Köybaşı; D. Djoković; T. Torun; (c) A. Durak; E. Sabo; F. Andrade; A. Søderlund
20/21,Round 41,11/05/21,Gençlerbirliği,Göztepe,5,3,6.86,6.52,4-2-3-1,4-2-3-1,K. Nordfeldt; M. Johansson; M. Mert; (c) D. Angelo; P. Polomat; R. Piris; D. Furman; R. Berisbek; S. Lima; F. Ayité; İ. Karakaş,A. Özçimen; L. Gassama; A. Öztürk; K. Sönmez; D. Bureković; A. Esiti; S. Aydoğdu; (c) H. Akbunar; Y. Kayan; B. Şimşek; B. Ideye
20/21,Round 41,11/05/21,Kasımpaşa,Ankaragücü,3,1,6.84,6.73,4-2-3-1,4-2-3-1,E. Taşkıran; F. Hadergjonaj; T. Serbest; T. Břečka; O. Haddadi; (c) L. Sadiku; K. Bistrović; G. Koomson; H. Hajradinović; A. Koç; I. K. Thelin,R. Friedrich; S. Kitsiou; (c) A. Kulušić; Z. Šarlija; T. Pinto; E. Çekiçi; A. Çankaya; S. Lobjanidze; A. Potuk; J. Paintsil; A. Badji
20/21,Round 41,11/05/21,Yeni Malatyaspor,Hatayspor,1,1,6.72,7.02,4-4-2,4-2-3-1,E. Özbir; S. Kaya; Wallace; T. L. Hadebe; K. Hafez; M. Eskihellaç; Z. Yavru; S. Mallan; M. Fofana; B. Tetteh; (c) A. Büyük,M. Mohamedi; S. Popov; Y. Abdioğlu; P. Santos; (c) M. Çaytemel; I. Sackey; R. Ribeiro; D. Babajide; R. Aabid; A. Boupendza; M. B. Diouf
20/21,Round 40,08/05/21,Rizespor,Yeni Malatyaspor,0,4,6.28,7.23,4-2-3-1,4-4-2,G. Akkan; M. Morozyuk; Y. Meriah; M. Talbi; D. Melnjak; D. Djoković; (c) A. Durak; T. Torun; E. Sabo; B. Samudio; M. Škoda,E. Özbir; S. Kaya; Wallace; T. L. Hadebe; K. Hafez; M. Eskihellaç; Z. Yavru; S. Mallan; M. Fofana; B. Tetteh; (c) A. Büyük
20/21,Round 40,08/05/21,Erzurumspor,Kasımpaşa,0,1,6.75,6.99,4-2-3-1,4-2-3-1,J. Szumski; M. M. Uçar; G. Kardeş; H. Hatipoğlu; L. Schwechlen; J. O. Omolo; P. Boumal; E. Başsan; G. Obertan; (c) C. A. Alkılıç; O. Karakullukçu,E. Taşkıran; F. Hadergjonaj; D. Luckassen; T. Serbest; O. Haddadi; D. Drinkwater; (c) L. Sadiku; G. Koomson; H. Hajradinović; K. Varga; I. K. Thelin
20/21,Round 40,08/05/21,Karagümrük,Gençlerbirliği,5,1,7.09,6.32,4-1-4-1,4-2-3-1,E. Viviano; K. Altınay; E. Roco; E. Zukanović; J. Balkovec; (c) L. Biglia; A. Ndao; A. Bertolacci; L. Castro; J. Lens; F. Borini,K. Nordfeldt; M. Johansson; A. Kızıldağ; (c) D. Angelo; P. Polomat; M. H. Seyhan; S. Dikmen; S. Yılmaz; R. Piris; F. Ayité; B. Stancu
