Season,Team Name,Player Name,Player Rating
20/21,Kasımpaşa,Erdem Canpolat,8.10
20/21,Beşiktaş,Cenk Tosun,7.80
20/21,Gaziantep FK,Mustafa Burak Bozan,7.80
20/21,MKE Ankaragücü,Mert Topuz,7.70
20/21,Fenerbahçe,Diego Perotti,7.55
20/21,Kayserispor,Silviu Lung Jr.,7.51
20/21,Kayserispor,Mario Šitum,7.50
20/21,Beşiktaş,Rachid Ghezzal,7.48
20/21,Trabzonspor,Anastasios Bakasetas,7.47
20/21,Fenerbahçe,Caner Erkin,7.42
20/21,Konyaspor,Erten Ersu,7.40
20/21,Sivasspor,Fayçal Fajr,7.38
20/21,Alanyaspor,Salih Uçan,7.37
20/21,Sivasspor,Muammer Yıldırım,7.30
20/21,Fatih Karagümrük,Aykut Özer,7.22
20/21,Beşiktaş,Souza,7.21
20/21,Yeni Malatyaspor,Adem Büyük,7.21
20/21,Başakşehir FK,Edin Višća,7.20
20/21,Galatasaray,Fatih Öztürk,7.20
20/21,Fenerbahçe,José Sosa,7.18
20/21,Hatayspor,Mame Biram Diouf,7.16
20/21,Galatasaray,Younès Belhanda,7.15
20/21,Fatih Karagümrük,Lucas Biglia,7.15
20/21,Alanyaspor,Steven Caulker,7.15
20/21,Hatayspor,Aaron-Salem Boupendza,7.14
20/21,Galatasaray,Gedson Fernandes,7.14
20/21,Beşiktaş,Welinton,7.13
20/21,Trabzonspor,Caleb Ekuban,7.13
20/21,Konyaspor,Guilherme Haubert Sityá,7.12
20/21,Konyaspor,Amir Hadžiahmetović,7.12
20/21,Fenerbahçe,Ozan Tufan,7.12
20/21,Fenerbahçe,Nazım Sangaré,7.12
20/21,Fenerbahçe,Attila Szalai,7.11
20/21,Galatasaray,Taylan Antalyalı,7.11
20/21,Galatasaray,Marcão,7.11
20/21,Gaziantep FK,Muhammet Demir,7.10
20/21,Trabzonspor,Kağan Moradaoğlu,7.10
20/21,Trabzonspor,Faruk Can Genç,7.10
20/21,Antalyaspor,Fredy,7.09
20/21,Çaykur Rizespor,Fernando Boldrin,7.09
20/21,Alanyaspor,Georgios Tzavellas,7.09
20/21,Erzurumspor FK,Emrah Başsan,7.09
20/21,Fatih Karagümrük,Fabio Borini,7.09
20/21,Beşiktaş,Vincent Aboubakar,7.08
20/21,Trabzonspor,Uğurcan Çakır,7.08
20/21,Fenerbahçe,Gökhan Gönül,7.07
20/21,Fenerbahçe,Serdar Aziz,7.07
20/21,Fatih Karagümrük,Jure Balkovec,7.07
20/21,Göztepe,Arda Özçimen,7.07
20/21,Alanyaspor,Serkan Kırıntılı,7.07
20/21,Çaykur Rizespor,Braian Samudio,7.06
20/21,Konyaspor,Ahmet Çalık,7.06
20/21,Kasımpaşa,Haris Hajradinović,7.06
20/21,Fenerbahçe,İrfan Can Kahveci,7.06
20/21,Kayserispor,Uğur Demirok,7.06
20/21,Trabzonspor,Vitor Hugo,7.06
20/21,Kayserispor,Daniel Avramovski,7.06
20/21,Hatayspor,Rayane Aabid,7.06
