Home Team,Away Team,MatchOutcome,Home Formation,Away Formation,Home_AvgAge,Home_SumValue,Home_AvgValue,Home_AvgRating,Away_AvgAge,Away_SumValue,Away_AvgValue,Away_AvgRating,Age_Diff,Value_Diff,Rating_Diff,Home_Advantage,Home_GoalsScored_Last5,Home_GoalsScored_Last10,Home_Points_Last5,Home_Points_Last10,Home_AvgAge_Last5,Home_AvgAge_Last10,Home_AvgValue_Last5,Home_AvgValue_Last10,Home_AvgRating_Last5,Home_AvgRating_Last10,Away_GoalsScored_Last5,Away_GoalsScored_Last10,Away_Points_Last5,Away_Points_Last10,Away_AvgAge_Last5,Away_AvgAge_Last10,Away_AvgValue_Last5,Away_AvgValue_Last10,Away_AvgRating_Last5,Away_AvgRating_Last10
4,21,1,9,3,-1.6493834442676034,-0.568747900597119,-0.5840659199554685,-1.9444119131449495,-0.09576834765788823,0.2842241215334968,0.25003476274804154,0.937253773136849,-1.1583347817185943,-0.6023120949870588,-2.0058235187865137,1,-0.7077457757142017,-0.3566937905040117,-1.3016243137057064,-1.2358874915468072,-0.2661372180389349,-0.02259822812417412,-0.1669845804223185,-0.18128022774083485,-1.112427035358956,-1.1872489658723435,-0.05514319232597586,-0.3560985686777517,0.2780380374293763,-0.42700591344604916,0.34377646845534066,0.3096004142698006,0.09161566667037396,0.0987620032538125,0.20440097266182722,0.2549527564131496
23,5,2,7,9,0.1344396652176369,-0.6411592158469261,-0.6395777232754607,-1.2371306033643874,0.42766186314509363,-0.41643994310806104,-0.4344579604056692,-1.0392728049485462,-0.23823549552054735,-0.1954659040650126,-0.08240199816563742,1,0.03191673156679622,0.3073430820065762,-0.29498986147323564,-0.11157194971564964,0.4600509620546066,0.32692158433466983,-0.5193057210881269,-0.4912590658410132,-0.7983996647077775,-0.6964304399935959,-0.2868805164141874,-0.3560985686777517,1.0084233587909917,0.7066107865630921,0.5053217293419582,0.6049563854990235,0.4523203627589563,0.2974039043582986,-0.8054274641988473,-0.7297876025404615
9,7,0,9,18,0.06169430485603286,-0.7814541909105628,-0.7954038755241506,-1.0037820382449705,-1.0256729769804105,-0.8618496387132435,-0.8695086068534084,-3.391759970439947,0.8588223521464807,-0.005749320433178024,1.7937323394769915,1,1.757795915222458,0.5729578310108113,0.711644590759235,0.4505858211999292,0.204740677894007,0.41749190218839083,-0.7421468259270421,-0.7415702015008352,-0.3505183636405326,-0.482221765209399,-0.5186178405023989,-0.22207029945135726,-1.6696561528682647,-1.4189205259540478,-0.1284385174846844,0.5359941964699109,-0.8943424725654237,-0.9008001921319982,-2.1178283321412192,-1.852391611747558
16,12,2,9,17,1.9645182696175134,-0.35468658090544475,-0.3264849840045172,0.7626123326008394,0.9270570132479431,-0.861648312763874,-0.8693909114375301,-0.2654836765066053,0.7355195881214052,0.30612011848160936,0.7104259657939859,1,-0.7077457757142017,-0.4895011650061292,-0.043331248415117964,-0.25211139244454434,1.9076397289850318,1.6224537861814747,-0.5736332159863539,-0.4966951679833426,0.6520626999134973,0.5809129588545492,-0.2868805164141874,0.18001450822782603,0.03457626364217115,-0.2853038259449065,2.105253630348201,2.3208127878026614,-0.8937214514903596,-0.9001386363214314,-0.5666039791312407,-0.6824814480417003
3,1,2,9,15,-2.167843836668627,-0.09426289660041387,-0.11263326723563633,-1.0851827004959347,-0.312646117601231,-0.13493734601440918,-0.15945244922956917,0.2307506558637768,-1.3744594193282418,0.019633827194176924,-0.9065500443576013,1,-1.2008541139015336,-0.4895011650061292,-1.8049415398219417,-1.0953480488179126,-0.764795277250045,-0.4193701498888038,-0.21812380854947547,-0.2202112120169583,-1.235315530797419,-1.2046094167778558,-0.9820924886788219,-0.4901268379041461,-0.4523472839322391,-0.2853038259449065,0.6246933830427215,0.6805543163307769,-0.25553735988401266,-0.26015923021010445,0.46202945655365607,0.45190082820387556
25,19,0,7,9,2.890845901570783,-0.7623725656568544,-0.776445001933229,-0.46111095657191037,-1.3536031909650603,-0.49210289139969104,-0.5083746062443152,0.028892622357187103,3.2356732671761734,-0.23443164883583778,-0.3354191330621317,1,-0.4611916066205357,0.3073430820065762,1.466620429933588,1.434361920302192,2.6664470825597566,2.6923004292401735,-0.7590207971787911,-0.7560764886415096,-0.013992945362915432,0.13021636395744204,0.6400687799386587,0.045986239001431596,0.5214998112165814,0.2815045240596641,0.08408933645224562,0.19759229377124832,-0.578287316775876,-0.5631020255887572,-0.45565448606833475,-0.4353309265788397
11,27,0,7,15,-0.5259139831167213,0.5661751884194504,0.5435562345516168,0.741809941136705,0.5170043110001457,-0.7205278489294995,-0.731527510904606,-0.29071593069493107,-0.8031590743090792,0.8867393106810028,0.7147248006101895,1,1.511241746128792,0.5729578310108113,1.9699376560498234,1.996519691217771,-0.5434943215034099,-0.7192692629469423,0.9264815071068068,1.1911402522376975,0.736572172930395,0.5854459654798715,-0.05514319232597586,-0.3560985686777517,-0.4523472839322391,-0.0018996509426212058,0.21662190368098055,0.3176604419128077,-0.7226381789055842,-0.7402256554361332,-0.5083084827761462,-0.5066763310167552
15,6,2,7,7,-0.2146070990575277,-0.4260933255264353,-0.4423290385330582,-0.2892651140421057,0.3457646192779602,-0.14909875081013121,-0.1732870085019427,1.0381827898901357,-0.43453595575397724,-0.21366809152091729,-0.955679585114186,1,0.03191673156679622,0.17453570750445857,-0.798307087589471,-0.25211139244454434,-0.44677651001016117,-0.26707497943080427,-0.5454271857798506,-0.4926867449766459,-0.46017271341639016,-0.5265873619679524,1.5670180762915047,1.5202972004917703,0.5214998112165814,0.7066107865630921,0.509442667648232,0.19128799959675638,-0.26418083367727435,-0.1934449832877829,1.1371289143432033,1.2001104146637183
20,10,2,18,7,-1.0499417559663455,-0.2794860358714712,-0.296664870249703,-0.614867763045954,0.4890847960454455,1.502328745597527,1.4400255062268847,1.2148085692083996,-1.1731633523186584,-1.1901741410664433,-1.3057275630049623,1,0.03191673156679622,-0.3566937905040117,-0.29498986147323564,-0.6737297206312285,-1.1609466072078065,-0.8923255459938344,-0.26892658479320936,-0.28973666141878696,-0.6643566750679794,-0.802425637466717,0.17659413176223565,0.5820993159070093,0.7649615850037865,1.4151212240688054,1.3182340455083537,1.2647832116301196,0.35571481642942865,0.31130580322434165,1.1916634109334332,1.4366411871574678
26,13,0,9,9,-1.0678827924119838,1.1202103902382348,1.0940273404738832,1.040279036056872,0.6677696917555543,-0.8044404506741915,-0.8135034080194674,-1.2747738440395702,-1.3281623956629702,1.346848259446158,1.6359036897964172,1,-0.21463743752686976,-0.22388641600189413,0.4599859777011174,0.31004637847103445,-1.0763406884746074,-0.9797907828748209,0.8822091213199927,0.7977672715000796,1.3188745820849292,1.2297115879734946,-0.05514319232597586,0.18001450822782603,-0.9392708315066494,-0.8521121759494772,0.9528743609408528,0.9800170975327809,-0.8411087799331782,-0.8392296958828365,-1.1952550898249366,-1.2991026904570566
