Season,Team Name,Player Name,Player Rating
23/24,Galatasaray,Dries Mertens,7.61
23/24,Fenerbahçe,Sebastian Szymański,7.55
23/24,Trabzonspor,Paul Onuachu,7.52
23/24,Galatasaray,Mauro Icardi,7.51
23/24,Sivasspor,Đorđe Nikolić,7.50
23/24,Fatih Karagümrük,Valentin Eysseric,7.46
23/24,Fenerbahçe,Ferdi Kadıoğlu,7.44
23/24,Fenerbahçe,Dušan Tadić,7.42
23/24,Kasımpaşa,Aytaç Kara,7.41
23/24,Trabzonspor,Poyraz Efe Yıldırım,7.40
23/24,Kasımpaşa,Haris Hajradinović,7.39
23/24,Fenerbahçe,İrfan Can Kahveci,7.39
23/24,Fenerbahçe,Edin Džeko,7.39
23/24,Konyaspor,Guilherme Haubert Sityá,7.35
23/24,Fenerbahçe,Fred,7.34
23/24,Galatasaray,Kerem Aktürkoğlu,7.33
23/24,Sivasspor,Rey Manaj,7.31
23/24,Adana Demirspor,Yusuf Sarı,7.30
23/24,Alanyaspor,Oğuz Aydın,7.28
23/24,Kasımpaşa,Nuno Da Costa,7.28
23/24,Trabzonspor,Edin Višća,7.28
23/24,Galatasaray,Hakim Ziyech,7.26
23/24,Trabzonspor,Anastasios Bakasetas,7.26
23/24,Çaykur Rizespor,Emirhan Topçu,7.26
23/24,Pendikspor,Mame Thiam,7.26
23/24,Sivasspor,Samu Sáiz,7.25
23/24,Trabzonspor,Thomas Meunier,7.24
23/24,Sivasspor,Ali Şaşal Vural,7.23
23/24,Galatasaray,Abdülkerim Bardakcı,7.23
23/24,Gaziantep FK,Denis Drăguş,7.22
23/24,Kayserispor,Bilal Bayazit,7.22
23/24,Galatasaray,Fernando Muslera,7.20
23/24,Galatasaray,Kerem Demirbay,7.20
23/24,Trabzonspor,Muhammet Taha Tepe,7.20
23/24,Antalyaspor,Helton Leite,7.20
23/24,Galatasaray,Lucas Torreira,7.20
23/24,Başakşehir FK,Krzysztof Piątek,7.20
23/24,Fenerbahçe,Çağlar Söyüncü,7.19
23/24,Adana Demirspor,Emre Akbaba,7.19
23/24,Beşiktaş,Gedson Fernandes,7.19
23/24,Antalyaspor,Adam Buksa,7.19
23/24,MKE Ankaragücü,Ertaç Özbir,7.19
23/24,Galatasaray,Wilfried Zaha,7.18
23/24,Trabzonspor,Mahmoud Trézéguet,7.17
23/24,Çaykur Rizespor,Gökhan Akkan,7.17
23/24,Alanyaspor,Richard Cândido,7.16
23/24,Başakşehir FK,Ousseynou Ba,7.16
23/24,Gaziantep FK,Alexandru Maxim,7.16
23/24,MKE Ankaragücü,Tolga Ciğerci,7.15
23/24,Çaykur Rizespor,Jonjo Shelvey,7.15
23/24,Başakşehir FK,Deniz Türüç,7.15
23/24,Beşiktaş,Valentin Rosier,7.15
23/24,Fenerbahçe,İsmail Yüksek,7.15
23/24,Galatasaray,Barış Alper Yılmaz,7.15
23/24,Beşiktaş,Omar Colley,7.14
23/24,Fatih Karagümrük,Marcão,7.14
23/24,Beşiktaş,Ernest Muçi,7.13
23/24,Beşiktaş,Semih Kılıçsoy,7.13
23/24,Samsunspor,Emre Kılınç,7.12
23/24,Çaykur Rizespor,Ibrahim Olawoyin,7.12
23/24,Kayserispor,Majid Hosseini,7.12
23/24,Trabzonspor,Berat Ayberk Özdemir,7.12
23/24,Başakşehir FK,Léo Duarte,7.12
23/24,Galatasaray,Victor Nelsson,7.12
23/24,Başakşehir FK,Davidson,7.11
23/24,Beşiktaş,Salih Uçan,7.11
23/24,Başakşehir FK,Muhammed Şengezer,7.11
23/24,Galatasaray,Sacha Boey,7.11
23/24,Beşiktaş,Jonas Svensson,7.10
23/24,Fenerbahçe,Mert Hakan Yandaş,7.10
23/24,Başakşehir FK,Deniz Dilmen,7.10
23/24,Antalyaspor,Sagiv Jehezkel,7.09
23/24,Galatasaray,Derrick Köhn,7.09
23/24,Adana Demirspor,Youcef Atal,7.09
23/24,Adana Demirspor,Kévin Rodrigues,7.09
23/24,Adana Demirspor,Mario Balotelli,7.09
23/24,Adana Demirspor,Semih Güler,7.09
23/24,Kayserispor,Miguel Cardoso,7.08
23/24,Beşiktaş,Joe Worrall,7.08
23/24,Adana Demirspor,M'Baye Niang,7.08
23/24,Pendikspor,Badou Ndiaye,7.07
23/24,Gaziantep FK,Florin Niță,7.07
23/24,Galatasaray,Kaan Ayhan,7.07
23/24,Galatasaray,Angeliño,7.06
23/24,Beşiktaş,Amir Hadžiahmetović,7.06
23/24,Başakşehir FK,Jerome Opoku,7.06
23/24,Trabzonspor,Enis Bardhi,7.06
23/24,Hatayspor,Didier Lamkel Zé,7.05
23/24,Galatasaray,Davinson Sánchez,7.05
23/24,Adana Demirspor,Cherif Ndiaye,7.05
23/24,Galatasaray,Günay Güvenç,7.05
23/24,Fenerbahçe,Cengiz Ünder,7.05
23/24,MKE Ankaragücü,Alexis Flips,7.04
23/24,Başakşehir FK,Dimitrios Pelkas,7.04
23/24,MKE Ankaragücü,Bahadır Han Güngördü,7.04
23/24,MKE Ankaragücü,Efkan Bekiroğlu,7.04
23/24,Antalyaspor,Ramzi Safuri,7.04
23/24,Alanyaspor,Nicolas Janvier,7.04
23/24,Trabzonspor,Uğurcan Çakır,7.04
23/24,Fatih Karagümrük,Matías Dituro,7.04
23/24,Konyaspor,Steven​ N'Zonzi,7.03
23/24,Beşiktaş,Milot Rashica,7.03
23/24,Adana Demirspor,Maestro,7.03
23/24,Adana Demirspor,Younès Belhanda,7.03
23/24,Kasımpaşa,Jackson Porozo,7.03
23/24,Antalyaspor,Amar Gerxhaliu,7.03
23/24,Alanyaspor,Efecan Karaca,7.02
23/24,Çaykur Rizespor,Tarik Çetin,7.02
23/24,Trabzonspor,Stefano Denswil,7.02
23/24,Samsunspor,Zeki Yavru,7.02
23/24,Pendikspor,Thuram,7.02
23/24,Fenerbahçe,Alexander Djiku,7.01
23/24,Alanyaspor,Ertuğrul Taşkıran,7.01
23/24,Hatayspor,Fisayo Dele-Bashiru,7.01
23/24,Kasımpaşa,Mortadha Ben Ouanes,7.01
23/24,MKE Ankaragücü,Pedrinho,7.01
23/24,Adana Demirspor,Şahrudin Mahammadaliev,7.00
23/24,Fenerbahçe,Bright Osayi-Samuel,7.00
23/24,Antalyaspor,Bünyamin Balcı,7.00
23/24,Beşiktaş,Umut Meraş,7.00
23/24,Beşiktaş,Ersin Destanoğlu,7.00
23/24,Trabzonspor,Nicolas Pépé,6.99
23/24,Konyaspor,Francisco Calvo,6.99
23/24,Konyaspor,Jakub Słowik,6.99
23/24,Konyaspor,Filip Damjanović,6.99
23/24,Fenerbahçe,Miguel Crespo,6.99
23/24,Fatih Karagümrük,Ibrahim Drešević,6.99
23/24,Sivasspor,Modou Barrow,6.99
23/24,Başakşehir FK,Volkan Babacan,6.98
23/24,Fatih Karagümrük,Salvatore Sirigu,6.98
23/24,Kayserispor,Ali Karimi,6.98
23/24,Hatayspor,Erce Kardeşler,6.98
23/24,Sivasspor,Caner Osmanpaşa,6.98
23/24,Pendikspor,Halil Akbunar,6.98
23/24,İstanbulspor,Florian Loshaj,6.98
23/24,Kasımpaşa,Gökhan Gül,6.97
23/24,Fatih Karagümrük,Emre Bilgin,6.97
23/24,Trabzonspor,Enis Destan,6.97
23/24,Antalyaspor,Sam Larsson,6.97
23/24,Trabzonspor,Abdülkadir Ömür,6.97
23/24,Fenerbahçe,Serdar Aziz,6.97
23/24,Beşiktaş,Alex Oxlade-Chamberlain,6.97
23/24,Galatasaray,Sérgio Oliveira,6.96
23/24,Beşiktaş,Necip Uysal,6.96
23/24,Sivasspor,Bengali-Fodé Koita,6.96
23/24,Fatih Karagümrük,Ryan Mendes,6.96
23/24,İstanbulspor,Mücahit Serbest,6.96
23/24,Konyaspor,Ahmet Oğuz,6.96
23/24,Samsunspor,Mickael Tirpan,6.96
23/24,Pendikspor,Erdem Canpolat,6.95
23/24,Kasımpaşa,Andreas Gianniotis,6.95
23/24,Konyaspor,Uğurcan Yazğılı,6.95
23/24,Fenerbahçe,Joshua King,6.95
23/24,Başakşehir FK,Edgar Ié,6.95
23/24,Hatayspor,Faouzi Ghoulam,6.95
23/24,Antalyaspor,Bahadır Öztürk,6.95
23/24,Konyaspor,Sokol Cikalleshi,6.94
23/24,Alanyaspor,Jure Balkovec,6.94
23/24,Kayserispor,Mehdi Bourabia,6.94
23/24,Kasımpaşa,Mamadou Fall,6.94
23/24,Gaziantep FK,Papy Djilobodji,6.94
23/24,Sivasspor,Samba Camara,6.94
23/24,Başakşehir FK,Olivier Kemen,6.94
23/24,Kasımpaşa,Kenneth Omeruo,6.93
23/24,Alanyaspor,Nuno Lima,6.93
23/24,Gaziantep FK,Mustafa Eskihellaç,6.93
23/24,Antalyaspor,Veysel Sarı,6.93
23/24,Alanyaspor,Ahmed Hassan,6.93
23/24,Gaziantep FK,Deian Sorescu,6.93
23/24,Pendikspor,Arnaud Lusamba,6.93
23/24,Alanyaspor,Florent Hadergjonaj,6.93
23/24,Gaziantep FK,Júnior Morais,6.93
23/24,MKE Ankaragücü,Garry Rodrigues,6.93
23/24,Pendikspor,Óscar Romero,6.93
23/24,Başakşehir FK,Hamza Güreler,6.93
23/24,Hatayspor,Chandrel Massanga,6.92
23/24,Alanyaspor,Loide Augusto,6.92
23/24,MKE Ankaragücü,Christian Bassogog,6.92
23/24,Antalyaspor,Ömer Toprak,6.92
23/24,Hatayspor,Nikola Maksimović,6.92
23/24,İstanbulspor,Alp Arda,6.92
23/24,Pendikspor,Alpaslan Öztürk,6.92
23/24,Hatayspor,Rigoberto Rivas,6.92
23/24,Beşiktaş,Rachid Ghezzal,6.92
23/24,Fatih Karagümrük,Marcus Rohdén,6.91
23/24,Alanyaspor,Ui-Jo Hwang,6.91
23/24,İstanbulspor,David Jensen,6.91
23/24,Fenerbahçe,Mert Müldür,6.91
23/24,Fatih Karagümrük,Güven Yalçın,6.91
23/24,Pendikspor,Fredrik Midtsjø,6.91
23/24,Galatasaray,Berkan Kutlu,6.91
23/24,Sivasspor,Charis Charisis,6.91
23/24,Samsunspor,Muhammed Gümüşkaya,6.91
23/24,Fenerbahçe,Rade Krunić,6.91
23/24,Adana Demirspor,Édouard Michut,6.90
23/24,Başakşehir FK,Léo Dubois,6.90
23/24,Samsunspor,Carlo Holse,6.90
23/24,Fatih Karagümrük,Münir Levent Mercan,6.90
23/24,Alanyaspor,João Novais,6.90
23/24,Beşiktaş,Jackson Muleka,6.90
23/24,Gaziantep FK,Arda Kızıldağ,6.90
23/24,Pendikspor,Gökcan Kaya,6.90
23/24,Trabzonspor,Filip Benković,6.90
23/24,Gaziantep FK,Ertuğrul Ersoy,6.90
23/24,Sivasspor,Emrah Başsan,6.90
23/24,Çaykur Rizespor,Sinan Osmanoğlu,6.90
23/24,Trabzonspor,Arif Boşluk,6.90
23/24,Konyaspor,Anderson Niangbo,6.90
23/24,Fenerbahçe,Rodrigo Becão,6.90
23/24,Samsunspor,Enes Albak,6.90
23/24,Fenerbahçe,İrfan Can Eğribayat,6.90
23/24,MKE Ankaragücü,Rafał Gikiewicz,6.90
23/24,Hatayspor,Guy-Marcelin Kilama,6.90
23/24,MKE Ankaragücü,Olimpiu Moruțan,6.90
23/24,Antalyaspor,Güray Vural,6.90
23/24,Hatayspor,Görkem Sağlam,6.90
23/24,Pendikspor,Erdem Özgenç,6.90
23/24,MKE Ankaragücü,Uroš Radaković,6.89
23/24,Antalyaspor,Erdoğan Yeşilyurt,6.89
23/24,Konyaspor,Teenage Hadebe,6.89
23/24,Samsunspor,Rick Van Drongelen,6.89
23/24,MKE Ankaragücü,Hayrullah Bilazer,6.89
23/24,Pendikspor,Nuno Sequeira,6.89
23/24,Fenerbahçe,Dominik Livaković,6.89
23/24,Çaykur Rizespor,Gustavo Sauer,6.89
23/24,Beşiktaş,Mert Günok,6.89
23/24,Fenerbahçe,Ryan Kent,6.89
23/24,Başakşehir FK,Ömer Ali Şahiner,6.89
23/24,Antalyaspor,Jakub Kałuziński,6.88
23/24,Pendikspor,Welinton,6.88
23/24,Gaziantep FK,Ogün Özçiçek,6.88
23/24,Çaykur Rizespor,Altin Zeqiri,6.88
23/24,Konyaspor,Alassane Ndao,6.88
23/24,Hatayspor,Engin Aksoy,6.88
23/24,Konyaspor,Alexandru Cicâldău,6.88
23/24,Fenerbahçe,Michy Batshuayi,6.88
23/24,Çaykur Rizespor,Attila Mocsi,6.88
23/24,Samsunspor,Marius Mouandilmadji,6.88
23/24,Başakşehir FK,João Figueiredo,6.88
23/24,Gaziantep FK,Jamiro Monteiro,6.88
23/24,Çaykur Rizespor,Muhammet Taha Şahin,6.87
23/24,Trabzonspor,Eren Elmalı,6.87
23/24,Hatayspor,Recep Burak Yılmaz,6.87
23/24,Sivasspor,Aaron Appindangoyé,6.87
23/24,Trabzonspor,Mehmet Aydın,6.87
23/24,Fenerbahçe,Serdar Dursun,6.87
23/24,MKE Ankaragücü,Anastasios Chatzigiovanis,6.87
23/24,İstanbulspor,Simon Deli,6.87
23/24,Alanyaspor,Fidan Aliti,6.87
23/24,Çaykur Rizespor,Benhur Keser,6.87
23/24,Çaykur Rizespor,Adolfo Gaich,6.86
23/24,Samsunspor,Flavien Tait,6.86
23/24,Samsunspor,Alim Öztürk,6.86
23/24,Beşiktaş,Cenk Tosun,6.86
23/24,Hatayspor,Kamil Ahmet Çörekçi,6.85
23/24,Fenerbahçe,Jayden Oosterwolde,6.85
23/24,Antalyaspor,Dario Šarić,6.85
23/24,Trabzonspor,Batista Mendy,6.85
23/24,Antalyaspor,Ataberk Dadakdeniz,6.85
23/24,Antalyaspor,Ege Bilsel,6.85
23/24,Kayserispor,Kartal Kayra Yılmaz,6.85
23/24,Adana Demirspor,Andreaw Gravillon,6.85
23/24,MKE Ankaragücü,Ali Sowe,6.84
23/24,Konyaspor,Marlos Moreno,6.84
23/24,Başakşehir FK,Berkay Özcan,6.84
23/24,Fatih Karagümrük,Emre Mor,6.84
23/24,MKE Ankaragücü,Stelios Kitsiou,6.84
23/24,Samsunspor,Soner Aydoğdu,6.84
23/24,Başakşehir FK,Mehdi Abeid,6.84
23/24,Sivasspor,Yunus Konak,6.83
23/24,Fatih Karagümrük,Nazım Sangaré,6.83
23/24,MKE Ankaragücü,Renaldo Cephas,6.83
23/24,Adana Demirspor,Nani,6.83
23/24,Alanyaspor,Yusuf Karagöz,6.83
23/24,Gaziantep FK,Lazar Marković,6.82
23/24,Fatih Karagümrük,Can Keleş,6.82
23/24,Samsunspor,Moryke Fofana,6.82
23/24,Beşiktaş,Arthur Masuaku,6.82
23/24,Antalyaspor,Zymer Bytyqi,6.82
23/24,Galatasaray,Cédric Bakambu,6.82
23/24,Gaziantep FK,Nicolas N'Koulou,6.82
23/24,Hatayspor,Rui Pedro,6.82
23/24,Pendikspor,Endri Çekiçi,6.82
23/24,Fatih Karagümrük,Sofiane Feghouli,6.82
23/24,Beşiktaş,Bakhtiyar Zaynutdinov,6.82
23/24,Kasımpaşa,Cláudio Winck,6.82
23/24,Hatayspor,Cengiz Demir,6.81
23/24,Çaykur Rizespor,Muammer Sarıkaya,6.81
23/24,Fatih Karagümrük,Koray Günter,6.81
23/24,Adana Demirspor,Benjamin Stambouli,6.81
23/24,Fatih Karagümrük,Davide Biraschi,6.80
23/24,MKE Ankaragücü,Ali Kaan Güneren,6.80
23/24,Samsunspor,Okan Kocuk,6.80
23/24,Adana Demirspor,Yusuf Erdoğan,6.80
23/24,İstanbulspor,Eduart Rroca,6.80
23/24,Samsunspor,Youssef Aït Bennasser,6.80
23/24,Trabzonspor,Umut Bozok,6.80
23/24,Çaykur Rizespor,John Mary,6.80
23/24,MKE Ankaragücü,Alper Uludağ,6.80
23/24,Hatayspor,Halil Dervişoğlu,6.80
23/24,Adana Demirspor,Pape Abou Cissé,6.80
23/24,MKE Ankaragücü,Riccardo Saponara,6.80
23/24,Beşiktaş,Mutassim Al Musrati,6.80
23/24,Başakşehir FK,Efecan Barlik,6.80
23/24,Konyaspor,Gökhan Töre,6.80
23/24,Kasımpaşa,Ali Emre Yanar,6.80
23/24,Sivasspor,Uğur Çiftçi,6.80
23/24,İstanbulspor,Mehmet Yeşil,6.80
23/24,Kayserispor,Aylton Boa Morte,6.80
23/24,Galatasaray,Tetê,6.80
23/24,Alanyaspor,Carlos Eduardo,6.80
23/24,Trabzonspor,Taxiarchis Fountas,6.80
23/24,Kayserispor,Carlos Mané,6.80
23/24,Sivasspor,Alaaddin Okumuş,6.79
23/24,Hatayspor,Renat Dadaşov,6.79
23/24,Hatayspor,Carlos Strandberg,6.79
23/24,Gaziantep FK,Marko Jevtović,6.79
23/24,Çaykur Rizespor,Casper Højer,6.79
23/24,Çaykur Rizespor,Eray Korkmaz,6.79
23/24,Samsunspor,Ľubomír Šatka,6.79
23/24,Alanyaspor,Sergio Córdova,6.79
23/24,Kayserispor,Gökhan Sazdağı,6.79
23/24,Beşiktaş,Daniel Amartey,6.79
23/24,Alanyaspor,Furkan Bayır,6.79
23/24,Başakşehir FK,Lucas Lima,6.79
23/24,Antalyaspor,Erdal Rakip,6.78
23/24,Kayserispor,Anthony Uzodimma,6.78
23/24,Sivasspor,Hakan Arslan,6.78
23/24,Alanyaspor,Yusuf Özdemir,6.78
23/24,Konyaspor,Paul Bernardoni,6.78
23/24,Kayserispor,Lionel Carole,6.78
23/24,Beşiktaş,Vincent Aboubakar,6.78
23/24,Sivasspor,Queensy Menig,6.78
23/24,Konyaspor,Robert Murić,6.78
23/24,Başakşehir FK,Danijel Aleksić,6.78
23/24,Beşiktaş,Eric Bailly,6.78
23/24,Beşiktaş,Serkan Emrecan Terzi,6.78
23/24,Fenerbahçe,Samet Akaydın,6.78
23/24,Sivasspor,Ziya Erdal,6.78
23/24,Samsunspor,Arbnor Muja,6.78
23/24,Kasımpaşa,Yasin Özcan,6.78
23/24,Pendikspor,Mehmet Umut Nayir,6.77
23/24,Pendikspor,Leandro Kappel,6.77
23/24,Fatih Karagümrük,Andrea Bertolacci,6.77
23/24,Samsunspor,Taylan Antalyalı,6.77
23/24,Çaykur Rizespor,Babajide David Akintola,6.77
23/24,Gaziantep FK,Furkan Soyalp,6.77
23/24,Beşiktaş,Ante Rebić,6.77
23/24,Alanyaspor,Fatih Aksoy,6.77
23/24,İstanbulspor,Jackson,6.77
23/24,Alanyaspor,Leroy Fer,6.77
23/24,MKE Ankaragücü,Nihad Mujakić,6.77
23/24,Samsunspor,Soner Gönül,6.77
23/24,Konyaspor,Soner Dikmen,6.76
23/24,Sivasspor,Gerson Rodrigues,6.76
23/24,Pendikspor,Murat Akça,6.76
23/24,Kasımpaşa,Iron Gomis,6.76
23/24,Alanyaspor,Pione Sisto,6.76
23/24,Beşiktaş,Onur Bulut,6.76
23/24,Çaykur Rizespor,Dal Varešanović,6.76
23/24,Fatih Karagümrük,Dimitrios Kourbelis,6.76
23/24,Hatayspor,Joelson Fernandes,6.75
