Season_x,Week,Match Date_x,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home_AvgAge,Home_SumValue,Home_AvgValue,Home_AvgRating,Away_AvgAge,Away_SumValue,Away_AvgValue,Away_AvgRating,Age_Diff,Value_Diff,Rating_Diff,Home_Advantage,Match Date_y,Season_y,Home_GoalsScored_Last5,Home_GoalsScored_Last10,Home_Points_Last5,Home_Points_Last10,Home_AvgAge_Last5,Home_AvgAge_Last10,Home_AvgValue_Last5,Home_AvgValue_Last10,Home_AvgRating_Last5,Home_AvgRating_Last10,Match Date,Season,Away_GoalsScored_Last5,Away_GoalsScored_Last10,Away_Points_Last5,Away_Points_Last10,Away_AvgAge_Last5,Away_AvgAge_Last10,Away_AvgValue_Last5,Away_AvgValue_Last10,Away_AvgRating_Last5,Away_AvgRating_Last10
21/22,Round 38,20/05/22,anta,gala,1,1,6.71,6.89,4-2-3-1,4-3-1-2,29.62770562770563,1787483333.3333335,162498484.84848487,6.915454545454545,28.877742946708466,5527582758.620689,502507523.5109718,6.867272727272726,0.7499626809971645,-3740099425.287356,0.04818181818181877,1,2022-05-20,21/22,11.0,25.0,9.0,24.0,29.974025974025977,30.174458874458878,219266818.1818182,213926212.1212121,6.917272727272727,6.906999999999999,2022-05-20,21/22,6.0,12.0,6.0,15.0,28.85956112852665,29.17021943573668,669188887.1473354,609523738.2445142,6.850363636363636,6.866545454545455
21/22,Round 38,20/05/22,gazi,rize,2,0,7.03,6.88,4-1-4-1,4-4-2,29.181818181818183,234600000.0,21327272.727272727,6.893636363636364,28.996503496503497,1670647115.3846154,151877010.4895105,6.7718181818181815,0.18531468531468676,-1436047115.3846154,0.12181818181818205,1,2022-05-20,21/22,6.0,12.0,5.0,9.0,30.092307692307696,30.521678321678326,18294807.692307692,20633041.95804196,6.871272727272728,6.875636363636365,2022-05-20,21/22,11.0,19.0,6.0,13.0,29.506293706293707,29.715734265734266,154432062.93706292,180544816.43356642,6.7476363636363645,6.758454545454545
21/22,Round 38,21/05/22,alta,kası,2,4,6.65,6.87,3-5-2,4-1-4-1,29.11188811188811,371967307.6923077,33815209.79020979,6.675454545454546,28.612794612794616,1325182407.4074073,120471127.94612794,6.891818181818182,0.4990934990934939,-953215099.7150996,-0.21636363636363587,1,2022-05-21,21/22,5.0,10.0,4.0,8.0,29.92167832167832,30.341958041958044,39633671.32867132,37004055.944055945,6.710727272727273,6.739,2022-05-21,21/22,14.0,27.0,9.0,21.0,28.962962962962962,29.190235690235692,131493720.53872053,135444629.6296296,6.90890909090909,6.924090909090909
21/22,Round 38,21/05/22,siva,kays,2,1,6.86,6.68,4-2-3-1,4-4-2,30.680000000000003,137122000.0,12465636.363636363,6.694545454545456,29.69034090909091,840378125.0,76398011.36363636,6.755454545454546,0.9896590909090932,-703256125.0,-0.06090909090908969,1,2022-05-21,21/22,9.0,17.0,12.0,20.0,32.90836363636363,33.22363636363636,15356254.545454543,23823318.18181818,6.81909090909091,6.840999999999999,2022-05-21,21/22,8.0,13.0,5.0,9.0,30.423863636363638,30.571875,56603522.72727273,63130198.86363635,6.792,6.811181818181818
21/22,Round 38,21/05/22,beşi,kony,1,1,6.84,6.85,3-4-1-2,4-2-3-1,26.454545454545453,2471650000.0,224695454.54545453,6.858181818181818,29.954545454545453,1478180000.0,134380000.0,6.844545454545455,-3.5,993470000.0,0.013636363636363669,1,2022-05-21,21/22,7.0,14.0,8.0,14.0,27.342424242424237,28.019318181818182,237910378.78787875,227131789.77272725,6.900181818181818,6.901818181818181,2022-05-21,21/22,10.0,22.0,7.0,16.0,29.909090909090907,29.98636363636363,185381272.72727275,188430636.36363637,6.947636363636363,6.95109090909091
21/22,Round 38,21/05/22,yeni,fene,0,5,6.17,7.43,4-2-3-1,4-2-3-1,26.482954545454547,149033593.75,13548508.522727273,6.623636363636365,30.454545454545453,6221100000.0,565554545.4545455,7.000909090909091,-3.9715909090909065,-6072066406.25,-0.3772727272727261,1,2022-05-21,21/22,4.0,4.0,0.0,0.0,27.07727272727273,28.38409090909091,13393806.818181818,21815994.31818182,6.609999999999999,6.6696363636363625,2022-05-21,21/22,15.0,30.0,11.0,26.0,29.8,29.313636363636363,677556363.6363636,788627191.5584415,7.000181818181818,6.998181818181818
21/22,Round 38,22/05/22,başa,trab,3,1,6.94,6.71,4-1-4-1,4-2-3-1,32.53030303030303,1364777083.3333333,124070643.93939394,6.9818181818181815,28.90909090909091,5050950000.0,459177272.72727275,7.02909090909091,3.621212121212121,-3686172916.666667,-0.04727272727272869,1,2022-05-22,21/22,7.0,15.0,9.0,19.0,31.330303030303032,31.535606060606067,143666098.48484847,160514270.8333333,6.966909090909091,6.959545454545454,2022-05-22,21/22,9.0,17.0,8.0,14.0,28.522727272727273,29.084090909090907,440570146.103896,381841712.66233766,6.999636363636364,7.021363636363636
21/22,Round 38,22/05/22,fati,alan,0,1,6.82,6.99,4-2-3-1,4-2-3-1,29.132231404958677,526384090.9090909,47853099.17355371,6.8963636363636365,29.771043771043768,877581481.4814816,79780134.68013468,6.9,-0.6388123660850908,-351197390.5723907,-0.003636363636363882,1,2022-05-22,21/22,7.0,14.0,10.0,17.0,29.623140495867766,29.529752066115698,48749917.3553719,60941095.04132231,6.906727272727272,6.876545454545455,2022-05-22,21/22,8.0,16.0,12.0,18.0,30.226262626262628,30.66498316498317,95159898.98989901,92009755.89225589,6.8856363636363636,6.888090909090908
21/22,Round 38,22/05/22,adan,gözt,7,0,7.37,5.92,4-2-3-1,5-4-1,27.72390572390572,2327517592.5925927,211592508.41750842,6.895454545454545,26.400673400673398,200576296.2962963,18234208.754208755,6.493636363636363,1.3232323232323218,2126941296.2962964,0.4018181818181814,1,2022-05-22,21/22,11.0,18.0,3.0,10.0,29.191582491582487,29.391885521885524,257407498.31649834,266842058.92255893,6.908090909090909,6.927363636363637,2022-05-22,21/22,3.0,6.0,1.0,1.0,27.698989898989897,28.635353535353527,33921505.05050506,56872641.41414143,6.565454545454545,6.626454545454545
21/22,Round 38,22/05/22,hata,gire,4,1,7.19,6.36,4-2-3-1,5-4-1,29.047272727272727,1316759000.0,119705363.63636364,6.867272727272728,26.524475524475523,441163461.5384616,40105769.23076924,6.5663636363636355,2.5227972027972037,875595538.4615383,0.30090909090909257,1,2022-05-22,21/22,6.0,12.0,4.0,10.0,29.392727272727274,30.028727272727274,111661272.72727272,106306563.63636364,6.840727272727274,6.860909090909092,2022-05-22,21/22,6.0,12.0,5.0,13.0,28.669930069930068,28.842657342657343,103733496.50349651,120899860.13986015,6.83,6.860636363636364
21/22,Round 38,22/05/22,hata,gire,4,1,7.19,6.36,4-2-3-1,5-4-1,29.047272727272727,1316759000.0,119705363.63636364,6.867272727272728,26.524475524475523,441163461.5384616,40105769.23076924,6.5663636363636355,2.5227972027972037,875595538.4615383,0.30090909090909257,1,2022-05-22,21/22,6.0,12.0,4.0,10.0,29.392727272727274,30.028727272727274,111661272.72727272,106306563.63636364,6.840727272727274,6.860909090909092,2022-05-22,21/22,6.0,11.0,5.0,10.0,28.135664335664337,28.61538461538462,83937465.03496504,111175996.5034965,6.655454545454544,6.775999999999999
21/22,Round 38,22/05/22,hata,gire,4,1,7.19,6.36,4-2-3-1,5-4-1,29.047272727272727,1316759000.0,119705363.63636364,6.867272727272728,26.524475524475523,441163461.5384616,40105769.23076924,6.5663636363636355,2.5227972027972037,875595538.4615383,0.30090909090909257,1,2022-05-22,21/22,10.0,13.0,7.0,10.0,29.229090909090907,29.835636363636365,111678545.45454545,108283309.09090908,6.839636363636364,6.859909090909092,2022-05-22,21/22,6.0,12.0,5.0,13.0,28.669930069930068,28.842657342657343,103733496.50349651,120899860.13986015,6.83,6.860636363636364
21/22,Round 38,22/05/22,hata,gire,4,1,7.19,6.36,4-2-3-1,5-4-1,29.047272727272727,1316759000.0,119705363.63636364,6.867272727272728,26.524475524475523,441163461.5384616,40105769.23076924,6.5663636363636355,2.5227972027972037,875595538.4615383,0.30090909090909257,1,2022-05-22,21/22,10.0,13.0,7.0,10.0,29.229090909090907,29.835636363636365,111678545.45454545,108283309.09090908,6.839636363636364,6.859909090909092,2022-05-22,21/22,6.0,11.0,5.0,10.0,28.135664335664337,28.61538461538462,83937465.03496504,111175996.5034965,6.655454545454544,6.775999999999999
21/22,Round 38,22/05/22,hata,gire,4,1,7.19,6.36,4-2-3-1,5-4-1,29.047272727272727,1316759000.0,119705363.63636364,6.867272727272728,26.524475524475523,441163461.5384616,40105769.23076924,6.039090909090908,2.5227972027972037,875595538.4615383,0.8281818181818199,1,2022-05-22,21/22,6.0,12.0,4.0,10.0,29.392727272727274,30.028727272727274,111661272.72727272,106306563.63636364,6.840727272727274,6.860909090909092,2022-05-22,21/22,6.0,12.0,5.0,13.0,28.669930069930068,28.842657342657343,103733496.50349651,120899860.13986015,6.83,6.860636363636364
21/22,Round 38,22/05/22,hata,gire,4,1,7.19,6.36,4-2-3-1,5-4-1,29.047272727272727,1316759000.0,119705363.63636364,6.867272727272728,26.524475524475523,441163461.5384616,40105769.23076924,6.039090909090908,2.5227972027972037,875595538.4615383,0.8281818181818199,1,2022-05-22,21/22,6.0,12.0,4.0,10.0,29.392727272727274,30.028727272727274,111661272.72727272,106306563.63636364,6.840727272727274,6.860909090909092,2022-05-22,21/22,6.0,11.0,5.0,10.0,28.135664335664337,28.61538461538462,83937465.03496504,111175996.5034965,6.655454545454544,6.775999999999999
21/22,Round 38,22/05/22,hata,gire,4,1,7.19,6.36,4-2-3-1,5-4-1,29.047272727272727,1316759000.0,119705363.63636364,6.867272727272728,26.524475524475523,441163461.5384616,40105769.23076924,6.039090909090908,2.5227972027972037,875595538.4615383,0.8281818181818199,1,2022-05-22,21/22,10.0,13.0,7.0,10.0,29.229090909090907,29.835636363636365,111678545.45454545,108283309.09090908,6.839636363636364,6.859909090909092,2022-05-22,21/22,6.0,12.0,5.0,13.0,28.669930069930068,28.842657342657343,103733496.50349651,120899860.13986015,6.83,6.860636363636364
21/22,Round 38,22/05/22,hata,gire,4,1,7.19,6.36,4-2-3-1,5-4-1,29.047272727272727,1316759000.0,119705363.63636364,6.867272727272728,26.524475524475523,441163461.5384616,40105769.23076924,6.039090909090908,2.5227972027972037,875595538.4615383,0.8281818181818199,1,2022-05-22,21/22,10.0,13.0,7.0,10.0,29.229090909090907,29.835636363636365,111678545.45454545,108283309.09090908,6.839636363636364,6.859909090909092,2022-05-22,21/22,6.0,11.0,5.0,10.0,28.135664335664337,28.61538461538462,83937465.03496504,111175996.5034965,6.655454545454544,6.775999999999999
21/22,Round 37,14/05/22,kays,yeni,3,0,7.05,6.51,4-4-2,4-2-3-1,30.963068181818183,291903125.0,26536647.727272727,6.770000000000001,26.420454545454547,134992187.5,12272017.045454545,6.550909090909091,4.542613636363637,156910937.5,0.21909090909091056,1,2022-05-14,21/22,8.0,13.0,6.0,9.0,30.81306818181818,30.676136363636363,50831193.18181817,60929204.54545455,6.810181818181819,6.819909090909091,2022-05-14,21/22,4.0,5.0,0.0,3.0,27.54431818181818,28.672159090909094,14913650.568181818,24397507.102272727,6.631454545454545,6.682727272727273
21/22,Round 37,15/05/22,gözt,beşi,0,2,6.53,6.68,5-3-2,3-4-2-1,27.946127946127945,202051296.2962963,18368299.663299665,6.555454545454546,26.950757575757574,2211355208.333333,201032291.66666663,6.9018181818181805,0.9953703703703702,-2009303912.0370367,-0.3463636363636349,1,2022-05-15,21/22,3.0,8.0,1.0,1.0,28.36094276094276,28.95353535353535,36812892.25589226,65409459.595959604,6.591818181818182,6.649545454545455,2022-05-15,21/22,6.0,15.0,8.0,14.0,27.787121212121214,28.1780303030303,239551382.57575756,222216382.57575756,6.910363636363636,6.898363636363635
21/22,Round 37,15/05/22,trab,alta,2,1,7.01,6.71,4-2-3-1,3-5-2,28.477272727272727,5059252678.571428,459932061.68831164,7.0590909090909095,30.566433566433567,371917307.6923077,33810664.33566434,6.7,-2.08916083916084,4687335370.879121,0.35909090909090935,1,2022-05-15,21/22,9.0,17.0,9.0,15.0,28.636363636363637,29.147727272727273,426177922.07792205,367843530.8441558,7.011636363636365,7.023454545454546,2022-05-15,21/22,4.0,8.0,5.0,9.0,30.3034965034965,30.576223776223777,36547762.237762235,37095489.51048951,6.724545454545455,6.750818181818181
21/22,Round 37,15/05/22,alan,gazi,3,0,7.15,6.41,4-2-3-1,4-4-2,30.340067340067343,1078940740.7407408,98085521.88552189,6.847272727272727,29.32867132867133,246427884.6153846,22402534.965034965,6.8136363636363635,1.0113960113960125,832512856.1253562,0.03363636363636324,1,2022-05-15,21/22,8.0,17.0,9.0,18.0,30.740067340067345,30.664983164983163,93007794.61279461,98277483.16498317,6.8858181818181805,6.882727272727273,2022-05-15,21/22,5.0,12.0,2.0,7.0,30.38741258741259,30.667132867132874,18760367.132867135,20630314.685314685,6.863454545454546,6.876
