Season_x,Week,Match Date_x,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home_AvgAge,Home_SumValue,Home_AvgValue,Home_AvgRating,Away_AvgAge,Away_SumValue,Away_AvgValue,Away_AvgRating,Age_Diff,Value_Diff,Rating_Diff,Home_Advantage,Match Date_y,Season_y,Home_GoalsScored_Last5,Home_GoalsScored_Last10,Home_Points_Last5,Home_Points_Last10,Home_AvgAge_Last5,Home_AvgAge_Last10,Home_AvgValue_Last5,Home_AvgValue_Last10,Home_AvgRating_Last5,Home_AvgRating_Last10,Match Date,Season,Away_GoalsScored_Last5,Away_GoalsScored_Last10,Away_Points_Last5,Away_Points_Last10,Away_AvgAge_Last5,Away_AvgAge_Last10,Away_AvgValue_Last5,Away_AvgValue_Last10,Away_AvgRating_Last5,Away_AvgRating_Last10
20/21,Round 20,19/01/21,kays,başa,2,0,7.06,6.7,4-5-1,4-2-3-1,30.20689655172414,1228716379.3103447,111701489.02821316,6.826363636363635,31.146153846153844,8855673076.923077,885567307.6923077,6.763,-0.9392572944297051,-7626956697.612732,0.0633636363636354,1,2021-01-19,20/21,5.0,9.0,9.0,11.0,30.302758620689655,30.424169278996867,118006504.70219436,119581239.02821317,6.8225999999999996,6.801990909090909,2021-01-19,20/21,4.0,12.0,7.0,10.0,31.44230769230769,31.405944055944058,702652865.3846154,779827365.3846153,6.7842,6.787454545454546
20/21,Round 20,19/01/21,trab,kony,3,1,7.04,6.49,4-2-3-1,4-2-3-1,28.454545454545453,4531175000.0,411925000.0,6.961818181818182,30.895652173913042,2938922826.086956,293892282.6086956,6.910999999999999,-2.441106719367589,1592252173.913044,0.050818181818183206,1,2021-01-19,20/21,7.0,12.0,10.0,21.0,28.95892255892256,28.44215488215488,302374494.94949496,431399325.7575758,6.947272727272727,6.948958585858586,2021-01-19,20/21,12.0,19.0,6.0,10.0,30.546640316205536,30.3237812911726,198993286.5612648,208955454.21607378,6.882381818181817,6.899039393939394
20/21,Round 20,20/01/21,rize,gazi,3,0,7.29,6.33,4-2-3-1,5-3-2,29.91699604743083,920639130.4347826,83694466.40316206,6.766363636363637,33.64822134387352,3329347.826086957,302667.9841897234,6.819090909090908,-3.7312252964426946,917309782.6086956,-0.052727272727271846,1,2021-01-20,20/21,5.0,13.0,4.0,12.0,30.52490118577075,30.662055335968375,87223023.71541503,83942697.6284585,6.795090909090909,6.7935454545454546,2021-01-20,20/21,6.0,20.0,7.0,20.0,33.46126482213439,33.34130434782609,307602.76679841895,331429.84189723316,6.827090909090908,6.8300909090909085
20/21,Round 20,20/01/21,hata,yeni,1,2,6.87,6.75,4-2-3-1,4-2-3-1,32.68947368421052,1132901315.7894738,113290131.57894738,6.936,30.717171717171716,238255681.81818184,26472853.535353538,6.862222222222222,1.9723019670388027,894645633.9712919,0.07377777777777794,1,2021-01-20,20/21,8.0,18.0,7.0,16.0,32.24947368421052,32.08052631578947,117282131.57894738,106968368.42105262,6.936000000000002,6.926400000000001,2021-01-20,20/21,9.0,17.0,7.0,15.0,30.58525252525252,30.400707070707067,21666343.434343435,28340772.72727273,6.8042444444444445,6.805233333333334
20/21,Round 20,20/01/21,gala,deni,6,1,7.29,6.36,4-1-4-1,3-5-2,31.212121212121215,1861166666.6666665,169196969.6969697,6.987272727272728,30.61728395061728,2750000.0,305555.55555555556,6.732222222222223,0.5948372615039332,1858416666.6666665,0.2550505050505052,1,2021-01-20,20/21,15.0,23.0,6.0,14.0,29.96161616161616,30.00808080808081,159751414.1414141,152750252.52525252,6.954727272727273,6.95090909090909,2021-01-20,20/21,4.0,10.0,2.0,8.0,31.336172839506172,31.900679012345677,285388.8888888889,272972.22222222225,6.732266666666668,6.757411111111111
20/21,Round 20,21/01/21,erzu,alan,1,1,6.68,6.67,4-2-3-1,4-2-3-1,32.37090909090909,506202000.0,46018363.63636363,6.801818181818181,30.463157894736845,1505613157.8947368,150561315.78947368,6.9590000000000005,1.9077511961722422,-999411157.8947368,-0.15718181818181964,1,2021-01-21,20/21,4.0,8.0,5.0,8.0,32.670545454545454,32.89370909090909,45526763.63636364,48257024.54545455,6.780363636363636,6.741172727272726,2021-01-21,20/21,7.0,12.0,4.0,11.0,31.05492822966507,30.925358851674638,142163129.1866029,144606854.06698567,6.935836363636364,6.927818181818182
20/21,Round 20,21/01/21,fati,beşi,1,4,6.47,7.15,4-2-3-1,4-1-4-1,31.401913875598087,171127631.57894734,15557057.416267939,6.815454545454545,28.33333333333333,2708677083.333333,246243371.2121212,6.9390909090909085,3.0685805422647583,-2537549451.7543855,-0.1236363636363631,1,2021-01-21,20/21,8.0,14.0,6.0,14.0,31.28851674641148,30.995135566188196,21712837.32057416,26548889.420521,6.856309090909091,6.863487878787879,2021-01-21,20/21,16.0,31.0,13.0,28.0,29.163636363636364,29.406060606060606,187864772.72727272,183186553.03030303,6.965636363636364,6.958636363636364
20/21,Round 20,21/01/21,fati,beşi,1,4,6.47,7.15,4-2-3-1,4-1-4-1,31.401913875598087,171127631.57894734,15557057.416267939,6.815454545454545,28.33333333333333,2708677083.333333,246243371.2121212,6.9390909090909085,3.0685805422647583,-2537549451.7543855,-0.1236363636363631,1,2021-01-21,20/21,8.0,14.0,6.0,14.0,31.28851674641148,30.995135566188196,21712837.32057416,26548889.420521,6.856309090909091,6.863487878787879,2021-01-21,20/21,14.0,34.0,13.0,28.0,28.927272727272726,29.196969696969695,196580227.27272725,190821098.48484847,6.964181818181818,6.94809090909091
20/21,Round 20,21/01/21,fati,beşi,1,4,6.47,7.15,4-2-3-1,4-1-4-1,31.401913875598087,171127631.57894734,15557057.416267939,6.815454545454545,28.33333333333333,2708677083.333333,246243371.2121212,6.9390909090909085,3.0685805422647583,-2537549451.7543855,-0.1236363636363631,1,2021-01-21,20/21,8.0,15.0,6.0,13.0,31.311004784688997,31.08094098883572,21557511.961722486,24860296.916533757,6.848000000000001,6.859811111111111,2021-01-21,20/21,16.0,31.0,13.0,28.0,29.163636363636364,29.406060606060606,187864772.72727272,183186553.03030303,6.965636363636364,6.958636363636364
20/21,Round 20,21/01/21,fati,beşi,1,4,6.47,7.15,4-2-3-1,4-1-4-1,31.401913875598087,171127631.57894734,15557057.416267939,6.815454545454545,28.33333333333333,2708677083.333333,246243371.2121212,6.9390909090909085,3.0685805422647583,-2537549451.7543855,-0.1236363636363631,1,2021-01-21,20/21,8.0,15.0,6.0,13.0,31.311004784688997,31.08094098883572,21557511.961722486,24860296.916533757,6.848000000000001,6.859811111111111,2021-01-21,20/21,14.0,34.0,13.0,28.0,28.927272727272726,29.196969696969695,196580227.27272725,190821098.48484847,6.964181818181818,6.94809090909091
