Season_x,Week,Match Date_x,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home_AvgAge,Home_SumValue,Home_AvgValue,Home_AvgRating,Away_AvgAge,Away_SumValue,Away_AvgValue,Away_AvgRating,Age_Diff,Value_Diff,Rating_Diff,Home_Advantage,Match Date_y,Season_y,Home_GoalsScored_Last5,Home_GoalsScored_Last10,Home_Points_Last5,Home_Points_Last10,Home_AvgAge_Last5,Home_AvgAge_Last10,Home_AvgValue_Last5,Home_AvgValue_Last10,Home_AvgRating_Last5,Home_AvgRating_Last10,Match Date,Season,Away_GoalsScored_Last5,Away_GoalsScored_Last10,Away_Points_Last5,Away_Points_Last10,Away_AvgAge_Last5,Away_AvgAge_Last10,Away_AvgValue_Last5,Away_AvgValue_Last10,Away_AvgRating_Last5,Away_AvgRating_Last10
23/24,Round 38,24/05/24,alan,anta,1,1,7.03,6.78,4-2-3-1,4-2-3-1,28.02164502164502,995321428.5714285,90483766.23376623,6.890909090909091,28.545454545454547,1281375000.0,116488636.36363636,6.890000000000001,-0.5238095238095255,-286053571.42857146,0.0009090909090900823,1,2024-05-24,23/24,10.0,18.0,7.0,19.0,29.208658008658006,29.395238095238092,117225324.67532468,120541071.42857142,6.948181818181818,6.95290909090909,2024-05-24,23/24,6.0,11.0,4.0,11.0,29.34909090909091,29.614545454545453,121714400.0,128175054.54545455,6.902727272727273,6.925363636363636
23/24,Round 38,25/05/24,fati,sams,3,1,7.01,6.74,4-2-3-1,4-2-3-1,25.818181818181817,704750000.0,64068181.81818182,6.774545454545454,27.272727272727273,1181750000.0,107431818.18181819,6.723636363636363,-1.4545454545454568,-477000000.0,0.05090909090909168,1,2024-05-25,23/24,12.0,16.0,7.0,11.0,29.436363636363637,29.7,82719090.9090909,78962500.0,6.892545454545454,6.883727272727272,2024-05-25,23/24,5.0,9.0,4.0,10.0,27.96363636363636,28.445454545454545,137591818.1818182,137967045.45454544,6.8198181818181824,6.831363636363636
23/24,Round 38,25/05/24,siva,kays,2,1,6.94,6.78,4-1-4-1,4-2-3-1,30.753246753246753,772985714.2857143,70271428.57142857,6.899090909090909,28.818181818181817,673800000.0,61254545.45454545,6.76,1.9350649350649363,99185714.28571427,0.1390909090909096,1,2024-05-25,23/24,7.0,13.0,9.0,16.0,30.467532467532465,30.571428571428566,68888441.55844155,64460292.20779221,6.903818181818181,6.896636363636364,2024-05-25,23/24,7.0,9.0,5.0,7.0,28.72659932659933,28.837710437710438,108295791.24579124,105626599.32659933,6.786727272727272,6.800999999999999
23/24,Round 38,26/05/24,adan,başa,2,6,6.35,7.2,5-4-1,4-1-4-1,25.398395721925134,1214741176.4705882,110431016.04278074,6.679090909090908,27.636363636363637,2032150000.0,184740909.0909091,6.988181818181818,-2.237967914438503,-817408823.5294118,-0.3090909090909104,1,2024-05-26,23/24,5.0,14.0,3.0,9.0,26.634759358288772,27.47807486631016,97400561.49732621,119287219.25133689,6.790363636363637,6.872818181818182,2024-05-26,23/24,13.0,21.0,12.0,22.0,28.828409090909094,28.88806818181818,201710213.0681818,199128955.9659091,7.012727272727273,6.999454545454546
23/24,Round 38,26/05/24,fene,i̇st,6,0,7.54,6.35,4-4-2,5-4-1,29.818181818181817,10770400000.0,979127272.7272727,7.176363636363638,25.63299663299663,5707127777.777778,518829797.97979796,6.668181818181818,4.185185185185187,5063272222.222222,0.5081818181818196,1,2024-05-26,23/24,12.0,27.0,13.0,26.0,28.81818181818182,29.109090909090906,1124734545.4545455,1072736363.6363636,7.173272727272726,7.176727272727272,2024-05-26,23/24,1.0,6.0,0.0,3.0,26.41750841750842,26.845117845117848,404065959.5959596,452212525.2525253,6.725999999999999,6.738727272727273
23/24,Round 38,26/05/24,hata,rize,2,0,7.14,6.64,4-1-4-1,4-2-3-1,26.272727272727273,1251775000.0,113797727.27272727,6.854545454545455,25.90909090909091,1221200000.0,111018181.81818181,6.858181818181818,0.3636363636363633,30575000.0,-0.0036363636363629936,1,2024-05-26,23/24,8.0,13.0,8.0,12.0,26.690909090909088,27.154545454545456,126501818.18181817,117257727.27272728,6.847272727272727,6.851181818181819,2024-05-26,23/24,5.0,17.0,2.0,11.0,26.30181818181818,26.27090909090909,139460636.36363634,160054068.1818182,6.909636363636364,6.923418181818183
23/24,Round 38,26/05/24,kası,beşi,2,1,7.25,6.79,4-1-4-1,4-3-3,28.95622895622896,1077205555.5555556,97927777.77777778,6.992727272727273,25.5,2210175000.0,221017500.0,6.767999999999999,3.4562289562289585,-1132969444.4444444,0.22472727272727422,1,2024-05-26,23/24,7.0,14.0,10.0,16.0,28.64713804713805,28.606397306397305,100654141.41414142,107409646.46464646,7.001818181818182,7.00190909090909,2024-05-26,23/24,8.0,13.0,5.0,10.0,28.05754010695187,28.26205882352941,367160548.1283423,439595072.86096257,6.922163636363637,6.955181818181818
23/24,Round 38,26/05/24,kony,gala,1,3,6.77,7.14,4-2-3-1,4-2-3-1,29.267217630853995,982420454.5454545,89310950.41322313,6.905454545454545,29.363636363636363,11670000000.0,1060909090.9090909,7.213636363636365,-0.09641873278236801,-10687579545.454546,-0.30818181818181944,1,2024-05-26,23/24,6.0,12.0,5.0,10.0,29.41267217630854,29.103581267217628,86969132.23140495,86696404.95867768,6.913272727272727,6.913181818181817,2024-05-26,23/24,15.0,34.0,12.0,27.0,29.909090909090914,29.827272727272724,900000000.0,915818181.8181818,7.231454545454547,7.227636363636364
23/24,Round 38,26/05/24,pend,gazi,0,1,6.88,6.91,4-3-3,4-3-3,30.48787878787879,912439166.6666667,82949015.15151516,6.8981818181818175,30.636363636363637,683500000.0,62136363.63636363,6.914545454545455,-0.14848484848484844,228939166.66666675,-0.016363636363637468,1,2024-05-26,23/24,5.0,10.0,7.0,11.0,30.324242424242424,30.325757575757574,78591742.4242424,63631325.757575765,6.892545454545454,6.908181818181818,2024-05-26,23/24,13.0,19.0,10.0,16.0,30.290909090909093,30.118181818181817,63963636.36363636,72138636.36363636,6.918000000000001,6.931727272727274
23/24,Round 38,26/05/24,trab,anka,4,2,7.08,6.61,4-2-3-1,4-2-3-1,26.545454545454547,4260150000.0,387286363.6363636,6.99,28.0,953550000.0,86686363.63636364,6.866363636363636,-1.4545454545454533,3306600000.0,0.12363636363636399,1,2024-05-26,23/24,13.0,25.0,12.0,21.0,28.0,28.109090909090906,499280454.5454546,495823409.0909091,7.022,7.023999999999999,2024-05-26,23/24,6.0,13.0,3.0,10.0,28.254545454545458,28.31818181818182,109939090.9090909,112469545.45454545,6.904727272727273,6.900090909090909
