Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
23/24,Round 35,03/05/24,Beşiktaş,Rizespor,3,2,7.03,6.92,4-1-4-1,4-2-3-1,M. Günok; J. Svensson; (c) N. Uysal; O. Colley; S. E. Terzi; S. Uçan; M. Rashica; R. Ghezzal; E. Muçi; S. Kilicsoy; J. Muleka,T. Çetin; M. T. Şahin; H. Alikulov; (c) E. Topçu; H. I. Pehlivan; I. Olawoyin; J. Shelvey; Gustavo Sauer; D. Varešanović; D. Babajide; A. Gaich
23/24,Round 35,03/05/24,Ankaragücü,Alanyaspor,1,1,6.82,6.96,4-1-4-1,4-2-3-1,B. H. Güngördü; A. Çankaya; (c) U. Radaković; N. Mujakić; S. Kitsiou; Pedrinho; C. Bassogog; A. Flips; E. Bekiroğlu; A. Chatzigiovanis; A. Sowe,E. Taşkıran; F. Hadergjonaj; F. Bayır; F. Aliti; J. Balkovec; Richard Cândido; L. Fer; O. Aydın; (c) E. Karaca; Y. Özdemir; A. Hassan
23/24,Round 35,04/05/24,İstanbulspor,Adana DS,0,1,6.99,7.17,5-4-1,4-2-3-1,M. Serbest; D. Duhaney; M. Yeşil; S. Deli; R. Coly; (c) A. Yaşar; D. Sambissa; M. Vorobjovas; F. Loshaj; M. Mamadou; E. K. Gültekin,Ş. Mahammadaliev; İ. Çokçalış; J. Manev; A. Burak; M. Mohammadi; Maestro; É. Michut; S. Mendoza; Y. Barası; Y. Erdoğan; (c) M. Balotelli
23/24,Round 35,04/05/24,Kayserispor,Karagümrük,2,2,6.82,6.81,4-2-3-1,4-2-3-1,B. Bayazit; G. Sazdağı; (c) D. Kolovetsios; A. Kocaman; R. Civelek; K. K. Yılmaz; M. Cardoso; A. B. Morte; O. Shukurov; C. Mané; D. Nazon,S. Sirigu; F. Veseli; K. Günter; F. Ceccherini; (c) M. Mercan; M. Rohdén; D. Kourbelis; C. Keleş; V. Eysseric; R. Mendes; Marcão
23/24,Round 35,04/05/24,Samsunspor,Trabzonspor,3,1,6.83,6.47,4-2-3-1,4-2-3-1,O. Kocuk; (c) Z. Yavru; A. Öztürk; R. V. Drongelen; M. Bola; T. Antalyalı; Y. A. Bennasser; B. Raman; C. Holse; E. Kılınç; M. Mouandilmadji,(c) U. Çakır; T. Meunier; J. Fernández; R. Baniya; E. Elmalı; B. Mendy; U. Güneş; N. Pépé; E. Bardhi; M. Trézéguet; P. Onuachu
23/24,Round 35,05/05/24,Başakşehir,Kasımpaşa,4,1,7.09,6.46,4-1-4-1,4-1-4-1,M. Şengezer; L. Duarte; O. Ba; J. Opoku; L. Dubois; O. Ergün; D. Türüç; (c) Ö. A. Şahiner; D. Pelkas; Davidson; J. Figueiredo,A. Gianniotis; T. U. Aydın; J. Porozo; Y. Özcan; M. B. Ouanes; G. Gül; O. Çağlayan; H. Hajradinović; (c) A. Kara; J. Ngoy; N. Da Costa
23/24,Round 35,05/05/24,Galatasaray,Sivasspor,6,1,7.43,6.19,4-2-3-1,5-4-1,(c) F. Muslera; K. Ayhan; V. Nelsson; A. Bardakcı; D. Köhn; L. Torreira; K. Demirbay; H. Ziyech; D. Mertens; B. A. Yılmaz; M. Icardi,A. Ş. Vural; M. Paluli; A. Poungouras; A. Appindangoyé; S. Camara; (c) U. Çiftçi; B. Koita; C. Charisis; İ. Akdağ; B. Elmaz; R. Manaj
23/24,Round 35,05/05/24,Gaziantep,Hatayspor,1,1,6.85,6.91,4-3-3,4-1-4-1,F. Niță; E. Ersoy; A. Kızıldağ; (c) P. Djilobodji; S. M'Bakata; O. Özçiçek; N. N'Koulou; J. Monteiro; D. Sorescu; D. Drăguş; M. Eskihellaç,E. Kardeşler; (c) K. A. Çörekçi; G. M. Kilama; R. B. Yılmaz; F. Ghoulam; C. Massanga; D. Sinik; M. Boudjemaa; F. Dele-Bashiru; J. Fernandes; C. Strandberg
23/24,Round 35,06/05/24,Antalyaspor,Pendikspor,1,2,6.76,7.25,4-3-3,4-3-3,H. Leite; E. Yeşilyurt; (c) V. Sarı; Ö. Toprak; G. Vural; U. Akyol; J. Kałuziński; E. Uzun; S. v. d. Streek; A. Buksa; S. Larsson,E. Canpolat; (c) E. Özgenç; A. Öztürk; Welinton; E. Taşdemir; B. Ndiaye; G. Kaya; M. Thiam; H. Akbunar; E. Yardımcı; A. Diaby
23/24,Round 35,06/05/24,Konyaspor,Fenerbahçe,0,0,6.88,7.09,5-3-2,4-2-3-1,J. Słowik; A. Oğuz; U. Yazğılı; A. Demirbağ; T. L. Hadebe; G. H. Sityá; (c) S. Dikmen; S. N'Zonzi; A. Ndao; O. Ülgün; S. Cikalleshi,D. Livaković; B. Osayi-Samuel; R. Becão; A. Djiku; F. Kadıoğlu; Fred; S. Szymański; İ. C. Kahveci; M. H. Yandaş; D. Tadić; (c) E. Džeko
