Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
22/23,Round 34,16/05/23,Sivasspor,Kasımpaşa,1,2,6.66,6.77,4-3-3,4-2-3-1,M. Yıldırım; A. Okumuş; D. Goutas; S. Camara; (c) U. Çiftçi; C. Charisis; F. Ulvestad; S. Sáiz; C. N'Jie; J. Caicedo; M. Gradel,G. Güvenç; F. Hadergjonaj; (c) R. Donk; P. Djilobodji; M. B. Ouanes; M. Malsa; A. Kara; M. Fall; V. Eysseric; M. Chouiar; B. Koita
22/23,Round 34,16/05/23,Alanyaspor,Konyaspor,0,3,6.51,7.08,4-2-3-1,4-2-3-1,R. Rúnarsson; P. Pereira; F. Bayır; Z. Feddal; J. Balkovec; A. Lusamba; U. Güneş; D. Candeias; (c) E. Karaca; O. Aydın; E. Koulouris,(c) I. Šehić; C. Karayel; A. Demirbağ; F. Calvo; G. H. Sityá; S. Dikmen; A. Bouchalakis; K. Michalak; A. Pozuelo; M. Moreno; M. Emreli
22/23,Round 34,16/05/23,İstanbulspor,Galatasaray,0,2,6.57,7.07,4-3-2-1,4-2-3-1,D. Jensen; D. Duhaney; O. Erdoğan; M. Yeşil; T. D. Aksu; O. Ergün; M. Ba; M. Sarıkaya; (c) E. Rroca; V. Ethemi; E. Eze,(c) F. Muslera; L. Dubois; V. Nelsson; A. Bardakcı; K. Karataş; L. Torreira; S. Oliveira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi
22/23,Round 34,17/05/23,Başakşehir,Ümraniyespor,1,1,6.36,7.06,4-1-4-1,4-3-3,M. Şengezer; Ş. Özbayraklı; E. Ié; (c) M. Tekdemir; L. Lima; B. Özcan; A. Januzaj; Ö. A. Şahiner; D. Aleksić; S. Gürler; J. Figueiredo,O. Özdemir; S. Popov; (c) T. Glumac; A. Epureanu; E. Lenjani; S. Göksu; A. Mršić; K. K. Yılmaz; O. Ayık; M. U. Nayir; J. Sekidika
22/23,Round 34,17/05/23,Karagümrük,Adana DS,2,3,6.78,6.89,4-3-3,4-4-2,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; S. Feghouli; O. Shukurov; M. Ozdoev; S. Lobjanidze; M. Diagne; (c) F. Borini,E. Özbir; J. Svensson; J. Morel; S. Güler; K. Rodrigues; Y. Sarı; (c) G. Inler; B. Ndiaye; D. Babajide; C. Ndiaye; Y. Belhanda
22/23,Round 34,17/05/23,Ankaragücü,Antalyaspor,1,1,6.73,6.9,3-4-2-1,4-2-3-1,G. Akkan; A. Kızıldağ; A. Çankaya; N. Mujakić; K. Malcuit; A. Đokanović; T. Antalyalı; M. Hanousek; E. Kılınç; (c) G. Zahid; A. Sowe,H. Leite; S. Floranus; (c) V. Sarı; Ö. Toprak; G. Vural; E. Rakip; Fernando; D. Sinik; Fredy; S. Larsson; B. Yıldırım
22/23,Round 34,18/05/23,Fenerbahçe,Trabzonspor,3,1,7.03,6.58,4-4-2,3-5-2,İ. C. Eğribayat; F. Kadıoğlu; S. Akaydın; A. Szalai; L. Peres; A. Güler; Willian Arão; M. Zajc; D. Rossi; Enner Valencia; M. Batshuayi,U. Çakır; M. Bartra; H. Türkmen; E. Elmalı; E. Višća; M. Hamšík; D. Haspolat; M. Siopis; J. Stryger Larsen; U. Bozok; A. Ömür
22/23,Round 33,06/05/23,Antalyaspor,Beşiktaş,1,3,6.49,7.01,4-2-3-1,4-2-3-1,H. Leite; B. Balcı; (c) V. Sarı; Ö. Toprak; C. Sertel; E. Rakip; Fernando; D. Sinik; Fredy; S. Larsson; H. Wright,M. Günok; V. Rosier; Welinton; R. Saiss; A. Masuaku; A. Hadžiahmetović; G. Fernandes; N. Redmond; A. Maxim; (c) C. Tosun; V. Aboubakar
22/23,Round 33,06/05/23,Adana DS,Alanyaspor,4,2,7.05,6.66,4-4-2,4-3-3,E. Özbir; J. Svensson; J. Morel; S. Güler; K. Rodrigues; Y. Sarı; (c) B. Stambouli; B. Ndiaye; H. Onyekuru; C. Ndiaye; Y. Belhanda,R. Rúnarsson; P. Pereira; F. Bayır; J. K. Rassoul; J. Balkovec; I. Doumbia; L. Fer; U. Güneş; (c) E. Karaca; E. Koulouris; I. Cavaleiro
22/23,Round 33,07/05/23,Ümraniyespor,Sivasspor,4,1,6.93,6.63,4-4-2,4-3-3,O. Özdemir; V. Gheorghe; (c) T. Glumac; A. Epureanu; O. Ayık; Geraldo; I. Sackey; S. Göksu; J. Sekidika; M. U. Nayir; O. Kayode,M. Yıldırım; M. Paluli; D. Goutas; C. Osmanpaşa; (c) U. Çiftçi; C. Charisis; F. Ulvestad; S. Sáiz; E. Yeşilyurt; M. Yatabaré; M. Gradel
22/23,Round 33,07/05/23,Konyaspor,Kayserispor,2,2,6.82,6.75,4-2-3-1,4-1-4-1,(c) I. Šehić; A. Oğuz; U. Yazğılı; F. Calvo; G. H. Sityá; S. Dikmen; A. Bouchalakis; M. Emreli; A. Pozuelo; M. Moreno; M. B. Diouf,C. Gönen; G. Sazdağı; M. Hosseini; D. Kolovetsios; J. Attamah; O. Kemen; E. Başsan; M. Cardoso; (c) B. Mensah; C. Mané; M. Thiam
22/23,Round 33,07/05/23,Giresunspor,Fenerbahçe,1,1,6.77,6.88,4-1-4-1,4-4-2,F. Kaplan; H. Bilazer; R. Arias; K. Seven; A. Uludağ; J. Campuzano; (c) Serginho; R. Mejía; G. Sağlam; B. Sainz; R. Bajić,İ. C. Eğribayat; F. Kadıoğlu; S. Akaydın; A. Szalai; L. Peres; A. Güler; İ. Yüksek; (c) M. H. Yandaş; D. Rossi; Enner Valencia; M. Batshuayi
22/23,Round 33,08/05/23,Galatasaray,Başakşehir,1,0,6.91,6.91,4-2-3-1,4-2-3-1,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; K. Karataş; L. Torreira; S. Oliveira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi,M. Şengezer; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; L. Biglia; (c) M. Tekdemir; D. Türüç; D. Aleksić; S. Gürler; J. Figueiredo
22/23,Round 33,08/05/23,Trabzonspor,Ankaragücü,2,0,7.18,6.34,3-1-4-2,3-4-2-1,(c) U. Çakır; M. Bartra; H. Türkmen; E. Elmalı; D. Haspolat; J. Stryger Larsen; E. Bardhi; M. Hamšík; A. Boşluk; M. Gómez; U. Bozok,G. Akkan; A. Kızıldağ; A. Çankaya; N. Mujakić; S. Kitsiou; A. Đokanović; T. Antalyalı; M. Hanousek; E. Kılınç; (c) G. Zahid; A. Sowe
22/23,Round 32,28/04/23,Alanyaspor,Ümraniyespor,1,0,6.99,6.86,3-4-2-1,4-3-3,R. Rúnarsson; F. Bayır; J. K. Rassoul; J. Balkovec; D. Candeias; L. Fer; A. Lusamba; Y. Özdemir; (c) E. Karaca; I. Cavaleiro; A. Hassan,O. Özdemir; S. Popov; (c) T. Glumac; A. Epureanu; O. Atasayar; A. Mršić; I. Sackey; S. Göksu; J. Sekidika; M. U. Nayir; O. Kayode
22/23,Round 32,29/04/23,Karagümrük,Antalyaspor,0,1,6.68,6.92,4-3-3,4-2-3-1,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; O. Shukurov; A. Bertolacci; M. Ozdoev; S. Lobjanidze; M. Diagne; (c) F. Borini,H. Leite; B. Balcı; (c) V. Sarı; Ö. Toprak; C. Sertel; Fernando; E. Rakip; D. Sinik; Fredy; S. Larsson; H. Wright
22/23,Round 32,29/04/23,Konyaspor,Trabzonspor,2,1,6.87,6.71,4-2-3-1,4-1-4-1,(c) I. Šehić; A. Oğuz; U. Yazğılı; F. Calvo; G. H. Sityá; S. Dikmen; A. Bouchalakis; K. Michalak; A. Pozuelo; M. Moreno; M. B. Diouf,(c) U. Çakır; D. Haspolat; H. Türkmen; M. Bartra; E. Elmalı; M. Siopis; E. Bardhi; M. Hamšík; A. Bakasetas; M. Trézéguet; U. Bozok
22/23,Round 32,29/04/23,Ankaragücü,Kasımpaşa,0,0,7.01,6.94,3-4-3,4-2-3-1,G. Akkan; K. Malcuit; A. Çankaya; N. Mujakić; S. Kitsiou; L. Diack; T. Antalyalı; M. Hanousek; (c) G. Zahid; A. Sowe; A. Chatzigiovanis,G. Güvenç; F. Hadergjonaj; R. Donk; (c) T. Serbest; M. B. Ouanes; M. Malsa; A. Kara; M. Fall; V. Eysseric; M. Chouiar; S. Bahoken
22/23,Round 32,29/04/23,Sivasspor,Fenerbahçe,1,3,6.58,6.72,4-1-4-1,4-4-2,A. Ş. Vural; M. Paluli; A. Appindangoyé; D. Goutas; (c) Z. Erdal; H. Arslan; E. Yeşilyurt; C. Charisis; S. Sáiz; M. Gradel; M. Yatabaré,İ. C. Eğribayat; B. Osayi-Samuel; S. Aziz; S. Akaydın; L. Peres; A. Güler; Willian Arão; İ. C. Kahveci; F. Kadıoğlu; João Pedro Galvão; (c) Enner Valencia
22/23,Round 32,30/04/23,Beşiktaş,Galatasaray,3,1,7.05,6.33,4-2-3-1,4-2-3-1,M. Günok; V. Rosier; R. Saiss; O. Colley; A. Masuaku; S. Uçan; A. Hadžiahmetović; N. Redmond; G. Fernandes; (c) C. Tosun; V. Aboubakar,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; S. Adekugbe; S. Oliveira; L. Torreira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi
22/23,Round 32,01/05/23,İstanbulspor,Giresunspor,1,0,6.89,6.91,4-1-4-1,4-1-4-1,D. Jensen; D. Duhaney; O. Erdoğan; S. Deli; A. Yaşar; M. Ba; J. Lokilo; O. Ergün; (c) E. Rroca; V. Ethemi; E. Eze,F. Kaplan; H. Bilazer; R. Arias; K. Seven; A. Uludağ; G. Sağlam; (c) Serginho; J. Campuzano; R. Mejía; B. Sainz; R. Bajić
22/23,Round 31,22/04/23,Ümraniyespor,Beşiktaş,0,2,6.57,7.14,4-3-3,4-2-3-1,O. Özdemir; S. Popov; I. Sackey; (c) T. Glumac; O. Atasayar; O. Gürbulak; K. K. Yılmaz; D. Avounou; Geraldo; M. U. Nayir; O. Kayode,M. Günok; V. Rosier; R. Saiss; O. Colley; A. Masuaku; A. Hadžiahmetović; G. Fernandes; N. Redmond; S. Uçan; (c) C. Tosun; V. Aboubakar
22/23,Round 31,23/04/23,Kasımpaşa,Konyaspor,1,2,6.81,6.99,4-2-3-1,4-4-2,G. Güvenç; F. Silva; R. Donk; (c) T. Serbest; M. B. Ouanes; M. Tirpan; A. Kara; M. Eskihellaç; V. Eysseric; M. Fall; S. Bahoken,(c) I. Šehić; A. Oğuz; U. Yazğılı; F. Calvo; G. H. Sityá; R. Murić; S. Dikmen; A. Bouchalakis; M. Moreno; M. B. Diouf; A. Pozuelo
22/23,Round 31,23/04/23,Adana DS,Kayserispor,5,3,6.82,6.63,4-2-2-2,4-1-4-1,E. Özbir; İ. Çokçalış; J. Morel; S. Güler; K. Rodrigues; B. Stambouli; (c) G. Inler; Y. Sarı; H. Onyekuru; C. Ndiaye; Y. Belhanda,B. Bayazit; A. Uzodimma; A. Kocaman; J. Attamah; G. Sazdağı; Y. Ackah; C. Mané; (c) B. Mensah; O. Kemen; M. Cardoso; M. Thiam
22/23,Round 31,23/04/23,Galatasaray,Karagümrük,3,3,6.85,6.83,4-2-3-1,4-3-3,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; S. Adekugbe; L. Torreira; S. Oliveira; M. Rashica; D. Mertens; K. Aktürkoğlu; N. Zaniolo,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; A. Bertolacci; A. Lawrence; M. Ozdoev; S. Lobjanidze; M. Diagne; (c) F. Borini
22/23,Round 31,24/04/23,Giresunspor,Başakşehir,2,4,6.64,7.1,4-2-3-1,4-2-3-1,(c) O. Piri; H. Bilazer; G. Sağlam; R. Arias; A. Uludağ; J. Campuzano; R. Mejía; Serginho; B. Kuwas; B. Sainz; R. Bajić,M. Şengezer; Ş. Özbayraklı; E. Ié; L. Duarte; C. Erkin; B. Özcan; (c) D. Aleksić; A. Januzaj; D. Türüç; P. Szysz; J. Figueiredo
22/23,Round 31,24/04/23,Antalyaspor,Sivasspor,1,2,6.76,6.78,4-2-3-1,4-2-3-1,H. Leite; B. Balcı; (c) V. Sarı; E. Uzunhan; G. Vural; U. Akyol; Fernando; A. Ndao; S. Larsson; D. Sinik; H. Wright,A. Ş. Vural; M. Paluli; A. Appindangoyé; D. Goutas; S. Camara; (c) H. Arslan; C. Charisis; E. Yeşilyurt; S. Sáiz; M. Gradel; M. Yatabaré
22/23,Round 31,24/04/23,Fenerbahçe,İstanbulspor,3,3,6.8,6.58,4-1-3-2,4-1-4-1,İ. C. Eğribayat; F. Kadıoğlu; S. Akaydın; A. Szalai; E. Alioski; İ. Yüksek; A. Güler; (c) M. H. Yandaş; E. Mor; João Pedro Galvão; Enner Valencia,A. Arda; O. Erdoğan; M. Yeşil; S. Deli; T. D. Aksu; M. Sarıkaya; (c) E. Rroca; K. Şen; F. Loshaj; V. Ethemi; E. Eze
22/23,Round 30,18/04/23,Alanyaspor,Galatasaray,1,4,6.53,7.09,4-3-3,4-2-3-1,R. Rúnarsson; P. Pereira; F. Aksoy; J. K. Rassoul; Y. Özdemir; I. Doumbia; L. Fer; A. Lusamba; (c) E. Karaca; A. Hassan; I. Cavaleiro,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; S. Adekugbe; S. Oliveira; L. Torreira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi
22/23,Round 30,18/04/23,Karagümrük,Ümraniyespor,4,2,6.79,6.61,4-3-3,4-4-2,B. A. Şen; D. Biraschi; R. Baniya; I. Drešević; M. Mercan; O. Shukurov; A. Bertolacci; M. Ozdoev; S. Lobjanidze; M. Diagne; (c) F. Borini,B. Özer; V. Gheorghe; (c) T. Glumac; A. Epureanu; O. Atasayar; Geraldo; K. K. Yılmaz; D. Avounou; J. Sekidika; M. U. Nayir; O. Kayode
22/23,Round 30,19/04/23,İstanbulspor,Antalyaspor,3,3,6.59,6.66,4-1-4-1,4-2-3-1,D. Jensen; D. Duhaney; M. Yeşil; S. Deli; T. D. Aksu; M. Ba; J. Lokilo; O. Ergün; (c) E. Rroca; V. Ethemi; E. Eze,H. Leite; B. Balcı; (c) V. Sarı; E. Uzunhan; G. Vural; U. Akyol; Fernando; A. Ndao; S. Larsson; D. Sinik; H. Wright
22/23,Round 30,19/04/23,Kayserispor,Kasımpaşa,0,0,6.97,6.74,4-1-4-1,4-3-3,B. Bayazit; G. Sazdağı; D. Kolovetsios; A. Kocaman; A. Uzodimma; Y. Ackah; E. Başsan; O. Kemen; (c) B. Mensah; C. Mané; M. Thiam,G. Güvenç; F. Silva; R. Donk; P. Djilobodji; M. B. Ouanes; M. Tirpan; A. Kara; (c) H. Hajradinović; M. Fall; B. Koita; M. Chouiar
22/23,Round 30,19/04/23,Başakşehirx2,Fenerbahçe,1,2,6.36,7.09,4-2-3-1,4-1-3-2,M. Şengezer; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; L. Biglia; (c) M. Tekdemir; D. Türüç; D. Aleksić; P. Szysz; J. Figueiredo,İ. C. Eğribayat; F. Kadıoğlu; S. Akaydın; A. Szalai; J. Oosterwolde; Willian Arão; İ. C. Kahveci; M. Crespo; D. Rossi; A. Güler; (c) Enner Valencia
22/23,Round 30,19/04/23,Konyaspor,Adana DS,1,2,6.63,6.77,4-2-3-1,4-4-2,(c) I. Šehić; A. Oğuz; U. Yazğılı; F. Calvo; G. H. Sityá; S. Dikmen; A. Bouchalakis; M. Emreli; A. Pozuelo; M. Moreno; M. B. Diouf,E. Özbir; J. Svensson; M. Çetin; J. Morel; K. Rodrigues; D. Babajide; (c) B. Stambouli; B. Ndiaye; H. Onyekuru; E. Akbaba; C. Ndiaye
22/23,Round 30,20/04/23,Ankaragücü,Giresunspor,3,1,7.08,6.41,3-4-3,4-2-3-1,G. Akkan; K. Malcuit; A. Çankaya; N. Mujakić; S. Kitsiou; L. Diack; T. Antalyalı; M. Hanousek; E. Kılınç; A. Sowe; (c) G. Zahid,F. Kaplan; H. Bilazer; G. Sağlam; R. Arias; F. C. Genç; J. Campuzano; R. Mejía; B. Kuwas; M. C. Akpinar; (c) Serginho; R. Bajić
22/23,Round 30,20/04/23,Sivasspor,Trabzonspor,4,1,7.1,6.29,4-1-4-1,4-1-4-1,A. Ş. Vural; M. Paluli; A. Appindangoyé; D. Goutas; (c) Z. Erdal; H. Arslan; E. Yeşilyurt; C. Charisis; S. Sáiz; M. Gradel; M. Yatabaré,(c) U. Çakır; J. Stryger Larsen; H. Türkmen; M. Bartra; E. Elmalı; M. Siopis; L. Marković; D. Haspolat; Y. Yazıcı; E. Bardhi; M. Gómez
22/23,Round 29,14/04/23,Antalyaspor,Alanyaspor,3,1,6.98,6.55,4-2-3-1,4-3-3,H. Leite; B. Balcı; (c) V. Sarı; E. Uzunhan; G. Vural; U. Akyol; Fernando; A. Ndao; S. Larsson; D. Sinik; H. Wright,R. Rúnarsson; P. Pereira; F. Bayır; J. K. Rassoul; J. Balkovec; I. Doumbia; F. Aksoy; U. Güneş; (c) E. Karaca; A. Hassan; I. Cavaleiro
22/23,Round 29,14/04/23,Galatasaray,Kayserispor,6,0,7.38,6.31,4-2-3-1,4-2-3-1,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; S. Adekugbe; S. Oliveira; L. Torreira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi,B. Bayazit; A. Uzodimma; M. Hosseini; D. Kolovetsios; G. Sazdağı; O. Kemen; (c) B. Mensah; E. Başsan; M. Cardoso; C. Mané; M. Thiam
22/23,Round 29,15/04/23,Adana DS,Kasımpaşa,5,0,7.29,6.37,4-4-2,4-1-4-1,E. Özbir; J. Svensson; J. Morel; S. Güler; K. Rodrigues; Y. Sarı; (c) B. Stambouli; B. Ndiaye; D. Babajide; C. Ndiaye; Y. Belhanda,G. Güvenç; F. Silva; (c) T. Serbest; P. Djilobodji; Y. Özcan; M. Tirpan; M. Eskihellaç; H. Hajradinović; V. Eysseric; M. Chouiar; M. Fall
22/23,Round 29,15/04/23,İstanbulspor,Başakşehir,1,0,6.92,6.82,4-1-4-1,4-1-4-1,D. Jensen; D. Duhaney; O. Erdoğan; S. Deli; T. D. Aksu; M. Ba; J. Lokilo; O. Ergün; (c) E. Rroca; J. Topalli; E. Eze,M. Şengezer; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; (c) L. Biglia; P. Szysz; D. Aleksić; B. Özcan; S. Gürler; J. Figueiredo
22/23,Round 29,15/04/23,Fenerbahçe,Ankaragücü,2,1,7.08,6.54,4-4-2,5-4-1,İ. C. Eğribayat; B. Osayi-Samuel; S. Akaydın; A. Szalai; E. Alioski; A. Güler; İ. Yüksek; M. Zajc; D. Rossi; (c) Enner Valencia; S. Dursun,G. Akkan; S. Kitsiou; K. Malcuit; A. Çankaya; N. Mujakić; M. Hanousek; T. Antalyalı; (c) G. Zahid; L. Diack; E. Kılınç; A. Sowe
22/23,Round 29,16/04/23,Giresunspor,Sivasspor,1,0,6.83,6.88,4-2-3-1,4-1-4-1,F. Kaplan; H. Bilazer; R. Arias; A. Pérez; F. C. Genç; J. Campuzano; R. Mejía; (c) Serginho; G. Sağlam; B. Sainz; R. Bajić,A. Ş. Vural; M. Paluli; A. Appindangoyé; D. Goutas; (c) Z. Erdal; I. Cofie; C. N'Jie; S. Sáiz; F. Ulvestad; E. Yeşilyurt; J. Caicedo
22/23,Round 29,16/04/23,Trabzonspor,Beşiktaş,0,0,6.97,6.95,4-1-4-1,4-2-3-1,(c) U. Çakır; J. Stryger Larsen; H. Türkmen; S. Denswil; E. Elmalı; M. Siopis; B. Peres; A. Ömür; A. Bakasetas; L. Marković; M. Gómez,M. Günok; O. Bulut; R. Saiss; O. Colley; A. Masuaku; G. Fernandes; S. Uçan; (c) R. Ghezzal; A. Maxim; N. Redmond; V. Aboubakar
22/23,Round 28,07/04/23,Konyaspor,Antalyaspor,1,1,6.76,6.9,4-4-2,4-2-3-1,(c) I. Šehić; A. Oğuz; U. Yazğılı; F. Calvo; G. H. Sityá; E. Çekiçi; S. Dikmen; B. Paz; M. Moreno; M. B. Diouf; M. Demir,H. Leite; B. Balcı; Ö. Toprak; E. Uzunhan; G. Vural; Fernando; U. Akyol; A. Ndao; (c) Fredy; S. Larsson; H. Wright
22/23,Round 28,08/04/23,Ankaragücü,İstanbulspor,3,2,6.83,6.59,4-2-3-1,4-1-4-1,G. Akkan; F. Üzüm; U. Radaković; N. Mujakić; M. Hanousek; L. Diack; T. Antalyalı; A. Chatzigiovanis; (c) G. Zahid; E. Kılınç; A. Sowe,A. Arda; D. Duhaney; O. Erdoğan; (c) M. Yeşil; T. D. Aksu; M. Ba; J. Lokilo; M. Sarıkaya; K. Şen; V. Ethemi; E. Eze
22/23,Round 28,08/04/23,Kasımpaşa,Trabzonspor,2,0,7.01,6.71,4-1-4-1,4-2-3-1,G. Güvenç; F. Silva; (c) T. Serbest; P. Djilobodji; Y. Özcan; M. Malsa; M. Eskihellaç; H. Hajradinović; V. Eysseric; M. Chouiar; M. Fall,(c) U. Çakır; J. Stryger Larsen; H. Türkmen; S. Denswil; E. Elmalı; D. Haspolat; M. Siopis; A. Ömür; A. Bakasetas; L. Marković; M. Gómez
22/23,Round 28,09/04/23,Sivasspor,Başakşehir,1,1,6.73,6.66,4-1-4-1,4-2-3-1,A. Ş. Vural; M. Paluli; A. Appindangoyé; D. Goutas; (c) Z. Erdal; I. Cofie; C. N'Jie; S. Sáiz; F. Ulvestad; E. Yeşilyurt; L. James,M. Şengezer; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; L. Biglia; (c) M. Tekdemir; D. Türüç; A. Januzaj; P. Szysz; P. P. Keny
22/23,Round 28,09/04/23,Beşiktaş,Giresunspor,3,1,6.88,6.59,4-2-3-1,4-1-4-1,M. Günok; O. Bulut; R. Saiss; O. Colley; A. Masuaku; A. Hadžiahmetović; S. Uçan; R. Ghezzal; N. Redmond; (c) C. Tosun; V. Aboubakar,F. Kaplan; H. Bilazer; R. Arias; (c) A. Pérez; A. Uludağ; J. Campuzano; B. Kuwas; G. Sağlam; R. Mejía; B. Sainz; R. Bajić
22/23,Round 28,10/04/23,Kayserispor,Ümraniyespor,3,1,7.0,6.71,4-2-3-1,4-3-3,B. Bayazit; A. Uzodimma; M. Hosseini; D. Kolovetsios; G. Sazdağı; O. Kemen; (c) B. Mensah; E. Başsan; M. Cardoso; M. Thiam; M. Gavranović,B. Özer; (c) S. Göksu; I. Sackey; A. Epureanu; O. Atasayar; O. Gürbulak; K. K. Yılmaz; A. Mršić; O. Ayık; M. U. Nayir; J. Sekidika
22/23,Round 28,10/04/23,Karagümrük,Fenerbahçe,1,2,6.57,6.78,4-3-3,4-4-2,B. A. Şen; S. Dursun; R. Baniya; I. Drešević; M. Mercan; O. Shukurov; M. Ricci; M. Ozdoev; E. Colley; M. Diagne; (c) F. Borini,(c) A. Bayındır; F. Kadıoğlu; S. Akaydın; A. Szalai; E. Alioski; E. Mor; İ. Yüksek; Willian Arão; İ. C. Kahveci; S. Dursun; Enner Valencia
22/23,Round 27,01/04/23,Başakşehir,Ankaragücü,1,0,7.09,6.74,4-1-4-1,3-4-2-1,M. Şengezer; Ö. A. Şahiner; L. Duarte; A. Touba; L. Lima; (c) M. Tekdemir; P. Szysz; D. Aleksić; B. Özcan; S. Gürler; J. Figueiredo,G. Akkan; (c) U. Radaković; A. Çankaya; N. Mujakić; S. Kitsiou; L. Diack; T. Antalyalı; H. A. Kaldırım; Pedrinho; E. Kılınç; A. Sowe
22/23,Round 27,01/04/23,Trabzonspor,Kayserispor,3,4,6.66,6.68,4-2-3-1,4-2-3-1,(c) U. Çakır; B. Peres; M. Bartra; S. Denswil; E. Elmalı; M. Siopis; A. Ömür; E. Višća; Y. Yazıcı; L. Marković; M. Gómez,B. Bayazit; G. Sazdağı; D. Kolovetsios; A. Kocaman; L. Carole; (c) B. Mensah; Y. Ackah; E. Başsan; M. Cardoso; C. Mané; M. Thiam
22/23,Round 27,01/04/23,Galatasaray,Adana DS,2,0,7.01,6.62,4-2-3-1,4-4-2,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; S. Adekugbe; S. Oliveira; L. Torreira; M. Rashica; D. Mertens; K. Aktürkoğlu; M. Icardi,E. Özbir; J. Svensson; J. Morel; S. Güler; K. Rodrigues; D. Babajide; (c) B. Stambouli; B. Ndiaye; H. Onyekuru; E. Akbaba; C. Ndiaye
22/23,Round 27,02/04/23,Ümraniyespor,Konyaspor,2,2,6.68,6.69,4-3-3,4-2-3-1,O. Özdemir; S. Göksu; (c) T. Glumac; A. Epureanu; O. Atasayar; O. Gürbulak; K. K. Yılmaz; A. Mršić; Geraldo; M. U. Nayir; J. Sekidika,(c) I. Šehić; A. Oğuz; A. Demirbağ; K. Demirtaş; G. H. Sityá; S. Dikmen; A. Bouchalakis; M. Emreli; A. Pozuelo; M. Moreno; M. Demir
22/23,Round 27,02/04/23,Giresunspor,Alanyaspor,2,2,6.79,6.82,4-2-3-1,4-3-3,F. Kaplan; H. Bilazer; R. Arias; A. Pérez; A. Uludağ; G. Sağlam; R. Mejía; (c) Serginho; V. Savićević; B. Sainz; R. Bajić,R. Rúnarsson; P. Pereira; F. Bayır; J. K. Rassoul; J. Balkovec; I. Doumbia; L. Fer; U. Güneş; (c) E. Karaca; E. Koulouris; I. Cavaleiro
22/23,Round 27,02/04/23,Fenerbahçe,Beşiktaş,2,4,6.53,6.85,3-5-2,4-1-4-1,(c) A. Bayındır; S. Aziz; S. Akaydın; A. Szalai; B. Osayi-Samuel; M. H. Yandaş; A. Güler; Willian Arão; F. Kadıoğlu; João Pedro Galvão; Enner Valencia,M. Günok; O. Bulut; T. T. Sanuç; O. Colley; A. Masuaku; A. Hadžiahmetović; R. Ghezzal; S. Uçan; G. Fernandes; (c) C. Tosun; V. Aboubakar
22/23,Round 27,03/04/23,İstanbulspor,Karagümrük,0,1,6.91,6.89,4-1-4-1,4-3-3,D. Jensen; D. Duhaney; O. Erdoğan; (c) M. Yeşil; A. Yaşar; M. Ba; J. Lokilo; M. Sarıkaya; F. Loshaj; V. Ethemi; E. K. Gültekin,B. A. Şen; D. Biraschi; B. Rodrigues; I. Drešević; M. Mercan; A. Bertolacci; M. Ricci; M. Ozdoev; B. Kapacak; M. Diagne; (c) F. Borini
22/23,Round 26,17/03/23,Konyaspor,Galatasaray,2,1,6.98,6.74,4-2-3-1,4-2-3-1,(c) I. Šehić; A. Oğuz; A. Demirbağ; F. Calvo; G. H. Sityá; S. Dikmen; A. Bouchalakis; M. Emreli; A. Pozuelo; M. Moreno; M. Demir,(c) F. Muslera; S. Boey; K. Ayhan; A. Bardakcı; L. Dubois; B. Kutlu; S. Oliveira; B. A. Yılmaz; M. Rashica; K. Aktürkoğlu; M. Icardi
22/23,Round 26,18/03/23,Kasımpaşa,Ümraniyespor,1,1,6.81,6.73,4-5-1,4-1-4-1,G. Güvenç; F. Silva; R. Donk; P. Djilobodji; Y. Özcan; A. Gholizadeh; V. Eysseric; M. Malsa; (c) H. Hajradinović; M. Chouiar; M. Fall,O. Özdemir; S. Popov; (c) T. Glumac; A. Epureanu; O. Atasayar; O. Gürbulak; Geraldo; D. Avounou; A. Mršić; V. Gheorghe; M. U. Nayir
