Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
22/23,Round 2,14/08/22,Gaziantep,Ankaragücü,1,0,7.07,6.78,4-1-4-1,4-2-3-1,(c) G. Güvenç; S. Kitsiou; E. Ersoy; P. Djilobodji; M. Hanousek; M. Jevtović; L. Marković; F. Soyalp; A. Maxim; M. Eskihellaç; J. Figueiredo,B. H. Güngördü; O. Ceylan; A. Çankaya; N. Mujakić; Marlon; Pedrinho; (c) A. Durak; A. Chatzigiovanis; G. Zahid; G. Beridze; F. Macheda
22/23,Round 2,14/08/22,Ümraniyespor,Antalyaspor,0,1,6.77,6.92,4-1-4-1,4-2-3-1,S. Kırıntılı; S. Göksu; Allyson; (c) T. Glumac; E. Lenjani; O. Gürbulak; Geraldo; A. Mršić; D. Avounou; O. Ayık; A. Bettaieb,(c) R. Boffin; B. Balcı; Ö. Toprak; F. Kudryashov; G. Vural; Fernando; S. Aydoğdu; A. Ndao; L. Adriano; H. Ghacha; H. Wright
22/23,Round 2,14/08/22,Alanyaspor,Beşiktaş,3,3,6.64,6.56,3-4-2-1,4-1-4-1,Y. Karagöz; F. Aksoy; F. Bayır; J. Balkovec; (c) D. Candeias; L. Fer; O. Targhalline; T. Bingöl; Z. Ferhat; E. Bekiroğlu; W. Eduardo,E. Destanoğlu; V. Rosier; E. Uzunhan; R. Saiss; A. Masuaku; B. Vardar; (c) R. Ghezzal; S. Uçan; G. Fernandes; G. N'Koudou; W. Weghorst
22/23,Round 2,15/08/22,Konyaspor,Başakşehir,0,0,6.91,6.87,4-4-2,4-3-3,(c) I. Šehić; A. Oğuz; A. Demirbağ; F. Calvo; G. H. Sityá; K. Michalak; S. Dikmen; A. Hadžiahmetović; Z. Bytyqi; A. Rahmanović; M. Demir,V. Babacan; J. Caiçara; L. Duarte; A. Epureanu; L. Lima; D. Aleksić; Y. Ndayishimiye; (c) M. Tekdemir; D. Türüç; P. Szysz; M. Chouiar
22/23,Round 2,15/08/22,Kasımpaşa,Fenerbahçe,0,6,5.85,7.56,4-1-4-1,4-4-2,E. Taşkıran; F. Hadergjonaj; D. Graovac; H. Yesilyurt; R. Petretta; A. Kara; M. Fall; (c) H. Hajradinović; V. Eysseric; B. Celina; S. Bahoken,(c) A. Bayındır; B. Osayi-Samuel; Gustavo Henrique; A. Szalai; F. Kadıoğlu; E. Mor; M. Zajc; Willian Arão; Lincoln; Enner Valencia; J. King
22/23,Round 1,05/08/22,İstanbulspor,Trabzonspor,0,2,6.69,6.94,5-4-1,4-1-4-1,D. Jensen; O. Berber; M. Yeşil; O. Erdoğan; T. D. Aksu; A. Yaşar; K. Abazaj; M. Kabasakal; F. Yazgan; J. Topalli; (c) İ. Yilmaz,(c) U. Çakır; J. Stryger Larsen; D. Toköz; V. Hugo; E. Elmalı; M. Siopis; E. Višća; A. Ömür; A. Bakasetas; M. Trézéguet; A. Cornelius
22/23,Round 1,06/08/22,Sivasspor,Gaziantep,1,1,6.83,6.79,4-2-3-1,4-2-3-1,M. Yıldırım; M. Paluli; D. Goutas; C. Osmanpaşa; (c) U. Çiftçi; R. Yalçın; F. Ulvestad; E. Yeşilyurt; K. A. Kesgin; M. Gradel; M. Yatabaré,(c) G. Güvenç; S. Kitsiou; E. Ersoy; P. Djilobodji; M. Hanousek; F. Soyalp; M. Jevtović; L. Marković; A. Maxim; M. Eskihellaç; J. Figueiredo
22/23,Round 1,06/08/22,Beşiktaş,Kayserispor,1,0,7.11,6.63,4-2-3-1,4-2-3-1,E. Destanoğlu; V. Rosier; (c) N. Uysal; R. Saiss; A. Masuaku; S. Uçan; G. Fernandes; R. Ghezzal; K. K. Yılmaz; J. Muleka; W. Weghorst,B. Bayazit; O. Bulut; M. Hosseini; (c) D. Kolovetsios; L. Carole; A. Bertolacci; A. Karimi; E. Başsan; M. Cardoso; M. Thiam; M. Gavranović
22/23,Round 1,07/08/22,Karagümrük,Alanyaspor,2,4,6.63,6.99,4-3-2-1,3-4-2-1,(c) E. Viviano; D. Biraschi; B. Bekaroğlu; E. Tintiş; C. Erkin; F. Borini; M. Ricci; O. Shukurov; M. Mercan; M. Ozdoev; M. Diagne,Y. Karagöz; F. Aksoy; F. Bayır; J. Balkovec; D. Candeias; U. Güneş; L. Fer; Y. Özdemir; (c) E. Karaca; E. Bekiroğlu; W. Eduardo
22/23,Round 1,07/08/22,Giresunspor,Adana DS,2,3,6.65,6.8,4-2-3-1,4-2-3-1,(c) O. Piri; H. Bilazer; S. Piçinciol; A. Pérez; A. Uludağ; M. C. Akpinar; H. Traoré; Serginho; D. C. Davas; B. Sainz; R. Bajić,E. Özbir; J. Svensson; S. Akaydın; Y. Rakitskyi; K. Rodrigues; (c) G. Inler; B. Ndiaye; Y. Sarı; Y. Belhanda; H. Onyekuru; B. Assombalonga
22/23,Round 1,07/08/22,Antalyaspor,Galatasaray,0,1,6.73,7.02,4-2-3-1,4-2-3-1,(c) R. Boffin; B. Balcı; Ö. Toprak; F. Kudryashov; G. Vural; Fernando; S. Aydoğdu; A. Ndao; L. Adriano; H. Ghacha; H. Wright,(c) F. Muslera; S. Boey; V. Nelsson; A. Bardakcı; P. v. Aanholt; B. Kutlu; S. Oliveira; Y. Akgün; E. Akbaba; K. Aktürkoğlu; H. Seferović
22/23,Round 1,08/08/22,Başakşehir,Kasımpaşa,4,0,7.16,6.39,4-3-3,4-1-4-1,V. Babacan; J. Caiçara; L. Duarte; A. Epureanu; L. Lima; D. Aleksić; Y. Ndayishimiye; (c) M. Tekdemir; S. Gürler; P. Szysz; M. Chouiar,E. Taşkıran; F. Hadergjonaj; J. Bruma; R. Yemişçi; R. Petretta; A. Kara; M. Fall; (c) H. Hajradinović; V. Eysseric; M. B. Ouanes; S. Bahoken
22/23,Round 1,08/08/22,Fenerbahçe,Ümraniyespor,3,3,6.73,6.63,4-2-2-2,4-1-4-1,(c) A. Bayındır; F. Kadıoğlu; Gustavo Henrique; A. Szalai; L. Peres; Willian Arão; Lincoln; E. Mor; D. Rossi; Enner Valencia; J. King,(c) S. Kırıntılı; S. Göksu; Allyson; T. Glumac; E. Lenjani; O. Gürbulak; Geraldo; A. Mršić; D. Avounou; Y. D. Valle; A. Bettaieb
22/23,Round 1,08/08/22,Ankaragücü,Konyaspor,0,0,6.88,6.89,4-2-3-1,4-4-2,B. H. Güngördü; O. Ceylan; A. Çankaya; N. Mujakić; Marlon; Pedrinho; (c) A. Durak; A. Chatzigiovanis; G. Zahid; G. Beridze; F. Macheda,(c) I. Šehić; A. Oğuz; A. Demirbağ; F. Calvo; G. H. Sityá; K. Michalak; S. Dikmen; A. Hadžiahmetović; Z. Bytyqi; A. Rahmanović; S. Cikalleshi
