,precision,recall,f1-score,support
0,0.7803030303030303,0.8803418803418803,0.8273092369477911,234.0
1,0.5918367346938775,0.30851063829787234,0.40559440559440557,94.0
2,0.7515151515151515,0.8266666666666667,0.7873015873015873,150.0
accuracy,0.7510460251046025,0.7510460251046025,0.7510460251046025,0.7510460251046025
macro avg,0.7078849721706865,0.6718397284354731,0.6734017432812612,478.0
weighted avg,0.7342067675301388,0.7510460251046025,0.731823166667145,478.0
