,precision,recall,f1-score,support
0,0.8333333333333334,0.6410256410256411,0.7246376811594203,234.0
1,0.310126582278481,0.5212765957446809,0.3888888888888889,94.0
2,0.7142857142857143,0.6666666666666666,0.6896551724137931,150.0
accuracy,0.6255230125523012,0.6255230125523012,0.6255230125523012,0.6255230125523012
macro avg,0.6192485432991762,0.6096563011456628,0.6010605808207008,478.0
weighted avg,0.6930852633410761,0.6255230125523012,0.647633993324119,478.0
