,precision,recall,f1-score,support
0,0.7630522088353414,0.811965811965812,0.7867494824016563,234.0
1,0.45555555555555555,0.43617021276595747,0.44565217391304346,94.0
2,0.7410071942446043,0.6866666666666666,0.71280276816609,150.0
accuracy,0.698744769874477,0.698744769874477,0.698744769874477,0.698744769874477
macro avg,0.6532049862118338,0.6449342304661454,0.6484014748269299,478.0
weighted avg,0.6956642640719305,0.698744769874477,0.6964667331688853,478.0
