,precision,recall,f1-score,support
0,0.9117647058823529,0.9273504273504274,0.9194915254237288,234.0
1,0.6262626262626263,0.6595744680851063,0.6424870466321243,94.0
2,0.900709219858156,0.8466666666666667,0.872852233676976,150.0
accuracy,0.8493723849372385,0.8493723849372385,0.8493723849372385,0.8493723849372385
macro avg,0.812912184001045,0.8111971873674001,0.8116102685776098,478.0
weighted avg,0.852150650677575,0.8493723849372385,0.8503820803015035,478.0
