,precision,recall,f1-score,support
0,0.8930041152263375,0.9273504273504274,0.909853249475891,234.0
1,0.6781609195402298,0.6276595744680851,0.6519337016574586,94.0
2,0.8918918918918919,0.88,0.8859060402684564,150.0
accuracy,0.8535564853556485,0.8535564853556485,0.8535564853556485,0.8535564853556485
macro avg,0.8210189755528198,0.8116700006061709,0.815897663800602,478.0
weighted avg,0.8504055924341596,0.8535564853556485,0.8516178543377155,478.0
