,precision,recall,f1-score,support
0,0.7713178294573644,0.8504273504273504,0.8089430894308943,234.0
1,0.40425531914893614,0.20212765957446807,0.2695035460992908,94.0
2,0.7283236994219653,0.84,0.7801857585139319,150.0
accuracy,0.7196652719665272,0.7196652719665272,0.7196652719665272,0.7196652719665272
macro avg,0.6346322826760886,0.630851670000606,0.619544131348039,478.0
weighted avg,0.6856421067077784,0.7196652719665272,0.6938365691155908,478.0
