,precision,recall,f1-score,support
0,0.8065843621399177,0.8376068376068376,0.8218029350104822,234.0
1,0.4691358024691358,0.40425531914893614,0.4342857142857143,94.0
2,0.7402597402597403,0.76,0.75,150.0
accuracy,0.7280334728033473,0.7280334728033473,0.7280334728033473,0.7280334728033473
macro avg,0.6719933016229312,0.6672873855852579,0.6686962164320654,478.0
weighted avg,0.7194110192715492,0.7280334728033473,0.7230643178562971,478.0
