Model,Accuracy
random_forest,0.7510460251046025
svm,0.7384937238493724
catboost,0.7635983263598326
knn,0.698744769874477
logistic_regression,0.7196652719665272
mlp,0.7280334728033473
naive_bayes,0.6255230125523012
