Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11,Home Player 1 Rating,Home Player 2 Rating,Home Player 3 Rating,Home Player 4 Rating,Home Player 5 Rating,Home Player 6 Rating,Home Player 7 Rating,Home Player 8 Rating,Home Player 9 Rating,Home Player 10 Rating,Home Player 11 Rating,Away Player 1 Rating,Away Player 2 Rating,Away Player 3 Rating,Away Player 4 Rating,Away Player 5 Rating,Away Player 6 Rating,Away Player 7 Rating,Away Player 8 Rating,Away Player 9 Rating,Away Player 10 Rating,Away Player 11 Rating,Home Player 1 Age,Home Player 1 Market Value (M€),Home Player 2 Age,Home Player 2 Market Value (M€),Home Player 3 Age,Home Player 3 Market Value (M€),Home Player 4 Age,Home Player 4 Market Value (M€),Home Player 5 Age,Home Player 5 Market Value (M€),Home Player 6 Age,Home Player 6 Market Value (M€),Home Player 7 Age,Home Player 7 Market Value (M€),Home Player 8 Age,Home Player 8 Market Value (M€),Home Player 9 Age,Home Player 9 Market Value (M€),Home Player 10 Age,Home Player 10 Market Value (M€),Home Player 11 Age,Home Player 11 Market Value (M€),Away Player 1 Age,Away Player 1 Market Value (M€),Away Player 2 Age,Away Player 2 Market Value (M€),Away Player 3 Age,Away Player 3 Market Value (M€),Away Player 4 Age,Away Player 4 Market Value (M€),Away Player 5 Age,Away Player 5 Market Value (M€),Away Player 6 Age,Away Player 6 Market Value (M€),Away Player 7 Age,Away Player 7 Market Value (M€),Away Player 8 Age,Away Player 8 Market Value (M€),Away Player 9 Age,Away Player 9 Market Value (M€),Away Player 10 Age,Away Player 10 Market Value (M€),Away Player 11 Age,Away Player 11 Market Value (M€)
23/24,Round 2,2023-08-18,i̇st,kays,1,1,6.86,6.97,4-4-2,4-2-3-1,Jensen,Duhaney,Yeşil,Coly,Temel,Ndao,Rroca,Loshaj,Ethemi,Yilmaz,Jackson,Bayazit,Uzodimma,Kolovetsios,Kocaman,Attamah,Kemen,Ackah,Cardoso,Karimi,Thiam,Sazdağı,6.91,6.54,6.8,6.59,6.63,6.88,6.8,6.98,6.75,6.74,6.77,7.22,6.78,6.58,6.7,6.75,6.94,6.69,7.08,6.98,7.26,6.79,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,24.0,0.05,27.0,130.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,25.0,0.4,33.0,0.35,21.0,180.0,30.0,0.5,28.0,250.0,25.0,0.4,30.0,210.0,30.0,0.6,32.0,270.0,30.0,0.9
23/24,Round 2,2023-08-18,anta,kony,1,1,7.07,6.94,4-2-3-1,4-2-3-1,Leite,Balcı,Sarı,Toprak,Vural,Kałuziński,Fredy,Yeşilyurt,Larsson,Bytyqi,Assombalonga,Bernardoni,Oğuz,Yazğılı,Calvo,Sityá,Ülgün,Dikmen,Michalak,Malli,Moreno,Cikalleshi,7.2,7.0,6.93,6.92,6.9,6.88,6.6,6.89,6.97,6.82,6.62,6.78,6.96,6.95,6.99,7.35,6.75,6.76,6.68,6.62,6.84,6.94,26.428571428571427,205.42671232876714,24.0,250.0,31.0,225.0875,19.0,0.05,36.0,0.15,26.428571428571427,205.42671232876714,34.0,0.45,27.0,80.02499999999999,31.0,150.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,32.0,150.0,26.428571428571427,205.42671232876714,26.0,0.9,31.0,150.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714
23/24,Round 2,2023-08-19,hata,kası,0,0,7.01,6.95,4-2-3-1,4-2-3-1,Kardeşler,Çörekçi,Kilama,Bekaroğlu,Aksoy,Sağlam,Aburjania,Fernandes,Dele-Bashiru,Strandberg,Yıldırım,Gianniotis,Winck,Omeruo,Özcan,Aksu,Gül,Kara,Ouanes,Hajradinović,Gomis,Fall,6.98,6.85,6.9,6.71,6.77,6.9,6.66,6.75,7.01,6.79,6.57,6.95,6.82,6.93,6.78,6.53,6.97,6.75,7.01,7.39,6.76,6.94,30.0,0.4,32.0,0.2,25.0,150.0,26.428571428571427,205.42671232876714,27.0,180.0,26.0,0.95,26.428571428571427,205.42671232876714,23.0,940.0,26.428571428571427,205.42671232876714,28.0,200.0,21.75,0.23750000000000002,31.0,0.5,30.0,0.7,31.0,160.0,22.0,425.0,26.428571428571427,205.42671232876714,26.0,200.0,28.0,150.0,30.0,160.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,32.0,100.0
23/24,Round 2,2023-08-19,gala,trab,2,0,7.11,6.55,4-2-3-1,4-1-4-1,Muslera,Boey,Nelsson,Bardakcı,Angeliño,Oliveira,Torreira,Yılmaz,Mertens,Aktürkoğlu,Icardi,Çakır,Larsen,Benković,Denswil,Elmalı,Kourbelis,Ömür,Bakasetas,Bardhi,Trézéguet,Bozok,7.2,7.11,7.12,7.23,7.06,6.54,7.2,6.85,7.61,7.33,7.51,7.04,6.74,6.9,7.02,6.87,6.76,6.97,7.26,7.06,7.17,6.8,38.0,110.0,26.428571428571427,205.42671232876714,26.0,1600.0,30.0,750.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,28.0,1500.0,23.0,470.06499999999994,37.0,180.0,26.428571428571427,205.42671232876714,31.0,1500.0,28.0,850.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,31.0,260.0,24.0,400.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,29.0,600.0,26.428571428571427,205.42671232876714,28.0,180.0
23/24,Round 2,2023-08-19,rize,alan,0,0,6.99,6.75,4-2-3-1,4-3-3,Akkan,Şahin,Topçu,Yasar,Pehlivan,Pala,Olawoyin,Keser,Varešanović,Zeqiri,Mary,Taşkıran,Augusto,Bayır,Aliti,Özdemir,Novais,Cândido,Janvier,Karaca,Silva,Eduardo,7.17,6.87,7.26,6.73,6.65,6.62,7.12,6.87,6.76,6.88,6.8,7.01,6.92,6.79,6.87,6.78,6.9,7.16,7.04,7.02,6.45,6.8,29.0,120.0,24.0,120.0,24.0,500.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,24.0,0.9,27.0,170.0,28.0,100.0,26.428571428571427,205.42671232876714,24.0,160.0,26.428571428571427,205.42671232876714,35.0,0.075,24.0,140.0,24.0,210.0,31.0,100.0,24.5,405.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.0,0.55,35.0,0.35,30.0,0.55,26.428571428571427,205.42671232876714
23/24,Round 2,2023-08-20,beşi,pend,1,1,6.93,6.86,4-2-3-1,4-5-1,Günok,Rosier,Amartey,Colley,Masuaku,Uçan,Hadžiahmetović,Bulut,Fernandes,Muleka,Aboubakar,Canpolat,Asan,Welinton,Rassoul,Sequeira,Diaby,Kaya,Akdağ,Vuković,Akbunar,Eze,6.89,7.15,6.79,7.14,6.82,7.11,7.06,6.76,6.75,6.9,6.78,6.95,6.68,6.88,6.63,6.89,6.63,6.5,6.69,6.58,6.98,6.53,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,31.0,400.0,30.0,360.0,26.428571428571427,205.42671232876714,26.0,85.025,23.0,940.0,26.428571428571427,205.42671232876714,32.0,280.0,26.428571428571427,205.42671232876714,25.0,0.325,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,31.0,120.0,26.428571428571427,205.42671232876714
23/24,Round 2,2023-08-20,başa,fati,0,2,6.93,6.99,4-4-2,4-3-3,Şengezer,Özbayraklı,Ié,Duarte,Lima,Gürler,Karzev,Özcan,Pelkas,Aleksić,Piątek,Dituro,Veseli,Ceccherini,Drešević,Mercan,Rohdén,Feghouli,Ugur,Keleş,Lasagna,Mendes,7.11,6.75,6.95,7.12,6.79,6.75,6.64,6.78,7.04,6.78,7.2,7.04,6.63,6.68,6.99,6.9,6.91,6.82,6.51,6.82,6.71,6.96,27.0,190.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,28.0,330.0,28.0,50.45,33.0,0.6,26.428571428571427,205.42671232876714,22.0,425.0,31.0,200.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,24.0,260.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,23.0,220.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714
23/24,Round 2,2023-08-20,gazi,siva,1,3,6.79,7.03,4-3-3,4-3-3,Şen,M'Bakata,Kızıldağ,Djilobodji,Khacef,Stankovski,Jevtović,Soyalp,Marković,Gradel,Eskihellaç,Vural,Okumuş,Osmanpaşa,Camara,Çiftçi,Charisis,Konak,Sáiz,Başsan,N'Jie,Rodrigues,6.48,6.71,6.9,6.94,6.43,6.35,6.79,6.77,6.82,6.73,6.93,6.9,6.79,6.98,6.94,6.8,6.91,6.83,7.25,6.9,6.64,6.76,24.5,0.5875,26.0,0.55,26.0,0.75,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,29.0,0.7,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,27.0,140.0,36.0,0.15,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,32.0,0.3,32.0,120.0,29.0,100.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,32.0,0.6,26.428571428571427,205.42671232876714,32.0,80.45
23/24,Round 2,2023-08-21,anka,adan,1,1,6.97,6.96,4-3-3,4-2-3-1,Gikiewicz,Bilazer,Radaković,Çetin,Mujakić,Đokanović,Ciğerci,Bekiroğlu,Kitsiou,Sowe,Cephas,Özbir,Svensson,Gravillon,Güler,Rodrigues,Toköz,Stambouli,Erdoğan,Akbaba,Babajide,Niang,6.9,6.89,6.89,6.7,6.77,6.73,7.15,7.04,6.84,6.84,6.83,7.19,7.1,6.85,7.09,6.76,6.63,6.81,6.63,7.19,,7.08,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,19.5,0.3,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,30.0,170.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,31.0,180.0,26.0,350.0,30.0,0.95,32.0,80.45,28.0,150.0,26.428571428571427,205.42671232876714,27.666666666666668,0.35000000000000003,32.0,120.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714
23/24,Round 2,2023-08-21,sams,fene,0,2,6.54,7.13,3-4-2-1,4-1-4-1,Kocuk,Yavru,Öztürk,Drongelen,Schindler,Antalyalı,Ntcham,Bola,Kılınç,Fofana,Laura,Eğribayat,Kadıoğlu,Aziz,Djiku,Oosterwolde,Yüksek,Ünder,Yandaş,Fred,Tadić,Džeko,6.8,7.02,0.0,6.89,6.74,6.77,6.75,6.75,7.12,6.82,6.56,6.9,7.44,6.97,7.01,6.85,7.15,7.05,7.1,7.34,7.42,7.39,29.0,150.0,33.0,0.35,24.0,0.25,25.0,170.0,31.0,0.75,29.0,160.0,28.0,270.0,27.0,120.0,30.0,170.0,21.0,1000.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714,30.0,900.0,23.0,1500.0,25.0,1400.0,27.0,1000.0,30.0,110.0,31.0,1500.0,26.428571428571427,205.42671232876714,26.428571428571427,205.42671232876714
