Match_Number,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11,Home_Defenders,Home_Midfielders,Home_Forwards,Away_Defenders,Away_Midfielders,Away_Forwards,Home_Players_Total_Score,Away_Players_Total_Score,Player_Score_Diff,Performance_Diff,Match_Result,Goal_Difference
1,20,3,-0.44870122552792796,-1.0364935620418012,0.37906720786345,0.02820681338962226,4-1-4-1,4-2-3-1,1.1694203743871392,0.5828117952990781,0.4403923485970343,0.39918505062180515,0.7372957017739933,0.34014188412804314,0.5511007883461899,0.5244151601313334,0.3590913850667758,0.5414064537479395,0.1314781613681571,0.6786841447431551,0.6802516981645533,-3.2373739521973404,-1.5608857822189484,-2.0850482308908784,-1.5937101232183757,0.3366108679572422,-0.11943206554380582,0.03792769973887565,0.3740343410685615,0.44188799585721117,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,1.2197869711477816,-1.5803707534749525,1.9597750437435295,0.1846959323091368,1,0.35410865764951177
2,16,10,-0.44870122552792796,3.2334092641956187,-2.0441103894680097,0.45753943486214854,4-1-3-2,4-2-3-1,0.21742942022807474,0.5409151299153633,0.4339044020004801,0.2703633434606652,0.5688033365531622,0.25756816801815946,0.17439563721838777,0.0710425411239479,-0.09070578386551119,0.21334787793669693,0.3504518739643872,-1.5015547421295783,-1.5558579657787117,0.40816426198199973,0.24887356130834193,0.45026296990214704,-1.5222792533992524,0.23368292096096463,0.2567944398503431,0.3842413546402006,0.9720917204040006,-2.813120709198464,-0.07523769751152323,-1.0993294138558745,1.2234762670806598,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,0.6628799911993445,-0.8547044341790491,1.0620690461618234,-1.3467031563994494,-1,-2.4418742850414246
3,14,8,-1.22169106405104,-1.0364935620418012,-0.2267271914694149,0.7580722698929192,4-4-1-1,4-2-3-1,0.6927040892972604,-1.3582722722341134,-1.284537731765841,0.12195866251956203,-1.7599848091927548,0.38558290894731856,0.4606192782190981,-2.7404933511219367,0.42099145217636835,-2.1716374346249188,-2.5156302232692,0.014074250578991952,0.7420544298190275,1.1383750641761001,0.8471131772480588,0.5975487721377952,0.2754414623968392,0.6173219473830199,0.5815920660280535,0.14807583648214662,0.6502756792774389,0.24778491245657605,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,-1.8641151951162476,1.2495953596433833,-2.1627754760033127,-0.5563036267434055,0,-0.20508793088867555
4,15,11,-0.44870122552792796,-0.18251299679431718,0.4256667770429043,-1.1739245267334568,4-2-3-1,4-2-3-1,0.5169722788851246,0.6666051260665067,-0.11477922460453117,0.28913664418345186,0.7620098185322186,0.039425497551891744,0.23235027585343465,0.271369977429537,0.17751488857702558,0.3722512505952686,0.3060246608660102,0.5628060295187088,0.5181736825027303,-1.1393786206368481,0.3648349596843698,-2.01986793588995,0.4574902520395158,0.3038610666402464,0.13036335701121168,0.2647409112682413,0.33611886327518636,0.20581667820779087,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,0.7233909796242871,-0.08674341317892222,0.554994629186537,0.9009955060599304,0,-0.20508793088867555
5,13,2,1.0972784515182965,0.6714675684531668,1.404257729811379,-0.6587253809664229,4-2-3-1,3-4-3,-1.5188557749185967,-1.3071750936318827,0.25827626398737646,0.44609293936992084,0.41759826369999226,0.40459632115891564,0.12343286280674162,0.13356672498418592,0.5769831808544725,0.3312439286188623,-0.3368826902381869,0.5588102324420046,0.6556443168197517,0.4111871817867828,0.355049813904341,0.5130312188404649,0.5278272844014613,0.2664327222779637,0.2671473768458786,0.22988661528475163,0.15134101493075522,0.3631975566407371,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-3.245624176736087,-1.2204866656004296,3.1150419971059478,-0.13133637753222852,0.8899507583396092,-0.7249366021689408,1.1232953737756928,1,0.35410865764951177
6,7,9,0.3242886129951843,-0.18251299679431718,0.4256667770429043,-1.860856721089502,4-1-4-1,4-2-3-1,0.3252648493446125,1.181956337907041,0.8663449740932743,0.8150089214624809,0.7998110867455133,1.3320077091950298,0.36274821278228886,1.772419637845075,-0.021322989218130275,0.6695543349242041,0.5559277345443829,-1.6311431503086475,-1.3532131423273863,-0.9893880320175236,0.4104989733245012,0.3346944825721874,0.37887827469381613,-2.0270706429424488,0.19597298123168988,-2.236396796158071,0.32528586961993855,0.2477849124565751,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,1.8133197910028915,-1.2943477617960018,2.160106409389122,1.2961952708879536,1,0.35410865764951177
7,0,16,0.3242886129951843,-0.18251299679431718,-0.08692848393106019,-0.9163249538499417,4-2-3-1,4-2-3-1,0.6807223749509779,0.5392752346258316,0.5824730703569456,-1.0797414863616555,-0.06239940633811159,0.36307902749189985,0.03578164373440247,0.21766087602419712,0.39021878446501895,0.3671253353482162,-2.72465402890542,0.39617647940505507,-1.6073322380410948,0.28255506650543055,0.7248642358585309,0.43038736544784867,0.4611564532634768,-2.0919968269143414,0.08056088945396454,0.1601780233177741,-0.009281428427270902,-0.025008610160533164,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,-0.07501250929055674,-0.16159633192634199,0.06425034770603953,0.4810957559301563,1,0.35410865764951177
8,19,17,-0.44870122552792796,-0.18251299679431718,-0.6461233140844749,-0.27232602164114844,4-3-3,3-4-2-1,-1.8446398523576244,0.6018557341098577,0.4663441349832465,-1.3161177140297797,0.12064324307998879,-2.138910270113329,0.3337708934647654,0.5191433854917118,-2.428262933009427,0.26973294565425393,0.11720900519790389,0.33683461380408086,-1.4821018142768267,-3.2373739521973404,0.28618227370855365,-1.7545363897735193,0.20866339148118798,0.3830763948848296,0.019171915284667402,0.22434028513024534,0.9351575166955746,0.24280240159823382,-0.07523769751152323,-2.619934697984985,2.867793661490482,-3.245624176736087,1.9477629663349332,-0.37786012390930124,-1.1077334345293959,-1.0869485189386168,0.02104638104693782,-0.18580384721713325,0,-0.20508793088867555
9,6,5,-1.22169106405104,-0.18251299679431718,-1.3451168517762402,1.0586051049236862,4-3-3,4-3-3,0.6208138032195691,0.5409151299153625,0.3852448025263321,0.42367863269675904,0.5695248447539728,0.40895331421961084,0.32894134024517835,0.12903206215977495,0.1387924624680734,-2.5201996714243653,0.14497601338439053,0.5548144353652981,0.7577653594552586,-1.1401835147122223,0.4757332785246903,0.644025571154891,0.6420527093260627,0.42082464277237963,0.8959058946544746,-0.19740944538345462,0.27954468110841363,0.28975314670536306,-0.07523769751152323,-2.619934697984985,2.867793661490482,-0.042260731467918033,-2.804611481568111,3.1150419971059478,0.3827259682141712,0.6196700033814403,-0.18157525469802632,-1.3220031710976965,-1,-0.7642845194268628
10,1,4,0.3242886129951843,-1.0364935620418012,1.171259883914124,-1.0451247402916972,4-3-3,4-1-4-1,-1.7877032573216312,0.4136853559317153,0.3330348511347732,0.05519563797835462,0.7256998403027117,0.4043658855468421,0.49314614971114223,-2.1929462017457015,-2.609787050799274,-2.459585056395076,0.22827703794384843,0.634518935204846,0.6006560630929442,0.480714337296782,0.6092404334158134,0.2781486881456614,0.31681618731563,-2.2519329411216646,-2.5211713465612307,0.2151991741772525,0.5307423866698991,0.44713402513830747,-0.07523769751152323,-2.619934697984985,2.867793661490482,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,-1.0796257119198396,0.05805124711699391,-0.7773168423158578,1.2220953149826985,1,0.913305246187699
11,11,13,-0.44870122552792796,-0.18251299679431718,-0.36652589900776544,0.5004726970094004,4-4-2,4-2-3-1,0.5688930410523455,0.5066360400559612,0.407952615614269,0.29852329454484683,-1.860563385592684,0.2127924488508754,0.3192822338060033,0.37680547022195077,0.24495758727321806,0.32099209812476126,0.21161683303195802,0.6866757388965673,-1.4049738582667977,-1.3157156092491644,0.1122785345594326,-1.7737405071989314,0.504099024821186,-2.155335714411036,0.33036384895075876,-2.171474275962672,0.5199093930146484,-2.354743302875909,-0.07523769751152323,-1.0993294138558745,1.2234762670806598,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,0.34305264672079283,-1.7497763056988649,1.4831506484688464,-0.48220367083814847,0,-0.20508793088867555
12,3,14,-0.44870122552792796,-0.18251299679431718,0.6120650537607092,0.37167291056764484,4-2-3-1,4-2-3-1,0.6847162797330704,0.6638058006902744,0.3684149082172632,-1.4830668314095463,-1.9609586069548193,0.3951910282012973,-2.4824570305832685,-0.13352595314091378,0.019012743404485145,0.36199942010116565,0.12831580847249913,0.5108606675215438,0.6831384436831596,0.480714337296782,0.1803775408481411,0.73486472005222,-1.5950886268231055,-0.02622078957924738,0.2352883960625741,0.19005313416076547,0.3848673347238131,0.31073726382975475,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,-0.7450554758996546,0.43036807937385113,-0.8151065276665371,0.1105959764038841,0,-0.20508793088867555
13,10,12,-1.22169106405104,-1.0364935620418012,0.3324676386839998,0.4146061727148967,4-2-3-1,4-2-3-1,-1.4944901086875877,-1.504587113049106,0.29262198434342196,0.33606989599041964,0.4871922645939597,-1.7540070178911256,0.2516684887317822,0.8745350916786623,0.37984298466560307,0.31099775248800654,-3.0008646172028204,-1.5259319527066395,-1.352280965687821,0.2958935575134696,0.4501734202930913,0.37819124751566996,0.4245983055279814,0.10945695873403011,0.14958868115112514,0.5734503899791366,0.3415353601028122,-0.29658614067145156,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,-0.9132692666816464,-0.1082507203142098,-0.5451905659432362,-0.062303920708376564,0,-0.20508793088867555
14,8,19,0.3242886129951843,-1.0364935620418012,0.7984633304785141,-1.3027243131752162,4-2-3-1,4-1-4-1,0.02042112570637107,0.7237369424988447,1.1623649227673833,0.8268675130791292,0.6402057320671636,0.23921845332707392,1.449921328283398,0.562473946614692,0.13377800949502244,0.6234210977007519,1.5339285465856947,1.1636178900765282,0.5967283306838872,0.4655997382728699,0.40127413120041355,0.7092707185701155,0.36646585721817865,0.37871775536481095,0.5432585436345247,0.8701064297048198,0.563611730035437,0.14585164829473557,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,1.6485349869461439,1.241515183827631,0.2372023999722248,1.1726953443791968,1,0.913305246187699
15,17,1,-1.22169106405104,-1.0364935620418012,0.23926850032509941,-0.4440590702301597,4-2-3-1,4-3-3,0.4023424019028059,0.3363786402820871,0.7660235278199623,0.3423276628980163,0.4679999546510504,-1.9861196632956968,0.4104936435155545,-0.08061696372869845,0.2501454871729242,0.1408683470629499,0.2282770379438494,-1.7949068138705386,0.42232024112529487,0.36555788359947355,0.042681191236809066,0.6972620152615707,0.4243904721044859,0.4676100732252311,-2.193718702404842,-2.485112668365259,-2.6075021512898298,0.23729285389437882,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,-2.804611481568111,3.1150419971059478,0.3555294247693466,-1.0135126747538654,0.9659680020055733,0.38229581472315055,0,-0.20508793088867555
16,5,15,-0.44870122552792796,-0.18251299679431718,-0.04032891475161,0.02820681338962226,4-2-3-1,4-5-1,0.560905231488157,0.7389720935474677,0.40470864231599185,0.47061188450372626,0.6742935880851696,0.6456992092051066,0.4448506175152721,-0.22320927647449978,0.8540899521049983,0.40300674207757187,0.14250590534408059,0.5787892178255281,-1.4658771894851035,0.45955389866330376,0.30938580026420726,0.5347796013122015,0.31267871482375176,0.15882623223640013,0.24059822619312485,0.17013639359877153,-0.01433500439204964,0.095650063304727,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,1.0940291246296818,0.29392434670978523,0.5358261898288295,-0.03760393540662566,0,-0.20508793088867555
17,4,6,-1.22169106405104,0.6714675684531668,-0.04032891475161,0.5863392213039079,4-4-2,4-3-3,0.6405719855681905,0.5866205830612332,0.4566122150884164,0.5986820238638508,-0.07473894688596901,-2.142941030337656,0.24200938229260885,0.4198425292606531,0.20371498654456324,0.3414957591129634,0.4504131034357365,0.6147513915158767,0.5535232741842495,0.39909550256765325,0.4268075496245483,0.5355267970198835,0.42852794459636256,0.3085396096855308,0.14502128384320864,0.15288855265127557,0.3144528759646859,0.32122932239195007,-0.07523769751152323,-1.0993294138558745,1.2234762670806598,-0.042260731467918033,-2.804611481568111,3.1150419971059478,0.42558091851101165,0.8728118800547405,-0.33310690916479224,-0.35870374432939395,-1,-1.3234811079650501
18,9,18,-0.44870122552792796,1.5254481337006507,-0.6927228832639251,0.7580722698929192,4-3-3,4-3-3,-1.6240171475223812,-1.3080790408989509,-1.1209925973990778,0.4080342154277702,0.37559685457411024,0.15205730854441987,0.3144526805864179,-2.3393047307672474,0.2812728865711674,0.3158661828777116,0.12051733431605138,-1.8518703852161433,0.6163669927291767,0.4897830967111301,-1.386849103690147,0.07066388118414696,0.07366434685749432,0.31321815273081605,0.537948713503973,-2.310891459896626,0.27653739817131173,-0.503873115627663,-0.07523769751152323,-2.619934697984985,2.867793661490482,-0.042260731467918033,-2.804611481568111,3.1150419971059478,-0.9642438802237462,-0.7444649924729867,-0.12568239415245464,-0.8033034797609189,-1,-1.3234811079650501
19,2,0,-0.44870122552792796,-0.18251299679431718,0.1460693619661949,0.45753943486214854,4-3-3,4-2-3-1,0.5648991362702522,0.6399436117314156,0.4371483752987549,-1.4694330032658733,0.5184016456021086,0.3263795981097296,0.4883165964915577,0.40843611805967556,0.2916486863705842,0.15125303693255768,0.24493724285574078,0.6746883476664516,0.5518321665987468,0.597998678767854,-1.1404378965380337,-0.11889554698906657,0.16558215437805382,0.3038610666402464,-2.467077786970053,-0.012605697336454053,-3.320016495371684,0.3841816737651306,-0.07523769751152323,-2.619934697984985,2.867793661490482,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,0.42491254614916546,-0.6554697502409728,0.7576192758348445,-0.18580384721713325,0,-0.20508793088867555
20,18,7,-1.22169106405104,0.6714675684531668,-1.8577121127502045,1.1874048913654456,3-4-2-1,4-1-4-1,0.34302863890322327,-1.4330645402342543,-3.533364334296527,0.28878025441280325,-1.6418092845223065,0.1651781695953774,0.4058839626497562,0.004084654565329872,0.2132392695864862,0.8930197332213652,0.0949953986487144,0.5588102324420052,0.8716695993179367,0.4867601769063476,0.8347511478502257,1.2311994511873063,1.261044903472955,1.1815333743020644,-8.171157788209933e-05,1.3656806921538258,0.69902415072606,0.5468085814791732,-3.639623617119886,1.9418811544023469,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,-1.1788402406683782,1.8063232637775353,-2.0931943275515783,-1.6678029653222177,-1,-1.3234811079650501
21,15,9,0.3242886129951843,-1.0364935620418012,1.1246603147346697,-0.4011258080829079,4-2-3-1,4-1-4-1,0.5169722788851246,0.6666051260665067,0.4566122150884164,0.18728436909156826,0.7620098185322186,0.039425497551891744,0.23235027585343465,0.035402568924982836,0.31240028596941055,0.3722512505952686,0.3060246608660102,-1.6311431503086475,-1.3532131423273863,-3.219759728560238,0.4104989733245012,0.3346944825721874,0.37887827469381613,0.2083988121155204,-2.3411337533861585,0.20001150444176202,-2.3738556799373103,0.14286432683461125,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,0.8344544909688296,-1.945663185274789,1.9579500112688553,0.8268955501546754,1,0.913305246187699
22,13,15,-0.44870122552792796,-0.18251299679431718,-0.08692848393106019,0.28580638627313726,4-2-3-1,4-2-3-1,-1.5188557749185967,-1.3071750936318827,0.25827626398737646,0.44609293936992084,0.41759826369999226,0.40459632115891564,0.12343286280674162,0.13356672498418592,0.5769831808544725,0.3312439286188623,-0.3368826902381869,0.5787892178255281,-1.4658771894851035,0.45955389866330376,0.30938580026420726,0.5347796013122015,0.43680288958012264,0.1962545765986828,0.4158226205013022,0.34440787351621444,-0.01433500439204964,0.095650063304727,-0.07523769751152323,0.42127587027323615,-0.42084112732916296,-0.042260731467918033,0.3636381503672518,-0.37786012390930124,-0.13133637753222852,0.3839577377548313,-0.3636613396687094,-0.21050383251888413,0,-0.20508793088867555
