Match_Number,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Player 1,Home Player 2,Home Player 3,Home Player 4,Home Player 5,Home Player 6,Home Player 7,Home Player 8,Home Player 9,Home Player 10,Home Player 11,Away Player 1,Away Player 2,Away Player 3,Away Player 4,Away Player 5,Away Player 6,Away Player 7,Away Player 8,Away Player 9,Away Player 10,Away Player 11,Home_Defenders,Home_Midfielders,Home_Forwards,Away_Defenders,Away_Midfielders,Away_Forwards,Home_Players_Total_Score,Away_Players_Total_Score,Player_Score_Diff,Performance_Diff,Match_Result,Goal_Difference,Home_Advantage,Home_Avg_Player_Score,Away_Avg_Player_Score,Home_Avg_Goals_Last5,Away_Avg_Goals_Last5,Home_Wins_Last5,Away_Wins_Last5,Home_Avg_Performance_Last5,Away_Avg_Performance_Last5,Home_Avg_Goals_Last10,Away_Avg_Goals_Last10,Home_Wins_Last10,Away_Wins_Last10,Home_Avg_Performance_Last10,Away_Avg_Performance_Last10,Performance_Diff_Last5,Performance_Diff_Last10
336,16,13,-0.4487012255279279,0.6714675684531668,0.4256667770429043,-0.5299255945246635,0.2174294202280747,0.643752399493572,-3.533364334296527,0.3517143132594085,0.5688033365531622,-2.080799043118706,0.382066425660639,-0.0855355143082247,0.1152600897805392,0.5000486383931705,0.211616833031956,0.6866757388965673,-1.3203777097409466,-1.3157156092491644,0.1122785345594326,-2.160929103996072,0.3292286047912675,-2.095116595015392,-0.0150160528959478,0.3090833159961845,-2.292608227522936,-0.2429930622795588,-0.0752376975115232,0.4212758702732361,-0.4208411273291629,-0.042260731467918,0.3636381503672518,-0.3778601239093012,-0.7569426573291458,-1.5632871338170908,0.600246246108445,0.5304957265336581,-1,-0.7642845194268628,1,-0.24627340321117594,-0.7277718333142335,0.3779980185653513,-0.5292201924288549,3,2,-0.17020726504944134,0.09923263504635486,-0.2302090546363742,-0.35032500670692085,6,4,-0.2731930218482258,0.03405157638755465,-0.2694399000957962,-0.30724459823578043
337,1,11,3.4162479670876333,-1.0364935620418012,2.9420435127332683,-2.934188274770821,-1.7877032573216312,0.4909670559748689,0.3330348511347732,0.0551956379783546,0.5898040411161054,0.5236390310388928,-1.9479745415033225,0.170845557649548,-2.609787050799274,0.5893596837346731,0.300471259228713,0.5668018265954152,0.5888728658657709,0.3567746253006967,0.3648349596843698,0.5260802483235091,-2.009763100516769,0.2477185500968211,-2.467077786970053,0.2647409112682413,-2.7209586757562376,0.2005706489266936,-0.0752376975115232,0.4212758702732361,-0.4208411273291629,3.161102713800251,-1.2204866656004296,-0.3778601239093012,-0.5772088385657601,-0.5654838375545801,0.0103279669621837,3.247494109726316,1,3.150091600340448,1,-0.2992861574334817,-0.3710368115619584,0.2395981962056033,-0.32602778868960924,1,1,0.38603365115631255,-0.7563079461470167,0.3698989458929143,-0.3848070223409966,3,2,0.12707379768382956,-0.552742532893452,1.1423415973033293,0.6798163305772815
338,20,9,1.870268290041409,0.6714675684531668,0.8916624688374145,-0.8304584295554341,1.1694203743871392,0.7732511834068705,0.4241724821056499,0.3991850506218051,0.5730034774657532,0.902465379731848,0.5431564492189744,0.3820772448615723,0.5199162819576978,0.7208134873947115,0.2282770379438484,0.6267387827459895,-4.1288797628263305,-0.9893880320175236,0.4104989733245012,-1.689883171130661,0.4161155271207265,0.3085396096855291,-2.384149995152213,0.2791113216757263,0.5906942141735614,0.1354974863925567,-0.0752376975115232,-2.619934697984985,2.867793661490482,-0.042260731467918,-2.804611481568111,3.115041997105948,1.3828313636517016,-1.338490682146268,1.898204890682928,0.9503954766634322,1,0.913305246187699,1,0.6032489499178064,-0.5841004587280124,0.3242886129951843,-0.18762796632986115,3,4,0.9662217795245365,-0.31124767430656713,0.015092677585939462,-0.2568278775097352,4,5,0.40236699245317753,-0.20423324561017386,1.2774694538311036,0.6066002380633514
339,6,3,1.870268290041409,-0.1825129967943171,0.37906720786345,-1.860856721089502,0.5968503745270057,0.5409151299153625,0.407952615614269,0.3266832456290274,0.5695248447539728,0.4089533142196108,0.3289413402451783,0.1476731169776491,0.6132984801524265,-2.240600740306393,0.4170926936119557,0.6786841447431551,-1.4537201487118598,-3.2373739521973404,-1.5608857822189484,-2.0850482308908784,0.4161155271207258,-1.9360461314756896,-2.701551410839882,0.1723656985323333,0.1002181031039465,-0.3309950122535716,-0.0752376975115232,0.4212758702732361,-0.4208411273291629,-0.042260731467918,0.3636381503672518,-0.3778601239093012,0.532688640622538,-2.600023341440232,2.2194758788574407,1.2714952855862005,1,1.4725018347258862,1,0.19248040139455133,-1.0852942904625462,-0.4065467555905361,-0.30518643363263587,3,3,-0.23105943010831848,-0.02203438952946455,-0.06519040940326497,-0.40910424035830817,6,6,0.013151723818690697,0.0199113910551831,-0.20902504057885393,-0.006759667236492404
340,5,16,1.0972784515182965,0.6714675684531668,0.4256667770429043,0.2858063862731372,0.560905231488157,0.5392752346258316,-1.2828151236164134,0.4706118845037262,-1.87586277675428,0.6456992092051066,1.06451048027187,-0.0531197457029953,0.4420977834620894,-3.133874778387385,0.2838110543168227,-1.8228599705782853,0.342599313770971,0.2825550665054305,0.7248642358585309,0.4303873654478486,0.4611564532634768,0.2432750195186879,0.3467948288041425,0.2597617261277412,-3.320016495371684,0.0634403755789537,-0.0752376975115232,0.4212758702732361,-0.4208411273291629,-0.042260731467918,0.3636381503672518,-0.3778601239093012,-0.4747579626227887,-0.2329240790073211,-0.1572871149931967,0.0611960058003823,1,0.3541086576495117,1,-0.21261468605340636,-0.1807310982794715,-0.18762796632986115,0.15396425976913242,2,2,0.03432239902781227,0.3042707394359406,-0.3237061838335597,-0.30750803848868535,4,5,0.29180956136427416,-0.2825129356841158,-0.2699483404081283,0.57432249704839
341,2,1,-0.4487012255279279,-0.1825129967943171,-0.5529241757255704,0.4575394348621485,0.6208138032195678,0.5751942197747659,0.4371483752987549,0.3548431967132079,0.5478026319902256,0.2360017287574181,0.377236872441051,0.4084361180596755,0.3954066843647251,0.3495405975683662,0.0110618239910969,-1.7949068138705386,0.5020153716606783,0.3655578835994735,0.042681191236809,0.556527983783945,0.5319647568933381,0.285146894459103,0.1871366194545999,-2.485112668365259,0.6142833673097681,0.3054912345486565,-0.0752376975115232,0.4212758702732361,-0.4208411273291629,-0.042260731467918,0.3636381503672518,-0.3778601239093012,0.9239798604706836,-0.1376988684431607,0.7280970465351921,-0.5563036267434033,0,-0.2050879308886755,1,0.3921350956526232,-0.08083765266267512,0.17480561482610585,0.7885542759324966,3,2,0.35305775618842816,0.9258677288777891,-0.13439032058313904,0.7297750422811092,6,3,-0.12052050398883793,0.4656840559801724,-0.572809972689361,-0.5862045599690103
342,11,0,-1.22169106405104,-0.1825129967943171,0.2392685003250994,1.3591379399544568,0.5888625649628164,0.5066360400559612,0.407952615614269,0.3861320312511863,0.442799109175522,-2.294505445897384,0.2806458080493065,0.2186522310333305,0.3642792849664819,0.2953625218895067,0.1894032264827705,0.5987682032090552,0.5613787390023665,-1.2583106533253696,-1.4250288131093758,0.4303873654478486,0.2425495158853054,0.3459679540478143,0.2405982261931248,-0.386378202596131,-2.458449369426333,0.3894277030462297,3.48914822209684,-1.0993294138558745,-0.4208411273291629,-0.042260731467918,0.3636381503672518,-0.3778601239093012,0.352699942004012,-0.6292095526025632,0.6896498596744318,-0.6551035679504091,-1,-0.7642845194268628,1,0.12601999887125157,-0.24718993923867866,-0.4435862559923839,-0.016831853280364274,2,2,-1.0927620584177131,0.3765344578407796,-0.38480702234099656,0.017886042265433933,2,4,-0.8403953892800455,0.05729728862265695,-1.4692965162584928,-0.8976926779027025
343,14,6,0.3242886129951843,0.6714675684531668,-0.5529241757255704,-0.1864594973466447,0.6927040892972604,-1.276237973133766,-1.471183146733506,0.121958662519562,-1.5284054798824285,0.6026315711631899,0.3478034236457578,-0.0298582888440539,0.2034543880755617,-0.139152123578525,-0.280149516757495,0.5907766090556467,0.5535232741842495,-1.06025438599575,0.3256943765642555,0.5355267970198835,0.4285279445963625,0.2804683514138194,0.163796903307913,0.6083046859626289,0.4498652966553098,0.4156578494517204,-0.0752376975115232,0.4212758702732361,-0.4208411273291629,-0.042260731467918,0.3636381503672518,-0.3778601239093012,-0.6946429517198287,0.5434581035358531,-0.8614909856107362,-0.185803847217131,0,-0.2050879308886755,1,-0.2505849449298584,0.2992625183832762,-0.4435862559923839,0.1748056148261059,1,3,-0.40750887132237396,-0.1523006987841018,-0.31560711116112256,-0.06519040940326493,3,6,-0.4180766552001766,-0.11266711296582772,-0.25520817253827216,-0.3054095422343489
344,18,19,1.0972784515182965,-0.1825129967943171,-0.5063246065461202,-1.6461904103532388,0.3430286389032232,-1.4330645402342543,-3.533364334296527,0.2887802544128032,0.3096495841464534,0.1651781695953774,-2.019271632209146,0.2133804563937089,0.477706768264389,0.2947786638499758,0.2341093979250627,1.1636178900765282,0.7931149511367792,0.3870038233485215,0.3420029528643026,0.7092707185701155,0.4037031096450882,0.2380415604809833,0.3998931301096509,0.8701064297048198,0.563611730035437,0.6150069621334537,-0.0752376975115232,0.4212758702732361,-0.4208411273291629,-0.042260731467918,0.3636381503672518,-0.3778601239093012,-1.2131055687027128,1.2815973675246732,-1.7418990450157372,0.6786956383441679,1,0.913305246187699,1,-0.4235535066589941,0.5895793871005164,-0.3422259340344836,0.3247603728186293,2,2,-0.41177942672986595,0.1151519015402011,-0.2545062726536857,0.3085622274737549,4,5,0.024358863525303132,0.10865879110615725,-0.5269313282700671,-0.08429992758085413
345,8,18,3.4162479670876333,-0.1825129967943171,2.289649544220949,-2.848321750476314,0.020421125706371,0.9381963294398122,1.1623649227673831,0.8268675130791292,0.6528061548049292,1.43244729714873,0.713490790397127,0.9881759685585632,0.1337780094950224,0.6245454674423956,1.5339285465856949,-1.8518703852161436,-1.376963459147562,-1.1099543166643977,0.3876669665044364,-1.840334421283803,-0.0212202979012632,-2.375770910823336,-0.0980001214748715,0.2249074301442533,-0.1435242541391777,0.9999624336039686,-0.0752376975115232,0.4212758702732361,-0.4208411273291629,3.161102713800251,-1.2204866656004296,-0.3778601239093012,1.8691032463001376,-1.5352845503653785,2.3701552747879253,2.8522943448982905,1,2.5908950118022607,1,0.8206383750386507,-0.6550092123998088,1.5411745192220803,-0.18762796632986115,2,2,1.262722136751573,-0.5236183927605489,1.3113632926094738,-0.04112907129767589,5,5,1.065968560603791,-0.10208082411860087,1.786340529512122,1.1680493847223918
