Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
21/22,Round 9,16/10/21,Sivasspor,Antalyaspor,2,2,6.65,6.8,4-2-3-1,3-4-3,M. Yıldırım; A. Oğuz; D. Goutas; C. Osmanpaşa; U. Çiftçi; F. Ulvestad; (c) H. Arslan; P. Henrique; J. Félix; M. Gradel; O. Kayode,R. Boffin; V. Sarı; Naldo; F. Kudryashov; B. Balcı; (c) H. Özmert; Fredy; G. Vural; A. d. Silva; E. Crivelli; D. Sinik
21/22,Round 9,16/10/21,Adana DS,Yeni Malatyaspor,0,2,6.85,6.98,4-2-3-1,3-4-1-2,F. Kaplan; J. Svensson; S. Akaydın; S. Deli; (c) J. K. Rassoul; Y. Belhanda; B. Stambouli; Y. Akgün; B. Bjarnason; M. Vargas; M. Balotelli,E. Özbir; Wallace; S. Çiftpınar; S. Kaya; K. Hafez; R. Aabid; D. N'Dong; O. Haddadi; M. Chouiar; (c) A. Büyük; B. Tetteh
21/22,Round 9,17/10/21,Kasımpaşa,Göztepe,1,2,6.8,6.94,4-1-4-1,3-4-1-2,H. Tekin; F. Hadergjonaj; (c) R. Donk; T. Břečka; E. Elmalı; T. Serbest; N. Dirar; V. Eysseric; M. Trávník; Y. Erdoğan; N. Jørgensen,İ. C. Eğribayat; A. Çankaya; A. Nukan; K. Demirtaş; M. Paluli; Y. Kayan; O. Nwobodo; D. Bureković; A. Jahović; (c) H. Akbunar; C. Ndiaye
21/22,Round 9,17/10/21,Altay,Karagümrük,0,1,6.75,6.86,4-2-3-1,4-1-4-1,M. Lis; C. Karayel; K. Thiam; (c) M. Akça; M. Naderi; A. B. Poko; C. Gülselam; L. Kappel; C. Pinares; D. K. Bamba; A. Y. Rayan,E. Viviano; V. E. Hedenstad; B. Bekaroğlu; E. Zukanović; C. Erkin; (c) L. Biglia; A. Musa; J. Durmaz; A. Bertolacci; Y. Karamoh; A. Pešić
21/22,Round 9,17/10/21,Galatasaray,Konyaspor,1,0,6.88,6.95,4-2-3-1,4-4-2,(c) F. Muslera; D. Yedlin; A. Öztürk; V. Nelsson; P. v. Aanholt; T. Antalyalı; A. Cicâldău; O. Moruțan; H. Dervişoğlu; K. Aktürkoğlu; M. Mohamed,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; S. Gürler; O. Ülgün; A. Hadžiahmetović; E. Çekiçi; A. Rahmanović; Z. Bytyqi
21/22,Round 9,17/10/21,Trabzonspor,Fenerbahçe,3,1,7.0,6.34,4-3-3,3-4-1-2,(c) U. Çakır; B. Peres; E. Ié; V. Hugo; S. Denswil; A. Ömür; B. A. Özdemir; A. Bakasetas; Gervinho; T. Djaniny; A. N. Nwakaeme,A. Bayındır; M. Kim; A. Szalai; F. Novák; B. Osayi-Samuel; M. Crespo; L. Gustavo; F. Kadıoğlu; (c) M. Özil; Enner Valencia; D. Rossi
21/22,Round 9,18/10/21,Alanyaspor,Kayserispor,6,3,7.09,6.45,4-2-3-1,5-4-1,S. Kırıntılı; Juanfran; C. Awaziem; N. Milunović; C. Borja; F. Aksoy; U. Güneş; (c) E. Karaca; E. Akbaba; Davidson; F. Diédhiou,(c) S. Lung Jr.; O. Bulut; D. Kolovetsios; M. Hosseini; Y. Subaşı; L. Carole; E. Başsan; İ. Akdağ; J. Attamah; M. Thiam; M. Gavranović
21/22,Round 9,18/10/21,Hatayspor,Gaziantep,2,1,7.09,6.48,4-2-3-1,4-2-3-1,M. Mohamedi; K. A. Çörekçi; F. Kurucuk; B. Öksüz; S. Adekugbe; A. Traoré; R. Ribeiro; S. Lobjanidze; E. Çolak; A. E. Kaabi; (c) M. B. Diouf,(c) G. Güvenç; S. Kitsiou; S. Caulker; A. Toșca; H. I. Pehlivan; A. Merkel; D. Erdoğan; N. Dicko; A. Maxim; J. Figueiredo; M. Demir
21/22,Round 8,01/10/21,Antalyaspor,Adana DS,1,2,6.62,6.75,4-2-3-1,4-2-3-1,R. Boffin; B. Balcı; V. Sarı; F. Kudryashov; G. Vural; A. Poli; (c) N. Şahin; Fredy; D. Milošević; H. Wright; E. Crivelli,F. Kaplan; J. Svensson; S. Akaydın; S. Deli; (c) J. K. Rassoul; S. Kurt; B. Stambouli; Y. Akgün; B. Bjarnason; M. Vargas; M. Balotelli
21/22,Round 8,01/10/21,Karagümrük,Başakşehir,3,1,7.12,6.61,4-1-4-1,4-1-4-1,E. Viviano; J. Balkovec; B. Bekaroğlu; E. Zukanović; C. Erkin; (c) L. Biglia; A. Musa; J. Durmaz; A. Bertolacci; Y. Karamoh; A. Pešić,V. Babacan; C. Ponck; L. Duarte; R. Tagir; L. Lima; (c) M. Tekdemir; E. Višća; Y. Ndayishimiye; B. Özcan; D. Türüç; S. Okaka
21/22,Round 8,02/10/21,Konyaspor,Alanyaspor,1,1,7.01,6.81,4-3-3,4-2-3-1,(c) I. Šehić; N. Skubic; A. Çalık; A. Bardakcı; G. H. Sityá; S. Dikmen; A. Hadžiahmetović; E. Çekiçi; S. Gürler; A. Hassan; Z. Bytyqi,S. Kırıntılı; Juanfran; C. Awaziem; N. Milunović; C. Borja; F. Aksoy; U. Güneş; (c) E. Karaca; E. Akbaba; Davidson; F. Diédhiou
21/22,Round 8,02/10/21,Göztepe,Giresunspor,0,1,6.66,7.19,4-2-3-1,4-1-4-1,İ. C. Eğribayat; K. Alıcı; D. Arslanagić; K. Demirtaş; B. Emir; O. Nwobodo; D. Tijanič; (c) H. Akbunar; Y. Kayan; M. Baku; C. Ndiaye,O. Kocuk; (c) Z. Yavru; M. Diarra; A. Pérez; A. Behich; H. Traoré; M. S. Suleymanov; Flávio; Y. Sankharé; Serginho; F. Diabaté
21/22,Round 8,02/10/21,Kayserispor,Trabzonspor,1,2,6.53,6.97,4-2-3-1,4-2-3-1,S. Lung Jr.; O. Bulut; (c) U. Demirok; D. Kolovetsios; L. Carole; M. Fernandes; İ. Akdağ; E. Başsan; O. Kemen; M. Thiam; M. Cardoso,(c) U. Çakır; B. Peres; E. Ié; A. Kaplan; İ. Köybaşı; M. Siopis; M. Hamšík; Gervinho; A. Bakasetas; A. N. Nwakaeme; A. Cornelius
21/22,Round 8,02/10/21,Beşiktaş,Sivasspor,2,1,6.84,6.65,4-1-4-1,4-4-2,E. Destanoğlu; V. Rosier; S. Saatçı; (c) D. Vida; R. Yılmaz; Souza; K. Karaman; C. Bozdoğan; O. Özyakup; G. Yalçın; M. Batshuayi,M. Yıldırım; A. Oğuz; D. Goutas; C. Osmanpaşa; U. Çiftçi; P. Henrique; (c) H. Arslan; O. Azubuike; M. Gradel; O. Kayode; J. Félix
