Team Name,Player Name,Age,Market Value
Trabzonspor,Arda Akbulut,23,50 bin €
Kasımpaşa,Jackson Muleka,25,3.50 mil. €
Konyaspor,Erten Ersu,30,150 bin €
Trabzonspor,Edin Višća,34,1.80 mil. €
Gaziantep FK,Alexandru Maxim,34,700 bin €
Çaykur Rizespor,Gedson Fernandes,25,17.00 mil. €
Antalyaspor,Fernando,40,-
Beşiktaş,Rachid Ghezzal,32,1.20 mil. €
Antalyaspor,Diogo Sousa,26,1.20 mil. €
Trabzonspor,Anthony Nwakaeme,35,1.00 mil. €
Trabzonspor,Marek Hamšík,37,-
Beşiktaş,Kerem Kalafat,23,600 bin €
Adana Demirspor,Mario Balotelli,34,500 bin €
Sivasspor,Fayçal Fajr,36,850 bin €
Konyaspor,Guilherme Haubert Sityá,34,650 bin €
Fenerbahçe,Arda Güler,19,45.00 mil. €
Alanyaspor,Emre Akbaba,32,1.00 mil. €
Trabzonspor,Anastasios Bakasetas,31,4.50 mil. €
Kasımpaşa,Valentin Eysseric,32,700 bin €
Fatih Karagümrük,Lucas Biglia,38,-
Konyaspor,Amir Hadžiahmetović,27,5.50 mil. €
Fatih Karagümrük,Caner Erkin,36,175 bin €
Fenerbahçe,Arda Kurtulan,N/A,N/A
Adana Demirspor,Vedat Karakuş,26,75 bin €
Çaykur Rizespor,Efe Tecimer,21,50 bin €
Başakşehir FK,Youssouf Ndayishimiye,26,12.00 mil. €
Kasımpaşa,Umut Bozok,28,1.40 mil. €
Kayserispor,Bernard Mensah,30,2.80 mil. €
Konyaspor,Ahmet Çalık,-,-
Adana Demirspor,Arijanet Murić,26,8.00 mil. €
Kasımpaşa,Mortadha Ben Ouanes,30,1.50 mil. €
Fenerbahçe,Mert Hakan Yandaş,30,1.10 mil. €
Fenerbahçe,Miguel Crespo,28,3.50 mil. €
Adana Demirspor,Matías Vargas,27,5.00 mil. €
Başakşehir FK,Mahmoud Trézéguet,30,7.50 mil. €
Beşiktaş,Miralem Pjanić,34,2.50 mil. €
Trabzonspor,Uğurcan Çakır,28,8.00 mil. €
Konyaspor,Abdülkerim Bardakcı,30,7.50 mil. €
Trabzonspor,Dorukhan Toköz,28,1.40 mil. €
Fenerbahçe,İrfan Can Kahveci,29,9.50 mil. €
Başakşehir FK,Tolga Ciğerci,32,500 bin €
Adana Demirspor,Samet Akaydın,30,2.00 mil. €
Hatayspor,Rúben Ribeiro,37,100 bin €
Yeni Malatyaspor,Adem Büyük,37,-
Adana Demirspor,Pa Dibba,37,-
Beşiktaş,Emre Bilgin,20,700 bin €
Hatayspor,Adama Traoré,28,10.00 mil. €
Trabzonspor,Edgar Ié,30,750 bin €
Konyaspor,Ibrahim Šehić,36,700 bin €
