Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
21/22,Round 22,19/01/22,Fenerbahçe,Altay,2,1,7.07,6.44,4-2-3-1,4-2-3-1,O. E. Çetin; B. Osayi-Samuel; S. Aziz; M. Kim; A. Szalai; M. Crespo; (c) J. Sosa; F. Kadıoğlu; İ. C. Kahveci; D. Pelkas; S. Dursun,M. Lis; T. Ünlü; E. Björkander; M. Akça; K. Karataş; Thaciano; C. Gülselam; L. Kappel; (c) C. Pinares; M. Rodríguez; A. Y. Rayan
21/22,Round 22,19/01/22,Trabzonspor,Giresunspor,1,1,6.87,7.03,4-2-3-1,4-2-3-1,(c) U. Çakır; B. Peres; H. Türkmen; V. Hugo; S. Denswil; B. A. Özdemir; D. Toköz; A. Ömür; A. Bakasetas; E. Višća; A. Cornelius,O. Kocuk; H. Bilazer; M. Diarra; A. Pérez; A. Behich; (c) Z. Yavru; Flávio; M. S. Suleymanov; F. Diabaté; Serginho; M. U. Nayir
21/22,Round 22,20/01/22,Alanyaspor,Hatayspor,6,0,7.49,6.07,4-1-4-1,4-4-1-1,Marafona; Juanfran; F. Bayır; F. Aksoy; C. Borja; J. Novais; (c) E. Karaca; E. Akbaba; E. Bekiroğlu; Davidson; W. Eduardo,A. Yiğiter; K. A. Çörekçi; F. Kurucuk; B. Öksüz; S. Adekugbe; S. Lobjanidze; O. Ergün; R. Ribeiro; M. Kamara; D. Saint-Louis; (c) M. B. Diouf
21/22,Round 22,20/01/22,Galatasaray,Kasımpaşa,1,3,6.61,7.07,4-2-3-1,4-1-4-1,İ. Çipe; D. Yedlin; V. Nelsson; Marcão; (c) Ö. Bayram; A. Öztürk; P. v. Aanholt; O. Moruțan; A. Cicâldău; K. Aktürkoğlu; H. Dervişoğlu,E. Taşkıran; F. Hadergjonaj; (c) R. Donk; T. Serbest; E. Elmalı; D. Haspolat; M. B. Ouanes; H. Hajradinović; M. Trávník; A. Engin; U. Bozok
21/22,Round 37,14/05/22,Kayserispor,Yeni Malatyaspor,3,0,7.05,,4-4-2,4-2-3-1,C. Gönen; R. Civelek; U. Demirok; D. Kolovetsios; Y. Subaşı; E. Başsan; İ. Akdağ; Campanharo; G. Sazdağı; M. Pektemek; (c) İ. Parlak,A. E. Türkaslan; B. Başdaş; P. G. Awuku; G. Campi; K. Hafez; (c) B. Çağıran; A. Ayna; M. M. Altıntaş; U. Taniş; K. Altunışık; B. Tetteh
21/22,Round 37,15/05/22,Göztepe,Beşiktaşx2,0,2,6.53,,5-3-2,3-4-2-1,A. Özçimen; M. Paluli; D. Arslanagić; M. Mihojević; K. Demirtaş; (c) B. Emir; D. Tijanič; A. Çankaya; Y. Kayan; M. Baku; F. Di Santo,E. Bilgin; S. Saatçı; Welinton; F. Montero; V. Rosier; E. İlkhan; (c) Souza; U. Meraş; C. Larin; G. N'Koudou; R. Ghezzal
21/22,Round 37,15/05/22,Trabzonspor,Altay,2,1,7.01,,4-2-3-1,3-5-2,(c) U. Çakır; S. Asan; A. Kaplan; V. Hugo; İ. Köybaşı; A. Bakasetas; M. Hamšík; E. Višća; A. Ömür; A. N. Nwakaeme; A. Cornelius,C. Topaloğlu; K. Thiam; (c) İ. Öztürk; E. Björkander; C. Karayel; Thaciano; C. Gülselam; A. B. Poko; K. Karataş; L. Kappel; M. Rodríguez
21/22,Round 37,15/05/22,Alanyaspor,Gaziantep,3,0,7.15,,4-2-3-1,4-4-2,Marafona; Juanfran; F. Bayır; F. Aksoy; C. Borja; U. Güneş; L. Fer; (c) E. Karaca; E. Akbaba; E. Bekiroğlu; F. Diédhiou,M. B. Bozan; (c) O. Ceylan; E. Ersoy; A. Toșca; H. I. Pehlivan; Á. Sagal; D. Erdoğan; A. Vetrih; M. Cihan; J. Figueiredo; A. Maxim
21/22,Round 37,15/05/22,Fenerbahçe,Karagümrük,0,0,7.18,,4-2-3-1,4-2-3-1,(c) A. Bayındır; N. Sangaré; S. Aziz; M. Tisserand; F. Kadıoğlu; M. Zajc; L. Gustavo; B. Osayi-Samuel; İ. C. Kahveci; D. Rossi; S. Dursun,E. Viviano; D. Biraschi; B. Bekaroğlu; D. Luckassen; C. Erkin; (c) L. Biglia; K. Bistrović; E. Mor; F. Borini; A. Musa; A. Pešić
21/22,Round 37,15/05/22,Giresunspor,Başakşehir,1,1,6.82,,4-2-3-1,4-1-4-1,O. Piri; (c) Z. Yavru; S. Piçinciol; A. Pérez; H. Bilazer; H. Traoré; Flávio; Serginho; Chiquinho; F. Diabaté; M. U. Nayir,V. Babacan; J. Caiçara; L. Duarte; A. Epureanu; L. Lima; T. Ciğerci; D. Türüç; (c) M. Tekdemir; B. Özcan; M. Trézéguet; F. Gulbrandsen
21/22,Round 37,15/05/22,Kasımpaşa,Antalyaspor,2,4,6.55,,4-1-4-1,4-2-3-1,E. Canpolat; M. F. Yıldırım; J. Bruma; T. Břečka; F. Hadergjonaj; R. Aabid; M. Fall; (c) H. Hajradinović; V. Eysseric; J. Muleka; U. Bozok,R. Boffin; B. Balcı; B. Öztürk; Naldo; G. Vural; (c) Fredy; Fernando; A. Ndao; L. Adriano; D. Sinik; H. Wright
21/22,Round 37,15/05/22,Konyaspor,Hatayspor,3,1,7.12,,4-2-3-1,4-2-3-1,I. Šehić; (c) N. Skubic; M. Çağıran; A. Bardakcı; G. H. Sityá; O. Ülgün; A. Hadžiahmetović; K. Michalak; E. Çekiçi; Z. Bytyqi; S. Cikalleshi,M. Mohamedi; S. Bas; F. Kurucuk; B. Öksüz; E. Kaplan; D. Saint-Louis; M. Boudjemaa; S. Lobjanidze; Y. Benzia; A. E. Kaabi; (c) M. B. Diouf
21/22,Round 37,16/05/22,Rizespor,Sivasspor,1,2,6.67,7.02,4-2-3-1,4-2-3-1,G. Akkan; (c) G. Gönül; C. Ponck; E. Topçu; E. Albayrak; E. Sabo; L. Phiri; T. Boyd; D. Hümmet; A. Umar; P. D. Cissé,A. Ş. Vural; A. Oğuz; A. Appindangoyé; C. Osmanpaşa; U. Çiftçi; F. Ulvestad; (c) H. Arslan; E. Yeşilyurt; F. Fajr; M. Gradel; M. Yatabaré
21/22,Round 37,16/05/22,Galatasaray,Adana DS,3,2,6.94,6.64,4-2-3-1,4-2-3-1,(c) F. Muslera; S. Boey; V. Nelsson; Marcão; P. v. Aanholt; E. Pulgar; B. Kutlu; R. Babel; H. Dervişoğlu; K. Aktürkoğlu; B. Gomis,A. Murić; S. Güler; S. Akaydın; S. Deli; A. Uludağ; (c) G. Inler; B. Bjarnason; Y. Akgün; Y. Belhanda; M. Vargas; M. Balotelli
