Season,Week,Match Date,Home Team,Away Team,Home Goals,Away Goals,Home Performance,Away Performance,Home Formation,Away Formation,Home Players,Away Players
21/22,Round 36,06/05/22,Hatayspor,Trabzonspor,1,1,6.94,6.86,4-2-3-1,4-2-3-1,(c) M. Mohamedi; S. Bas; I. Sackey; B. Öksüz; S. Adekugbe; O. Ergün; M. Boudjemaa; A. E. Kaabi; D. Saint-Louis; S. Lobjanidze; B. Yıldırım,(c) U. Çakır; S. Asan; A. Kaplan; V. Hugo; İ. Köybaşı; B. A. Özdemir; M. C. Akpinar; Y. Erdoğan; A. Bakasetas; J. Kouassi; T. Djaniny
21/22,Round 36,07/05/22,Karagümrük,Göztepe,3,1,6.93,6.58,4-2-3-1,4-1-4-1,E. Viviano; D. Biraschi; B. Bekaroğlu; D. Luckassen; C. Erkin; J. Durmaz; (c) L. Biglia; A. Musa; E. Mor; F. Borini; A. Pešić,A. Özçimen; K. Alıcı; M. Mihojević; D. Arslanagić; B. Emir; Y. Kayan; M. Baku; D. Tijanič; A. Çankaya; (c) H. Akbunar; F. Di Santo
21/22,Round 36,07/05/22,Sivasspor,Kasımpaşa,1,3,6.59,6.77,4-2-3-1,4-5-1,M. Yıldırım; K. Altınay; D. Goutas; S. Camara; (c) Z. Erdal; Ö. Yigiter; I. Cofie; O. Kayode; K. A. Kesgin; S. Yılmaz; M. Yatabaré,E. Canpolat; F. Hadergjonaj; (c) R. Donk; J. Bruma; E. Elmalı; M. Fall; H. Hajradinović; D. Haspolat; V. Eysseric; A. Mabil; J. Muleka
21/22,Round 36,07/05/22,Adana DS,Alanyaspor,1,2,6.69,6.88,4-2-3-1,4-2-3-1,A. Murić; İ. Çokçalış; S. Akaydın; T. T. Sanuç; J. K. Rassoul; (c) G. Inler; S. Kurt; B. Bjarnason; Y. Akgün; Y. Belhanda; M. Balotelli,Y. Karagöz; F. Aksoy; N. Milunović; C. Awaziem; C. Borja; U. Güneş; L. Fer; Juanfran; (c) E. Karaca; D. Candeias; F. Diédhiou
21/22,Round 36,07/05/22,Başakşehir,Galatasaray,0,0,7.16,7.03,4-1-4-1,4-1-4-1,V. Babacan; J. Caiçara; E. A. Koyuncu; A. Epureanu; L. Lima; T. Ciğerci; D. Türüç; (c) M. Tekdemir; B. Özcan; M. Trézéguet; F. Gulbrandsen,(c) F. Muslera; S. Boey; V. Nelsson; A. Öztürk; P. v. Aanholt; T. Antalyalı; R. Babel; A. Cicâldău; B. Kutlu; K. Aktürkoğlu; M. Mohamed
21/22,Round 36,08/05/22,Altay,Giresunspor,1,1,6.93,6.74,4-5-1,4-2-3-1,C. Topaloğlu; C. Karayel; E. Björkander; K. Thiam; K. Karataş; L. Kappel; A. B. Poko; Thaciano; (c) Z. Yildirim; M. Rodríguez; A. Y. Rayan,O. Piri; Z. Yavru; (c) S. Piçinciol; A. Pérez; E. Taşdemir; H. Traoré; Flávio; F. Diabaté; Chiquinho; M. Gümüşkaya; M. U. Nayir
21/22,Round 36,08/05/22,Yeni Malatyaspor,Rizespor,1,3,6.68,7.02,4-3-3,4-2-3-1,A. Damlu; M. E. Sarikaya; B. Başdaş; G. Campi; P. G. Awuku; (c) B. Çağıran; J. Nshimirimana; A. Ayna; H. Osman; B. Tetteh; M. M. Altıntaş,G. Akkan; (c) G. Gönül; C. Ponck; E. Topçu; E. Albayrak; L. Phiri; E. Sabo; Y. Sarı; D. Hümmet; A. Umar; P. D. Cissé
21/22,Round 36,08/05/22,Beşiktaş,Fenerbahçe,1,1,6.72,6.63,3-4-1-2,4-3-3,E. Destanoğlu; S. Saatçı; Welinton; U. Meraş; K. Karaman; (c) Souza; E. İlkhan; R. Yılmaz; R. Ghezzal; M. Batshuayi; C. Larin,(c) A. Bayındır; N. Sangaré; M. Tisserand; F. Novák; F. Kadıoğlu; M. Zajc; L. Gustavo; M. H. Yandaş; İ. C. Kahveci; S. Dursun; D. Rossi
21/22,Round 36,09/05/22,Antalyaspor,Konyaspor,3,2,6.79,6.71,4-2-3-1,4-2-3-1,R. Boffin; B. Balcı; (c) V. Sarı; F. Kudryashov; G. Vural; Fredy; Fernando; A. Ndao; L. Adriano; D. Sinik; H. Wright,(c) I. Šehić; N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; S. Dikmen; A. Hadžiahmetović; K. Michalak; E. Çekiçi; Z. Bytyqi; A. Hassan
21/22,Round 35,29/04/22,Fenerbahçe,Gaziantep,3,2,6.92,6.61,4-2-3-1,3-4-3,(c) A. Bayındır; N. Sangaré; S. Aziz; M. Tisserand; F. Kadıoğlu; L. Gustavo; M. Zajc; İ. C. Kahveci; M. H. Yandaş; D. Rossi; S. Dursun,(c) G. Güvenç; P. Djilobodji; E. Ersoy; A. Toșca; S. Kitsiou; A. Vetrih; D. Erdoğan; Á. Sagal; A. Maxim; M. Demir; J. Figueiredo
21/22,Round 35,29/04/22,Giresunspor,Adana DS,2,0,7.11,6.67,4-2-3-1,4-2-3-1,O. Kocuk; H. Bilazer; S. Piçinciol; A. Pérez; A. Behich; (c) H. Traoré; Flávio; Serginho; Chiquinho; F. Diabaté; M. U. Nayir,A. Murić; J. Svensson; S. Akaydın; T. T. Sanuç; J. K. Rassoul; (c) G. Inler; S. Kurt; Y. Akgün; B. Bjarnason; M. Vargas; B. Assombalonga
21/22,Round 35,30/04/22,Kasımpaşa,Başakşehir,2,3,6.79,6.82,4-1-4-1,4-2-3-1,E. Taşkıran; F. Hadergjonaj; (c) R. Donk; T. Břečka; E. Elmalı; D. Haspolat; M. Fall; H. Hajradinović; V. Eysseric; A. Mabil; J. Muleka,V. Babacan; J. Caiçara; L. Duarte; A. Epureanu; L. Lima; (c) M. Tekdemir; T. Ciğerci; D. Türüç; B. Özcan; M. Trézéguet; F. Gulbrandsen
21/22,Round 35,30/04/22,Konyaspor,Karagümrük,1,2,6.73,6.84,4-2-3-1,4-2-3-1,(c) I. Šehić; N. Skubic; M. Çağıran; A. Bardakcı; G. H. Sityá; S. Dikmen; A. Hadžiahmetović; K. Michalak; E. Çekiçi; Z. Bytyqi; A. Hassan,E. Viviano; D. Biraschi; B. Bekaroğlu; D. Luckassen; C. Erkin; A. Uğur; (c) L. Biglia; A. Musa; E. Mor; F. Borini; A. Pešić
21/22,Round 35,30/04/22,Hatayspor,Altay,0,1,6.87,6.89,4-2-3-1,3-5-2,M. Mohamedi; S. Bas; I. Sackey; B. Öksüz; S. Adekugbe; O. Ergün; M. Boudjemaa; A. E. Kaabi; D. Saint-Louis; R. Ribeiro; (c) M. B. Diouf,M. Lis; K. Thiam; E. Björkander; (c) İ. Öztürk; C. Karayel; Z. Yildirim; C. Gülselam; Thaciano; K. Karataş; A. B. Poko; L. Kappel
21/22,Round 35,30/04/22,Trabzonspor,Antalyaspor,2,2,6.94,6.68,4-1-4-1,4-2-3-1,(c) U. Çakır; D. Toköz; S. Denswil; V. Hugo; T. Puchacz; M. Siopis; E. Višća; A. Ömür; M. Hamšík; T. Djaniny; A. Cornelius,R. Boffin; B. Balcı; (c) V. Sarı; Naldo; G. Vural; Fredy; Fernando; A. Ndao; L. Adriano; D. Sinik; H. Wright
21/22,Round 35,01/05/22,Alanyaspor,Yeni Malatyaspor,2,1,7.13,6.73,4-1-4-1,4-3-3,Y. Karagöz; Juanfran; F. Bayır; N. Milunović; C. Borja; J. Novais; (c) D. Candeias; E. Akbaba; E. Bekiroğlu; O. Aydın; W. Eduardo,A. Damlu; K. Özer; B. Başdaş; P. G. Awuku; B. Yaman; J. Nshimirimana; Y. Ulaş; (c) B. Çağıran; N. Dicko; B. Tetteh; M. M. Altıntaş
21/22,Round 35,01/05/22,Kayserispor,Beşiktaş,2,3,6.7,6.89,4-2-3-1,3-4-1-2,S. Lung Jr.; O. Bulut; M. Hosseini; M. Çetin; L. Carole; J. Attamah; O. Kemen; R. Civelek; A. Bertolacci; (c) M. Thiam; M. Gavranović,E. Destanoğlu; S. Saatçı; Welinton; F. Montero; V. Rosier; (c) A. Hutchinson; E. İlkhan; R. Yılmaz; R. Ghezzal; C. Larin; M. Batshuayi
21/22,Round 35,01/05/22,Galatasaray,Sivasspor,2,3,6.67,6.76,4-2-3-1,4-2-3-1,(c) F. Muslera; S. Boey; V. Nelsson; S. Kaya; P. v. Aanholt; E. Pulgar; T. Antalyalı; R. Babel; E. Kılınç; K. Aktürkoğlu; B. Gomis,A. Ş. Vural; A. Oğuz; A. Appindangoyé; C. Osmanpaşa; U. Çiftçi; F. Ulvestad; (c) H. Arslan; E. Yeşilyurt; F. Fajr; M. Gradel; M. Yatabaré
21/22,Round 35,01/05/22,Göztepe,Rizespor,1,7,6.16,7.11,4-1-4-1,4-1-4-1,K. Pirić; M. Paluli; A. Çankaya; K. Demirtaş; F. Moubandje; Y. Kayan; M. Baku; D. Tijanič; Lourency; (c) H. Akbunar; A. Jahović,G. Akkan; (c) G. Gönül; C. Ponck; E. Topçu; E. Albayrak; L. Phiri; Y. Sarı; E. Sabo; G. Fernandes; Y. Bolasie; P. D. Cissé
21/22,Round 34,22/04/22,Rizespor,Fenerbahçe,0,6,6.16,7.39,4-2-3-1,4-2-3-1,G. Akkan; (c) G. Gönül; C. Ponck; S. Holmén; E. Albayrak; F. Baiano; E. Sabo; T. Boyd; A. Potuk; Y. Bolasie; J. Pohjanpalo,(c) A. Bayındır; B. Osayi-Samuel; S. Aziz; M. Kim; F. Kadıoğlu; M. Zajc; M. Crespo; İ. C. Kahveci; M. H. Yandaş; D. Rossi; S. Dursun
21/22,Round 34,23/04/22,Karagümrük,Giresunspor,2,1,6.73,6.65,4-1-4-1,4-2-3-1,E. Viviano; D. Biraschi; B. Bekaroğlu; D. Luckassen; C. Erkin; (c) L. Biglia; E. Mor; K. Bistrović; M. Mercan; Y. Karamoh; A. Pešić,O. Kocuk; H. Bilazer; S. Piçinciol; A. Pérez; (c) A. Behich; H. Traoré; Flávio; M. S. Suleymanov; Chiquinho; Serginho; M. U. Nayir
21/22,Round 34,23/04/22,Gaziantep,Göztepe,1,1,6.86,6.81,3-5-2,4-1-4-1,(c) G. Güvenç; P. Djilobodji; E. Ersoy; A. Toșca; S. Kitsiou; F. Soyalp; A. Vetrih; A. Maxim; Á. Sagal; M. Cihan; M. Demir,A. Özçimen; M. Paluli; D. Arslanagić; K. Demirtaş; B. Emir; A. Çankaya; (c) H. Akbunar; Y. Kayan; D. Tijanič; Lourency; F. Di Santo
21/22,Round 34,23/04/22,Adana DS,Trabzonspor,1,3,6.6,6.88,4-2-3-1,4-1-4-1,A. Murić; J. Svensson; S. Akaydın; S. Deli; J. K. Rassoul; (c) G. Inler; B. Bjarnason; D. Babajide; Y. Akgün; M. Vargas; B. Assombalonga,(c) U. Çakır; B. Peres; D. Toköz; V. Hugo; S. Denswil; M. Siopis; E. Višća; A. Ömür; M. Hamšík; J. Kouassi; A. Cornelius
21/22,Round 34,24/04/22,Başakşehir,Hatayspor,3,0,7.17,6.41,4-2-3-1,4-2-3-1,V. Babacan; J. Caiçara; L. Duarte; A. Epureanu; L. Lima; (c) M. Tekdemir; T. Ciğerci; D. Türüç; D. Aleksić; M. Trézéguet; F. Gulbrandsen,M. Mohamedi; S. Bas; F. Kurucuk; I. Sackey; S. Adekugbe; O. Ergün; M. Boudjemaa; S. Lobjanidze; Y. Benzia; A. E. Kaabi; (c) M. B. Diouf
21/22,Round 34,24/04/22,Yeni Malatyaspor,Konyaspor,2,3,6.39,6.87,4-2-3-1,4-2-3-1,A. Damlu; K. Özer; B. Başdaş; G. Campi; P. G. Awuku; G. Donsah; O. Azubuike; N. Dicko; (c) B. Çağıran; M. Eskihellaç; B. Tetteh,(c) I. Šehić; N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; S. Dikmen; A. Hadžiahmetović; K. Michalak; E. Çekiçi; Z. Bytyqi; A. Hassan
21/22,Round 34,24/04/22,Altay,Galatasaray,0,1,6.7,6.91,4-1-4-1,4-1-4-1,M. Lis; T. Ünlü; E. Björkander; K. Thiam; K. Karataş; (c) C. Gülselam; Z. Yildirim; A. B. Poko; Thaciano; M. Rodríguez; A. Y. Rayan,(c) F. Muslera; O. Elabdellaoui; V. Nelsson; Marcão; P. v. Aanholt; E. Pulgar; R. Babel; E. Kılınç; B. Kutlu; K. Aktürkoğlu; B. Gomis
21/22,Round 34,24/04/22,Antalyaspor,Kayserispor,1,1,6.71,6.83,4-2-3-1,4-2-3-1,R. Boffin; S. Floranus; Naldo; F. Kudryashov; G. Vural; (c) H. Özmert; Fernando; A. Ndao; L. Adriano; D. Sinik; H. Wright,S. Lung Jr.; O. Bulut; M. Hosseini; M. Çetin; L. Carole; J. Attamah; O. Kemen; R. Civelek; A. Bertolacci; (c) M. Thiam; M. Gavranović
21/22,Round 34,25/04/22,Beşiktaş,Kasımpaşa,0,3,6.56,7.18,3-4-3,4-1-4-1,E. Destanoğlu; Welinton; (c) D. Vida; F. Montero; V. Rosier; Souza; M. Pjanić; R. Yılmaz; R. Ghezzal; M. Batshuayi; G. Yalçın,E. Taşkıran; F. Hadergjonaj; (c) R. Donk; U. Spajić; E. Elmalı; D. Haspolat; M. Fall; H. Hajradinović; V. Eysseric; M. B. Ouanes; J. Muleka
21/22,Round 34,25/04/22,Sivasspor,Alanyaspor,1,0,6.81,6.69,4-2-3-1,4-1-4-1,M. Yıldırım; A. Oğuz; D. Goutas; S. Camara; (c) Z. Erdal; F. Ulvestad; H. Arslan; E. Yeşilyurt; F. Fajr; M. Gradel; M. Yatabaré,Y. Karagöz; Juanfran; F. Aksoy; N. Milunović; C. Borja; L. Fer; (c) E. Karaca; E. Akbaba; J. Novais; O. Aydın; W. Eduardo
21/22,Round 33,15/04/22,Kayserispor,Rizespor,1,1,6.86,6.79,4-1-4-1,4-2-3-1,S. Lung Jr.; O. Bulut; M. Hosseini; M. Çetin; L. Carole; Campanharo; E. Başsan; İ. Akdağ; J. Attamah; (c) M. Thiam; M. Pektemek,T. Çetin; (c) G. Gönül; C. Ponck; S. Holmén; E. Albayrak; F. Baiano; G. Fernandes; T. Boyd; E. Sabo; Y. Bolasie; P. D. Cissé
21/22,Round 33,15/04/22,Trabzonspor,Karagümrük,1,1,7.16,6.99,4-2-3-1,4-1-4-1,(c) U. Çakır; B. Peres; H. Türkmen; V. Hugo; S. Denswil; M. Hamšík; D. Toköz; E. Višća; A. Bakasetas; T. Djaniny; A. Cornelius,E. Viviano; D. Biraschi; B. Bekaroğlu; D. Luckassen; C. Erkin; (c) L. Biglia; A. Musa; K. Bistrović; M. Mercan; Y. Karamoh; A. Pešić
21/22,Round 33,16/04/22,Hatayspor,Sivasspor,1,1,6.83,6.73,4-2-3-1,4-3-3,M. Mohamedi; K. A. Çörekçi; I. Sackey; S. Falette; S. Adekugbe; O. Ergün; M. Boudjemaa; A. E. Kaabi; Y. Benzia; S. Bas; (c) M. B. Diouf,A. Ş. Vural; A. Oğuz; A. Appindangoyé; C. Osmanpaşa; (c) Z. Erdal; I. Cofie; F. Ulvestad; K. A. Kesgin; E. Yeşilyurt; M. Yatabaré; M. Gradel
21/22,Round 33,16/04/22,Alanyaspor,Antalyaspor,1,3,6.61,6.92,4-1-4-1,4-2-3-1,Marafona; Juanfran; N. Milunović; C. Awaziem; C. Borja; J. Novais; (c) E. Karaca; E. Bekiroğlu; E. Akbaba; D. Candeias; W. Eduardo,R. Boffin; B. Balcı; V. Sarı; F. Kudryashov; G. Vural; (c) H. Özmert; Fernando; G. Bayrakdar; L. Adriano; D. Sinik; H. Wright
21/22,Round 33,16/04/22,Altay,Başakşehir,1,1,6.83,6.95,5-3-2,4-2-3-1,M. Lis; T. Ünlü; K. Thiam; E. Björkander; (c) İ. Öztürk; M. Naderi; Z. Yildirim; C. Gülselam; A. B. Poko; M. Rodríguez; D. K. Bamba,V. Babacan; J. Caiçara; L. Duarte; (c) A. Epureanu; L. Lima; S. Uçan; T. Ciğerci; D. Türüç; D. Aleksić; M. Trézéguet; S. Okaka
21/22,Round 33,16/04/22,Fenerbahçe,Göztepe,2,0,7.08,6.55,4-2-3-1,4-1-4-1,(c) A. Bayındır; B. Osayi-Samuel; S. Aziz; M. Kim; F. Kadıoğlu; M. Zajc; M. Crespo; D. Rossi; M. H. Yandaş; D. Pelkas; S. Dursun,K. Pirić; M. Paluli; D. Arslanagić; K. Demirtaş; B. Emir; S. Aydoğdu; (c) H. Akbunar; Y. Kayan; D. Tijanič; F. Moubandje; F. Di Santo
21/22,Round 33,17/04/22,Konyaspor,Gaziantep,4,1,7.14,6.6,4-2-3-1,3-5-2,(c) I. Šehić; N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; S. Dikmen; A. Hadžiahmetović; K. Michalak; E. Çekiçi; Z. Bytyqi; A. Hassan,(c) G. Güvenç; A. Vetrih; S. Caulker; A. Toșca; S. Kitsiou; F. Soyalp; D. Erdoğan; A. Maxim; H. I. Pehlivan; J. Figueiredo; M. Demir
21/22,Round 33,17/04/22,Kasımpaşa,Adana DS,4,0,7.33,6.33,4-1-4-1,4-2-3-1,E. Taşkıran; F. Hadergjonaj; (c) R. Donk; T. Serbest; E. Elmalı; D. Haspolat; M. Fall; H. Hajradinović; T. Torun; M. B. Ouanes; J. Muleka,A. Murić; J. Svensson; S. Akaydın; T. T. Sanuç; J. K. Rassoul; (c) G. Inler; B. Stambouli; Y. Akgün; Y. Belhanda; M. Vargas; M. Balotelli
21/22,Round 33,17/04/22,Giresunspor,Beşiktaş,0,0,6.98,6.91,4-2-3-1,3-4-3,O. Kocuk; H. Bilazer; S. Piçinciol; A. Pérez; A. Behich; H. Traoré; Flávio; M. S. Suleymanov; Chiquinho; Serginho; (c) M. U. Nayir,E. Destanoğlu; (c) N. Uysal; D. Vida; F. Montero; V. Rosier; Souza; C. Bozdoğan; R. Yılmaz; R. Ghezzal; M. Batshuayi; A. Teixeira
21/22,Round 33,18/04/22,Galatasaray,Yeni Malatyaspor,2,0,7.37,6.74,4-1-4-1,4-2-3-1,(c) F. Muslera; O. Elabdellaoui; V. Nelsson; Marcão; P. v. Aanholt; E. Pulgar; R. Babel; T. Antalyalı; B. Kutlu; K. Aktürkoğlu; H. Dervişoğlu,A. Damlu; K. Özer; P. G. Awuku; G. Campi; K. Hafez; O. Azubuike; G. Donsah; N. Dicko; (c) B. Çağıran; M. Eskihellaç; B. Tetteh
21/22,Round 32,09/04/22,Karagümrük,Kasımpaşa,3,2,6.87,6.68,4-1-4-1,4-4-1-1,E. Viviano; D. Biraschi; B. Bekaroğlu; D. Luckassen; J. Balkovec; (c) L. Biglia; E. Mor; A. Uğur; J. Durmaz; Y. Karamoh; A. Pešić,(c) E. Taşkıran; F. Hadergjonaj; U. Spajić; T. Serbest; E. Elmalı; M. B. Ouanes; D. Haspolat; R. Aabid; A. Engin; U. Bozok; J. Muleka
21/22,Round 32,09/04/22,Rizespor,Konyasporx2,2,1,6.74,6.68,4-2-3-1,4-2-3-1,G. Akkan; (c) G. Gönül; C. Ponck; S. Holmén; E. Albayrak; F. Baiano; G. Fernandes; T. Boyd; E. Sabo; Y. Bolasie; P. D. Cissé,(c) I. Šehić; N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; O. Ülgün; A. Hadžiahmetović; A. d. Silva; E. Çekiçi; Z. Bytyqi; S. Cikalleshi
21/22,Round 32,09/04/22,Göztepe,Kayserispor,1,2,6.76,6.86,4-2-3-1,4-1-4-1,K. Pirić; K. Alıcı; D. Arslanagić; K. Demirtaş; F. Moubandje; Y. Kayan; O. Nwobodo; (c) H. Akbunar; D. Tijanič; Lourency; F. Di Santo,S. Lung Jr.; R. Civelek; M. Hosseini; M. Çetin; L. Carole; Campanharo; E. Başsan; J. Attamah; O. Kemen; (c) M. Thiam; M. Pektemek
21/22,Round 32,09/04/22,Beşiktaş,Alanyaspor,4,1,6.92,6.47,3-4-3,4-1-4-1,E. Destanoğlu; Welinton; (c) D. Vida; F. Montero; V. Rosier; Souza; C. Bozdoğan; R. Yılmaz; R. Ghezzal; M. Batshuayi; A. Teixeira,Marafona; Juanfran; F. Bayır; F. Aksoy; C. Borja; J. Novais; (c) E. Karaca; U. Güneş; E. Bekiroğlu; T. Bingöl; D. Candeias
21/22,Round 32,09/04/22,Gaziantep,Trabzonspor,0,0,7.2,7.15,3-5-2,4-2-3-1,(c) G. Güvenç; E. Ersoy; S. Caulker; A. Toșca; S. Kitsiou; F. Soyalp; D. Erdoğan; A. Maxim; Á. Sagal; J. Figueiredo; M. Demir,(c) U. Çakır; B. Peres; H. Türkmen; V. Hugo; S. Denswil; M. Hamšík; D. Toköz; E. Višća; A. Ömür; A. N. Nwakaeme; A. Cornelius
21/22,Round 32,10/04/22,Yeni Malatyaspor,Giresunspor,0,1,6.71,7.1,4-1-4-1,4-2-3-1,(c) E. Özbir; K. Özer; P. G. Awuku; G. Campi; K. Hafez; O. Azubuike; N. Dicko; G. Donsah; J. Nshimirimana; M. Eskihellaç; B. Tetteh,O. Kocuk; H. Bilazer; (c) M. Diarra; A. Pérez; A. Behich; H. Traoré; Flávio; M. S. Suleymanov; Chiquinho; F. Diabaté; M. U. Nayir
21/22,Round 32,10/04/22,Adana DS,Altay,3,1,7.0,6.6,4-2-3-1,5-4-1,A. Murić; J. Svensson; S. Akaydın; T. T. Sanuç; J. K. Rassoul; (c) G. Inler; B. Stambouli; Y. Akgün; Y. Belhanda; D. Babajide; B. Assombalonga,M. Lis; C. Karayel; K. Thiam; E. Björkander; M. Naderi; K. Karataş; E. Erdoğan; (c) C. Gülselam; A. B. Poko; M. Rodríguez; D. K. Bamba
21/22,Round 32,10/04/22,Sivasspor,Başakşehir,0,2,6.86,7.08,4-3-3,4-1-4-1,A. Ş. Vural; A. Oğuz; D. Goutas; C. Osmanpaşa; U. Çiftçi; (c) H. Arslan; F. Ulvestad; F. Fajr; E. Yeşilyurt; M. Yatabaré; M. Gradel,V. Babacan; J. Caiçara; L. Duarte; A. Epureanu; L. Lima; T. Ciğerci; D. Türüç; (c) M. Tekdemir; D. Aleksić; M. Trézéguet; S. Okaka
21/22,Round 32,10/04/22,Fenerbahçe,Galatasaray,2,0,7.03,6.5,4-2-3-1,4-1-4-1,(c) A. Bayındır; B. Osayi-Samuel; S. Aziz; M. Kim; F. Kadıoğlu; M. Crespo; M. Zajc; İ. C. Kahveci; M. H. Yandaş; D. Rossi; S. Dursun,(c) F. Muslera; O. Elabdellaoui; V. Nelsson; Marcão; P. v. Aanholt; T. Antalyalı; R. Babel; A. Cicâldău; B. Kutlu; K. Aktürkoğlu; B. Gomis
21/22,Round 32,11/04/22,Antalyaspor,Hatayspor,4,1,7.06,6.49,4-2-3-1,4-2-3-1,R. Boffin; S. Floranus; V. Sarı; Naldo; G. Vural; (c) H. Özmert; Fernando; A. Ndao; L. Adriano; D. Sinik; H. Wright,M. Mohamedi; K. A. Çörekçi; F. Kurucuk; B. Öksüz; S. Adekugbe; O. Ergün; R. Ribeiro; A. E. Kaabi; Y. Benzia; S. Lobjanidze; (c) M. B. Diouf
21/22,Round 31,02/04/22,Giresunspor,Sivasspor,2,2,6.88,6.95,4-1-4-1,4-3-3,O. Kocuk; H. Bilazer; (c) M. Diarra; A. Pérez; A. Behich; H. Traoré; F. Diabaté; Chiquinho; Flávio; M. Gümüşkaya; M. U. Nayir,A. Ş. Vural; E. Yeşilyurt; D. Goutas; C. Osmanpaşa; U. Çiftçi; (c) H. Arslan; F. Ulvestad; F. Fajr; O. Kayode; M. Yatabaré; M. Gradel
21/22,Round 31,02/04/22,Altay,Antalyaspor,1,2,6.77,6.79,4-1-4-1,4-2-3-1,M. Lis; C. Karayel; (c) İ. Öztürk; M. Akça; Ö. Özkaya; Thaciano; D. K. Bamba; Z. Yildirim; C. Pinares; M. Rodríguez; A. Y. Rayan,R. Boffin; B. Balcı; Naldo; F. Kudryashov; G. Vural; (c) H. Özmert; Fernando; S. Gümüş; L. Adriano; A. Ndao; H. Wright
21/22,Round 31,02/04/22,Kayserispor,Fenerbahçe,0,4,6.56,7.06,4-1-4-1,4-2-3-1,S. Lung Jr.; O. Bulut; M. Çetin; M. Hosseini; L. Carole; (c) Campanharo; E. Başsan; A. Parmak; O. Kemen; M. Cardoso; M. Gavranović,(c) A. Bayındır; B. Osayi-Samuel; S. Aziz; M. Kim; F. Novák; M. Crespo; M. Zajc; M. H. Yandaş; İ. C. Kahveci; D. Rossi; S. Dursun
21/22,Round 31,02/04/22,Galatasaray,Karagümrük,2,0,7.06,6.67,4-1-4-1,4-1-4-1,(c) F. Muslera; Ö. Bayram; V. Nelsson; Marcão; P. v. Aanholt; T. Antalyalı; R. Babel; A. Cicâldău; B. Kutlu; K. Aktürkoğlu; B. Gomis,E. Viviano; S. Dursun; D. Biraschi; D. Luckassen; J. Balkovec; (c) L. Biglia; E. Mor; K. Bistrović; A. Touré; J. Durmaz; A. Pešić
21/22,Round 31,03/04/22,Kasımpaşa,Gaziantep,2,1,6.63,6.69,4-1-4-1,3-5-2,(c) E. Taşkıran; F. Hadergjonaj; U. Spajić; T. Serbest; M. B. Ouanes; R. Aabid; J. Muleka; H. Hajradinović; V. Eysseric; A. Engin; U. Bozok,(c) G. Güvenç; P. Djilobodji; S. Caulker; A. Toșca; S. Kitsiou; F. Soyalp; D. Erdoğan; R. Niyaz; Á. Sagal; J. Figueiredo; M. Demir
21/22,Round 31,03/04/22,Alanyaspor,Rizespor,2,1,6.83,6.76,4-3-3,4-2-3-1,Marafona; Juanfran; F. Bayır; F. Aksoy; C. Borja; E. Akbaba; J. Novais; E. Bekiroğlu; (c) E. Karaca; D. Candeias; T. Bingöl,G. Akkan; (c) G. Gönül; S. Holmén; C. Ponck; C. Sertel; L. Phiri; G. Fernandes; T. Boyd; E. Sabo; A. Potuk; J. Pohjanpalo
21/22,Round 31,03/04/22,Konyaspor,Göztepe,3,0,7.11,6.39,4-2-3-1,4-2-3-1,(c) I. Šehić; N. Skubic; A. Demirbağ; A. Bardakcı; G. H. Sityá; O. Ülgün; A. Hadžiahmetović; A. d. Silva; E. Çekiçi; Z. Bytyqi; S. Cikalleshi,K. Pirić; M. Paluli; D. Arslanagić; K. Demirtaş; B. Emir; O. Nwobodo; S. Aydoğdu; (c) H. Akbunar; A. Kara; C. Ndiaye; A. Jahović
21/22,Round 31,03/04/22,Trabzonspor,Beşiktaş,1,1,6.81,6.65,4-1-4-1,5-4-1,(c) U. Çakır; D. Toköz; H. Türkmen; S. Denswil; T. Puchacz; M. Siopis; E. Višća; A. Bakasetas; A. Ömür; A. N. Nwakaeme; T. Djaniny,E. Destanoğlu; V. Rosier; Welinton; (c) D. Vida; F. Montero; R. Yılmaz; R. Ghezzal; Souza; C. Bozdoğan; A. Teixeira; M. Batshuayi
21/22,Round 31,04/04/22,Başakşehir,Yeni Malatyaspor,1,0,7.0,6.97,4-1-4-1,4-1-4-1,V. Babacan; J. Caiçara; L. Duarte; (c) A. Epureanu; L. Lima; T. Ciğerci; D. Türüç; D. Aleksić; B. Özcan; M. Trézéguet; S. Okaka,(c) E. Özbir; K. Özer; O. Haddadi; G. Campi; K. Hafez; O. Azubuike; M. Eskihellaç; N. Dicko; G. Donsah; M. Chouiar; B. Tetteh
21/22,Round 31,04/04/22,Hatayspor,Adana DS,0,0,6.96,6.92,4-1-4-1,4-2-3-1,M. Mohamedi; K. A. Çörekçi; F. Kurucuk; B. Öksüz; S. Adekugbe; I. Sackey; A. E. Kaabi; Y. Benzia; M. Boudjemaa; S. Lobjanidze; (c) M. B. Diouf,A. Murić; J. Svensson; S. Akaydın; T. T. Sanuç; J. K. Rassoul; (c) G. Inler; B. Stambouli; D. Babajide; B. Bjarnason; M. Vargas; M. Balotelli
